"district_2001","round_id","outcome_id","estimate","std_error","relative_se","cv","n_households","n_fsu","n_sample_person_equiv","sum_person_weight","kish_effective_n","status","reason","uncertainty_requested","sample_support_ok","analysis_eligible","precision_ok","preferred_eligible","support_reason"
"pc2001__14__06","nss_2011_12_type2","mean_log_real_mpce",7.06343541520949,0.0357085646839682,0.00505541037539297,NA,800,100,3801,478603.78,311.971723053967,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__14__07","nss_2011_12_type2","mean_log_real_mpce",7.0830356155508,0.0328733857982526,0.00464114365401172,NA,320,40,1575,429205.49,79.0811032428372,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__14__08","nss_2011_12_type2","mean_log_real_mpce",7.0199989467241,0.0487177524863433,0.00693985182278091,NA,128,16,705,144551.87,69.598246612392,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__14__09","nss_2011_12_type2","mean_log_real_mpce",6.86773163546073,0.129264116491414,0.0188219521892751,NA,128,16,700,119243.965,59.5157849812406,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__15__01","nss_2011_12_type2","mean_log_real_mpce",7.04311467510552,0.127398197255379,0.0180883320991036,NA,96,12,479,87392.14,43.4999042250462,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__15__02","nss_2011_12_type2","mean_log_real_mpce",7.32590021489628,0.0713871784833551,0.00974449233395214,NA,96,12,493,69311.145,55.0463161237805,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__15__03","nss_2011_12_type2","mean_log_real_mpce",7.45500439528284,0.0318392452634009,0.00427085533088984,NA,608,76,3085,334543.875,357.869886523609,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__15__04","nss_2011_12_type2","mean_log_real_mpce",7.21786191514444,0.0622131595694197,0.00861933357839455,NA,192,24,1017,114341.715,78.969567577116,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__15__05","nss_2011_12_type2","mean_log_real_mpce",7.0683004890831,0.0428042950824949,0.00605581145688495,NA,96,12,520,73462.55,33.8678176686819,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__15__06","nss_2011_12_type2","mean_log_real_mpce",7.20758397323834,0.0501305504104534,0.00695525027479214,NA,256,32,1127,140875.79,101.050315688368,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__15__07","nss_2011_12_type2","mean_log_real_mpce",7.08223497119479,0.0606846632263541,0.00856857524117369,NA,96,12,456,90600.625,41.603693203526,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__15__08","nss_2011_12_type2","mean_log_real_mpce",6.91112298555362,0.0665602953551671,0.00963089435599665,NA,96,12,446,61832.205,50.7977211186641,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__16__01","nss_2011_12_type2","mean_log_real_mpce",7.11506879959164,0.0235897177126795,0.00331545883492137,NA,896,112,3456,1618614.28,303.275125506098,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__16__02","nss_2011_12_type2","mean_log_real_mpce",7.13560664181601,0.0411840286934529,0.00577162261889643,NA,416,52,1680,828507.91,155.466619896982,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__16__03","nss_2011_12_type2","mean_log_real_mpce",7.60137788372006,0.0288945761919987,0.00380122875536585,NA,224,28,890,300638.52,96.6727149818761,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__16__04","nss_2011_12_type2","mean_log_real_mpce",7.26610649576298,0.0362815812353404,0.00499326307101292,NA,320,40,1481,734868.015000001,125.473166162618,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__17__01","nss_2011_12_type2","mean_log_real_mpce",7.20250430234284,0.0385721586449549,0.00535538154866608,NA,244,32,1328,591476.195,109.238090578287,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__17__02","nss_2011_12_type2","mean_log_real_mpce",7.23333851610373,0.025125057910846,0.00347350782144504,NA,128,16,691,287095.23,72.8742533700674,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__17__03","nss_2011_12_type2","mean_log_real_mpce",7.3272154009955,0.105215493450026,0.0143595469345327,NA,96,12,503,117496.85,40.7475121222644,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__17__04","nss_2011_12_type2","mean_log_real_mpce",6.99045995713083,0.059534425767956,0.0085165248256985,NA,160,20,901,327117.325,68.9486466409018,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__17__05","nss_2011_12_type2","mean_log_real_mpce",7.15776552853199,0.0667193751933463,0.00932125744094191,NA,128,16,665,244457.825,51.325384210991,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__17__06","nss_2011_12_type2","mean_log_real_mpce",7.29806088956154,0.0423603964517279,0.00580433584930981,NA,352,44,1742,813551.125,146.729328400981,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__17__07","nss_2011_12_type2","mean_log_real_mpce",7.06055913985169,0.0586915492366755,0.00831259225709259,NA,152,19,822,333988.68,64.1884312903373,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__18__01","nss_2011_12_type2","mean_log_real_mpce",6.9718214205195,0.091286309762113,0.0130936098697879,NA,128,16,567,757175.32,42.2815325910291,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__18__02","nss_2011_12_type2","mean_log_real_mpce",6.96663182277346,0.060703041374513,0.00871339880142349,NA,160,20,815,1773369.01,65.8450137269959,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__18__03","nss_2011_12_type2","mean_log_real_mpce",7.1662659985782,0.0702047807144018,0.00979656361183503,NA,128,16,602,867655.87,46.5542672637744,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__18__04","nss_2011_12_type2","mean_log_real_mpce",7.0382638123192,0.0890012224672749,0.0126453376628899,NA,96,12,391,401423.895,50.7181228452172,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__18__05","nss_2011_12_type2","mean_log_real_mpce",6.93515561787145,0.0442235847138418,0.00637672564980092,NA,192,24,1010,1748526.975,52.2477008998711,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__18__06","nss_2011_12_type2","mean_log_real_mpce",7.15933568374029,0.0776258650702776,0.010842607261254,NA,160,20,774,1422134.075,66.0239228557608,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__18__07","nss_2011_12_type2","mean_log_real_mpce",7.12766724950461,0.155095695351344,0.0217596711409506,NA,96,12,462,693977.95,27.4074979068344,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__18__08","nss_2011_12_type2","mean_log_real_mpce",7.11367874421142,0.0954483538570298,0.0134175800298402,NA,120,15,565,805987.78,30.9228629293488,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__18__09","nss_2011_12_type2","mean_log_real_mpce",6.92894466302547,0.0765770772710364,0.0110517663215973,NA,128,16,694,889679.035,29.2205250119333,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__18__10","nss_2011_12_type2","mean_log_real_mpce",7.07428901287486,0.0637660685770878,0.0090137777041674,NA,192,24,866,2168895.31,41.8847786583772,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__18__11","nss_2011_12_type2","mean_log_real_mpce",7.04770966033594,0.054096181181893,0.00767571080380096,NA,184,23,899,1685146.95,65.9239742044736,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__18__12","nss_2011_12_type2","mean_log_real_mpce",7.09073860276621,0.0483753747127189,0.00682233225941327,NA,128,16,572,838689.715,56.0156755889407,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__18__13","nss_2011_12_type2","mean_log_real_mpce",7.07969250704826,0.0963998065351557,0.0136163832594684,NA,96,12,465,682588.96,31.949353390549,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__18__14","nss_2011_12_type2","mean_log_real_mpce",7.1578150098587,0.0723248546570606,0.010104320181151,NA,128,16,592,1122915.715,43.7077429400858,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__18__15","nss_2011_12_type2","mean_log_real_mpce",7.25937466954783,0.0901991701796466,0.0124251983518664,NA,128,16,619,1502488.375,48.8474487173342,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
"pc2001__18__16","nss_2011_12_type2","mean_log_real_mpce",7.12394137211032,0.0537727396384589,0.00754817267994021,NA,128,16,544,977597.1,42.941442608037,"estimated",NA,TRUE,TRUE,TRUE,NA,TRUE,NA
