"target_unit_2001","n_source_districts","n_sample_people","n_fsu","sum_person_weight","kish_effective_n","n_rural_people","n_urban_people","preferred_eligible","support_reason"
"pc2001__06__01",1,123,4,128480.5375,49.3954203926298,34,89,FALSE,"too_few_psus;low_kish_effective_n"
"pc2001__06__02",1,501,14,1103794.2625,310.049368833079,265,236,TRUE,
"pc2001__06__03",1,467,13,1034387.2675,252.280663617517,186,281,TRUE,
"pc2001__06__04",1,548,17,1046218.545,319.75205896952,248,300,TRUE,
"pc2001__06__05",1,428,11,905902.781249999,184.128190371838,314,114,TRUE,
"pc2001__06__06",1,515,14,1482932.21,218.934596454381,388,127,TRUE,
"pc2001__06__07",1,803,22,1891488.5575,341.062772855124,323,480,TRUE,
"pc2001__06__08",1,489,13,1202992.5225,199.235361888045,246,243,TRUE,
"pc2001__06__09",1,441,12,1099696.15,177.442987109691,332,109,TRUE,
"pc2001__06__10",1,711,19,1457801.24374999,333.848357295415,647,64,TRUE,
"pc2001__06__11",1,783,21,1522281.53375,328.73562227266,518,265,TRUE,
"pc2001__06__14",1,577,16,1090928.25,293.105385975262,226,351,TRUE,
"pc2001__06__15",1,378,10,718420.84625,182.400309333014,233,145,TRUE,
"pc2001__06__16",1,228,6,349763.755,88.7455364664375,154,74,FALSE,"low_kish_effective_n"
"pc2001__06__17",1,626,17,1199163.1825,287.728876788411,438,188,TRUE,
"pc2001__06__19",1,1043,29,2139120.67875,505.726079925371,235,808,TRUE,
"pc2001__07__01",1,2853,94,9600220.22499998,1135.94330718586,138,2715,TRUE,
"pc2001__07__02",1,95,3,372089.50375,50.8779723992028,62,33,FALSE,"too_few_psus;low_kish_effective_n"
"pc2001__07__03",1,189,5,737360.0175,109.585978956798,36,153,TRUE,
"pc2001__07__04",1,134,4,532532.154999999,86.4623262433978,0,134,FALSE,"too_few_psus;low_kish_effective_n"
"pc2001__07__05",1,87,3,210527.91875,52.7634047209217,0,87,FALSE,"too_few_psus;low_kish_effective_n"
"pc2001__07__07",1,216,6,851016.051250001,172.376469335673,0,216,TRUE,
"pc2001__07__08",1,90,3,247778.2,53.4279735393254,37,53,FALSE,"too_few_psus;low_kish_effective_n"
"pc2001__07__09",1,292,9,2141119.37875,160.287407072883,0,292,TRUE,
"pc2001__08__02",1,586,14,1927400.1275,306.592606868465,414,172,TRUE,
"pc2001__08__04",1,532,12,1574512.995,309.982514181532,302,230,TRUE,
"pc2001__08__05",1,468,13,1399462.22499999,184.987984174883,279,189,TRUE,
"pc2001__08__11",1,447,12,1588113.51625,217.900840346355,316,131,TRUE,
"pc2001__08__17",1,1084,25,3904371.51000002,383.371144415664,919,165,TRUE,
"pc2001__08__18",1,455,10,1718438.98500001,156.428282548903,310,145,TRUE,
"pc2001__08__19",1,138,3,552019.025,36.546241678831,113,25,FALSE,"too_few_psus;low_kish_effective_n"
"pc2001__08__20",1,369,9,1331869.20625,132.227625926394,289,80,TRUE,
"pc2001__08__23",1,424,11,877453.96125,194.443839404345,226,198,TRUE,
"pc2001__08__27",1,267,7,975545.192499999,98.5676035466118,236,31,FALSE,"low_kish_effective_n"
"pc2001__08__29",1,595,15,1660693.78875,201.903304612586,411,184,TRUE,
"pc2001__08__32",1,353,8,959508.79125,141.822084897336,303,50,TRUE,
"pc2001__09__01",1,883,22,3782579.55999999,345.28003305729,527,356,TRUE,
"pc2001__09__03",1,808,19,3658235.41749999,315.053355328122,423,385,TRUE,
"pc2001__09__05",1,513,11,2062776.56875,174.226299531535,290,223,TRUE,
"pc2001__09__11",1,873,20,3359119.16125,356.359183529745,627,246,TRUE,
"pc2001__09__12",1,954,23,3254577.31625001,461.054455143875,446,508,TRUE,
"pc2001__09__14",1,436,11,2212919.29125,238.862029542831,369,67,TRUE,
"pc2001__09__15",1,1263,31,4046167.26500001,560.998588251429,408,855,TRUE,
"pc2001__09__16",1,697,17,2509344.39125,341.112411002018,411,286,TRUE,
"pc2001__09__17",1,465,11,1858957.00875,226.233372088946,300,165,TRUE,
"pc2001__09__18",1,405,11,1878243.7925,224.564219857565,364,41,TRUE,
"pc2001__09__20",1,1296,30,4484256.33750003,423.813256091357,578,718,TRUE,
"pc2001__09__21",1,450,12,2256260.90875001,197.04828475023,419,31,TRUE,
"pc2001__09__22",1,539,13,2260261.80500001,179.359293379667,283,256,TRUE,
"pc2001__09__24",1,841,21,4345732.30500001,264.703509694656,790,51,TRUE,
"pc2001__09__25",1,1152,29,4349443.39375,386.022202941281,777,375,TRUE,
"pc2001__09__26",1,679,18,3025611.61999999,233.867083556675,574,105,TRUE,
"pc2001__09__27",1,1072,31,4572487.3975,390.057716439922,177,895,TRUE,
"pc2001__09__28",1,638,19,2741506.53499999,258.631207591253,508,130,TRUE,
"pc2001__09__29",1,445,11,1765483.45875,166.099270057179,330,115,TRUE,
"pc2001__09__30",1,386,10,1904307.32375,183.838181088884,288,98,TRUE,
"pc2001__09__31",1,474,13,2030057.54875,246.354558595419,349,125,TRUE,
"pc2001__09__32",1,145,4,744682.326250001,73.7166454975857,145,0,FALSE,"too_few_psus;low_kish_effective_n"
"pc2001__09__33",1,319,9,1291120.35625,194.572214152777,269,50,TRUE,
"pc2001__09__34",1,1227,35,3249202.68874998,727.318065867966,255,972,TRUE,
"pc2001__09__35",1,404,10,1432461.945,269.433482123195,252,152,TRUE,
"pc2001__09__36",1,501,13,1146396.66375,210.93813591693,142,359,TRUE,
"pc2001__09__37",1,364,9,1320386.15,95.1074871045824,293,71,FALSE,"low_kish_effective_n"
"pc2001__09__38",1,268,7,1107418.98,129.589805981626,235,33,TRUE,
"pc2001__09__39",1,234,6,692326.336250002,92.7417237642396,158,76,FALSE,"low_kish_effective_n"
"pc2001__09__40",1,628,16,2339803.34625001,214.801368997769,477,151,TRUE,
"pc2001__09__41",1,115,3,275141.0525,61.0169048392218,28,87,FALSE,"too_few_psus;low_kish_effective_n"
"pc2001__09__42",1,400,11,1553138.11625,172.922084375649,238,162,TRUE,
"pc2001__09__43",1,616,17,2770591.01124999,344.571762988148,530,86,TRUE,
"pc2001__09__44",1,412,11,2019203.36125,169.109473642264,412,0,TRUE,
"pc2001__09__48",1,323,9,1499253.31750001,170.078396980192,285,38,TRUE,
