"target_unit_2001","outcome_id","estimate","std_error","n_sample_people","n_fsu","sum_person_weight","kish_effective_n","preferred_eligible","support_reason","status","analysis_eligible"
"pc2001__09__66","regular_salaried_share_employed_age15plus",0.112331725962193,0.0355184257281435,168,12,600656.755,57.5820520946861,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__67","regular_salaried_share_employed_age15plus",0.123983330360944,0.0377393241849484,288,20,931265.514999999,136.309466321143,TRUE,,"estimated",TRUE
"pc2001__09__68","regular_salaried_share_employed_age15plus",0.0552266779111352,0.0168576632721078,204,12,440382.455,73.7907820138693,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__69","regular_salaried_share_employed_age15plus",0.0706749520340527,0.0212754674008455,164,12,838376.02,67.0006602786367,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__09__70","regular_salaried_share_employed_age15plus",0.0565649941547679,0.0288391778193838,164,12,444687.22,55.8152232960373,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__10__01","regular_salaried_share_employed_age15plus",0.0296555829903919,0.018024746281277,173,16,739027.96,49.9918289288886,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__10__02","regular_salaried_share_employed_age15plus",0.0908149429694132,0.0269145901397194,229,20,934467.415,65.537308610512,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__10__03","regular_salaried_share_employed_age15plus",0.0276009856908724,0.00742009403772197,133,12,111499.46,20.7578229702246,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__10__04","regular_salaried_share_employed_age15plus",0.039897516223414,0.0177181708436382,156,16,652475.955,44.2165087663508,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__10__05","regular_salaried_share_employed_age15plus",0.0977451090834227,0.0380020229109395,174,20,795111.19,52.6003885213462,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__10__06","regular_salaried_share_employed_age15plus",0.034176036855262,0.00962302279052426,95,12,346740.175,24.8230785091639,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__10__07","regular_salaried_share_employed_age15plus",0.0172404764315969,0.00407187283156744,160,16,550060.495,35.1467156172883,FALSE,"low_kish_effective_n","estimated",FALSE
"pc2001__10__08","regular_salaried_share_employed_age15plus",0.0528575949130684,0.0249163151554796,100,12,275756.02,27.4589417977099,FALSE,"low_kish_effective_n","estimated",FALSE
