"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","households_total","households_no_literate","households_1_literate","households_2_literates","households_3_literates","households_4_plus_literates","households_age15_plus","households_with_matriculate","households_with_female_matriculate","households_with_graduate","households_with_female_graduate","households_no_workers","households_1_worker","households_2_workers","households_3_workers","households_4_plus_workers","workers_total","main_workers","marginal_workers_3_6_months","marginal_workers_lt3_months","census_year","no_literate_share_households","two_plus_literate_share_households","four_plus_literate_share_households","matriculate_access_share_households_age15_plus","female_matriculate_access_share_households_age15_plus","graduate_access_share_households_age15_plus","female_graduate_access_share_households_age15_plus","workerless_share_households","two_plus_worker_share_households","four_plus_worker_share_households","workers_per_household","marginal_worker_share_workers","short_marginal_share_marginal_workers"
"pc2001__09__32",1,"Auraiya",TRUE,247896,14603,24153,40017,38493,130630,247263,146292,83007,50558,21565,10239,122504,65530,27313,22310,441466,325315,95212,20939,2011,0.0589077677735825,0.843660244618711,0.526954852034724,0.591645333106854,0.33570327950401,0.204470543510351,0.087214827936246,0.0413036111917901,0.464521412205118,0.0899974182721787,1.78085164746507,0.263102934314307,0.180273953732641
"pc2001__09__33",1,"Kanpur Dehat",TRUE,328245,22946,35935,55176,53676,160512,327220,184377,102525,55356,23238,11391,146536,95018,39727,35573,625417,446556,143901,34960,2011,0.0699051013724505,0.820618745144633,0.489000594068455,0.563464947130371,0.313321312878186,0.169170588594829,0.0710164415378033,0.0347027372846502,0.518874621090953,0.10837331871011,1.90533595332754,0.28598678961397,0.195459043614874
"pc2001__09__34",1,"Kanpur Nagar",TRUE,854562,59972,75598,129199,134675,455118,851929,555378,407139,272414,181575,38310,422452,212885,97800,83115,1552166,1214698,275188,62280,2011,0.0701786412220529,0.84135732691133,0.532574582066603,0.651906438212574,0.477902501264777,0.319761388566418,0.213133958346294,0.044829983079051,0.460820864957721,0.0972603509166099,1.81632930085822,0.21741746694619,0.184550831486245
"pc2001__09__35",1,"Jalaun",TRUE,287719,19917,29231,42477,48236,147858,286931,163063,81224,58781,22178,9901,108977,84813,38962,45066,619319,419463,161605,38251,2011,0.0692237912685641,0.82918055463838,0.513897240015432,0.568300392777358,0.283078510164465,0.204861099009866,0.0772938441646249,0.0344120478661472,0.586826035124549,0.156631991630723,2.15251338980047,0.322702839732028,0.191392802818029
"pc2001__09__36",1,"Jhansi",TRUE,365982,25315,38894,61086,65315,175372,364847,183862,103026,75370,39887,14710,127171,117134,44700,62267,804066,550245,215486,38335,2011,0.0691700684733129,0.824556945423545,0.479182036275008,0.503942748604209,0.282381381784693,0.206579744386003,0.109325278815503,0.040193233547005,0.612327928695947,0.170136782683301,2.1970096890011,0.315671847833387,0.151031632528435
"pc2001__09__37",1,"Lalitpur",TRUE,221599,30580,33230,41317,37224,79248,220918,56929,27703,19692,8840,6416,65259,86193,25946,37785,501119,355137,122919,23063,2011,0.137997012621898,0.712047437037171,0.357618942323747,0.257692899627916,0.125399469486416,0.0891371459093419,0.0400148471378521,0.028953199247289,0.676555399618229,0.170510697250439,2.26137753329212,0.29131204364632,0.157985231055884
"pc2001__09__38",1,"Hamirpur",TRUE,204418,21658,27156,34471,35216,85917,203706,88876,38943,31474,10884,8879,68395,67855,26797,32492,442382,289491,127590,25301,2011,0.105949573912278,0.761204981948752,0.420300560615993,0.436295445396797,0.191172572236458,0.154506985557617,0.0534299431533681,0.0434355095930887,0.621980451819311,0.158948820553963,2.16410492226712,0.345608546459847,0.165483906835589
"pc2001__09__39",1,"Mahoba",TRUE,157821,19321,21678,27066,27001,62755,156995,55813,24059,19007,6852,7265,51114,52873,19808,26761,347911,237544,92434,17933,2011,0.12242350511022,0.740218348635479,0.397634028424608,0.355508137201822,0.153246918691678,0.121067549921972,0.0436447020605752,0.0460331641543267,0.63009358703848,0.169565520431375,2.20446581887075,0.317227681792182,0.162485163137532
"pc2001__09__40",1,"Banda",TRUE,319528,36849,45171,55501,53346,128661,318596,123042,50886,45335,15087,12813,106970,106232,41837,51676,700528,482358,181553,36617,2011,0.11532322675947,0.743308880598883,0.402659547833054,0.386200705595802,0.159719519391329,0.142296199575638,0.047354643498349,0.0400997721639418,0.625125184647355,0.161726045917729,2.19238376605493,0.311436516456159,0.167837007837925
"pc2001__09__41",1,"Chitrakoot",TRUE,167898,20440,23384,28737,27396,67941,167251,65479,25784,22085,6170,5372,47355,62169,21783,31219,393389,282082,91842,19465,2011,0.121740580590597,0.738984383375621,0.404656398527678,0.391501396105255,0.154163502759326,0.132047043067007,0.0368906613413373,0.0319956163861392,0.685958141252427,0.185940273261147,2.34302374060441,0.282943854556177,0.174876692391314
"pc2001__09__42",1,"Fatehpur",TRUE,471409,51557,61858,80623,79425,197946,469843,206295,108851,64415,26897,17597,149935,155756,67039,81082,1061809,668919,315139,77751,2011,0.109367873757183,0.759412739256145,0.419902886877425,0.439072200713855,0.231675261736367,0.137098988385482,0.057246782435835,0.0373285193961083,0.644614337019446,0.171999261787535,2.2524156305883,0.370019466777923,0.197895085138334
"pc2001__09__43",1,"Pratapgarh",TRUE,530675,48701,64886,80368,85081,251639,527383,279588,159476,83625,33779,52793,199253,142315,59655,76659,1060707,550292,379685,130730,2011,0.0917718000659537,0.785957506948697,0.474186649079003,0.530142230599014,0.302391241280056,0.158565975770929,0.0640502253580415,0.099482734253545,0.525046403165779,0.144455646111085,1.99878833561031,0.481202631829525,0.256124917958916
"pc2001__09__48",1,"Ambedkar Nagar",TRUE,367315,24641,36069,52009,57305,197291,365066,207994,137550,80188,41683,27330,132143,103229,45678,58935,784101,439389,264792,79920,2011,0.0670841103684848,0.834719518669262,0.537116643752637,0.569743553220514,0.376781184772069,0.219653432530008,0.114179353870259,0.0744048024175435,0.565841307869268,0.160448116739039,2.13468276547378,0.439627037843339,0.231845714683562
"pc2001__09__50",1,"Bahraich",TRUE,601702,161378,106459,98623,76962,158280,598396,131766,64391,40463,17094,27597,278158,160369,65580,69998,1146280,739928,327397,78955,2011,0.268202532150467,0.554867691980416,0.263053804042533,0.220198664429575,0.107606000040107,0.0676191017319634,0.0285663674222421,0.0458648965767107,0.491849786106744,0.116333334441302,1.90506263898076,0.354496283630527,0.194301984486357
"pc2001__09__52",1,"Balrampur",TRUE,322779,79653,50870,49098,41610,101548,320873,71087,31234,21443,8129,13987,113782,89454,42626,62930,757248,456715,245265,55268,2011,0.246772559553131,0.595627348743258,0.314605349170795,0.221542479423323,0.0973406924234822,0.0668270624203345,0.0253340106521895,0.043333054504785,0.604159502322022,0.194963117179246,2.34602622847211,0.396875264114266,0.183899937777216
"pc2001__09__53",1,"Gonda",TRUE,539697,91386,79263,84369,77440,207239,536434,184995,92140,55564,23072,31051,211353,142497,65696,89100,1166768,737504,340297,88967,2011,0.169328345349335,0.683805913318028,0.383991387760169,0.344860691156787,0.171763907582293,0.103580309972895,0.0430099508979669,0.0575341348942092,0.550851681591708,0.165092635312036,2.16189454453147,0.367908615937359,0.207254743001975
"pc2001__09__55",1,"Basti",TRUE,381089,39126,46174,57180,58950,179659,378896,172735,97254,56793,25236,28379,145888,105055,46479,55288,781114,442319,258291,80504,2011,0.102668930354851,0.776167771832826,0.471435806333953,0.455890270681137,0.256677294033191,0.149890735188548,0.0666040285460918,0.0744681688529451,0.542713119507517,0.145078971054006,2.04968918021774,0.433733104258789,0.237618618928851
"pc2001__09__60",1,"Deoria",TRUE,466452,30967,48356,64840,74416,247873,463882,277103,168348,81744,36613,54640,187093,114183,52549,57987,872187,453513,305879,112795,2011,0.0663883958049274,0.82994391705899,0.531400872972996,0.597356655356319,0.362911257604305,0.176217227657033,0.0789273996404258,0.117139598501025,0.481762324955194,0.124315042062206,1.86983226569936,0.480027792205112,0.269410089950654
"pc2001__09__61",1,"Azamgarh",TRUE,663925,44973,63061,90552,104840,360499,659887,373997,236679,119033,57451,71235,237676,171442,79812,103760,1368020,781609,436843,149568,2011,0.0677380728244907,0.837279813231916,0.542981511465904,0.56675915724965,0.358665953413236,0.180383914215616,0.0870618757453928,0.107293745528486,0.534720036148661,0.156282712655797,2.06050382196784,0.428656744784433,0.255056607055461
"pc2001__09__62",1,"Mau",TRUE,323722,19686,28924,43878,49820,181414,321156,199407,129842,67710,34740,28200,112319,89933,39501,53769,694689,395034,230535,69120,2011,0.0608114369736997,0.84984029506799,0.560400590630232,0.620903859806449,0.404295731669345,0.21083211897022,0.108171729626723,0.0871117810961257,0.565926937310408,0.166096218360198,2.14594312403853,0.431351295327837,0.230665265054813
"pc2001__09__63",1,"Ballia",TRUE,478840,33949,47828,66002,73977,257084,475769,303818,175322,96153,40132,49766,171675,121439,56274,79686,1016516,567725,360548,88243,2011,0.0708984211845293,0.829218528109598,0.536889148776209,0.638583009821993,0.368502361440111,0.202100178868316,0.0843518598311365,0.103930331634784,0.537546988555676,0.166414668782892,2.12287194052293,0.44149919922559,0.196623818213823
"pc2001__09__64",1,"Jaunpur",TRUE,659921,46327,67126,90852,102342,353274,655466,382920,229940,130539,54468,66086,231524,168275,79382,114654,1429244,892144,412031,125069,2011,0.0702008270686946,0.828080936960636,0.535327713468733,0.584195061223618,0.350803855577559,0.199154494664864,0.0830981317108744,0.100142289758926,0.549021776849047,0.173738977847348,2.16578044947804,0.375793076619528,0.232859802643828
"pc2001__09__65",1,"Ghazipur",TRUE,545590,40702,59568,73478,82765,289077,536448,342936,199130,107778,44264,50591,182068,148218,66919,97794,1202103,765316,338174,98613,2011,0.0746018072178742,0.816217306035668,0.529842922340952,0.639271653543307,0.371200936530661,0.200910433070866,0.08251312335958,0.0927271394270423,0.573564398174453,0.179244487618908,2.2033083450943,0.363352391600387,0.225769081955278
"pc2001__09__66",1,"Chandauli",TRUE,296326,26099,29476,41571,44805,154375,295024,168308,96325,55887,23140,15402,106458,88948,36051,49467,651242,341165,242354,67723,2011,0.088075295451631,0.812453176569049,0.520963398419308,0.570489180541244,0.326498861109605,0.18943204620641,0.0784342968707631,0.05197653935193,0.588763726436425,0.16693438982742,2.1977214284268,0.4761317605437,0.218407040831793
"pc2001__09__67",1,"Varanasi",TRUE,557241,35291,45680,72016,81426,322828,554117,348732,234328,151757,86068,28340,216827,147911,73122,91041,1211833,914181,239257,58395,2011,0.0633316643965537,0.854693032278673,0.57933282009041,0.62934723172182,0.422885419505267,0.273871763544522,0.1553245975128,0.050857707885816,0.56003416834009,0.163378143388588,2.17470178971038,0.245621302605227,0.196185478343838
"pc2001__09__69",1,"Mirzapur",TRUE,394012,42037,47476,61251,60180,183068,392196,186422,102129,64953,26736,17922,133132,127071,48988,66899,878839,534797,275115,68927,2011,0.106689643970234,0.772816563962519,0.464625442879912,0.475328662199512,0.260402961784414,0.165613621760548,0.0681699966343359,0.04548592428657,0.616625889566815,0.169789244997614,2.23048790392171,0.391473296018952,0.2003447253533
"pc2001__09__70",1,"Sonbhadra",TRUE,332458,47589,50208,58446,52400,123815,331294,124553,68056,44924,19989,11989,110022,120583,35739,54125,728505,396007,260094,72404,2011,0.143142893237642,0.705836526719165,0.372422982752709,0.375959117883209,0.205424788858235,0.135601610653981,0.060336136483003,0.0360616980189979,0.633003266578034,0.162802519415986,2.19126927311119,0.456411417903789,0.2177577007982
"pc2001__10__01",1,"Pashchim Champaran",TRUE,709084,143171,125518,136482,103689,200224,706810,166853,69758,43291,11602,20800,261285,253474,78562,94963,1474527,794358,564038,116131,2011,0.201909787838958,0.621075923303868,0.282369930783941,0.236064854770023,0.0986941327938201,0.0612484260267964,0.0164145951528699,0.029333619148084,0.602183944356381,0.133923484382668,2.07948141545995,0.461279447578783,0.170738448826689
"pc2001__10__02",1,"Purba Champaran",TRUE,979577,214521,176260,197465,139219,252112,977124,255064,110594,61427,16152,34178,463742,315875,86653,79129,1732852,1129526,499240,104086,2011,0.218993504339118,0.601071687064927,0.257368231389671,0.261035446882893,0.113183178388823,0.0628651020750693,0.016530143564174,0.0348905701134265,0.491698968023953,0.0807787442947313,1.76897987600771,0.348169376265255,0.172520328976374
"pc2001__10__03",1,"Sheohar",TRUE,149955,40897,29672,33328,18670,27388,149570,32451,13685,7503,1798,6836,92132,37814,7925,5248,215966,137508,64381,14077,2011,0.27272848521223,0.529398819645894,0.182641459104398,0.216961957611821,0.0914956207795681,0.0501638029016514,0.0120211272313967,0.0455870094361642,0.340015337934714,0.0349971658164116,1.44020539495182,0.363288665808507,0.179420836625965
"pc2001__10__04",1,"Sitamarhi",TRUE,735567,204615,138125,153071,93753,146003,734275,169970,77469,46635,13717,29246,435105,191165,47024,33027,1112225,751981,302460,57784,2011,0.278173164375237,0.53404652465377,0.198490416236726,0.231480031323414,0.105504068639134,0.0635116271151816,0.0186810118824691,0.0397598043414128,0.36871692177599,0.0449000566909609,1.51206484249565,0.323894895367394,0.160402393933001
"pc2001__10__05",1,"Madhubani",TRUE,896999,167938,160036,187244,140456,241325,894717,291029,121165,90070,21892,43116,378307,316160,77224,82192,1633084,1071357,445587,116140,2011,0.187222059333399,0.634365255702626,0.26903597439908,0.325274919332035,0.135422709080078,0.100668703064768,0.0244680720272444,0.0480669432184428,0.530185652380883,0.0916299795206015,1.82060849566165,0.343966997411033,0.206755238754769
"pc2001__10__06",1,"Supaul",TRUE,442573,77622,85409,97284,71571,110687,441434,113059,44403,28364,5950,11188,156671,186745,39590,48379,875863,471125,334702,70036,2011,0.175388015084517,0.631629132369123,0.250098853748421,0.256117562308295,0.100588083382793,0.0642542259998097,0.0134787986426057,0.0252794454248226,0.620720197571926,0.109313039882686,1.97902492922072,0.462101949734148,0.173040337205797
"pc2001__10__08",1,"Kishanganj",TRUE,338019,81448,62233,68672,45938,79728,336814,54582,25695,13164,3103,16913,193516,80543,27813,19234,526676,382263,118452,25961,2011,0.240956869288413,0.574932178368672,0.235868397930294,0.162053833866763,0.0762883965630882,0.0390838860617433,0.00921279994299524,0.0500356488836426,0.377463988710694,0.0569021268035229,1.55812543081898,0.274197039546135,0.17976913435771
"pc2001__10__09",1,"Purnia",TRUE,646621,179405,116109,123920,83330,143857,644444,140389,68095,40568,12013,23524,304248,209797,57099,51953,1140842,774678,302302,63862,2011,0.277450005490078,0.54298731405259,0.222474989213156,0.217845150238035,0.10566472804464,0.0629503882416471,0.0186408749247413,0.0363798886828606,0.493100285948028,0.0803453645953348,1.76431325304931,0.320959431717977,0.174408188680482
"pc2001__10__11",1,"Madhepura",TRUE,400981,100490,74476,81677,56597,87741,400118,110738,46613,29047,6806,8592,149989,168987,34242,39171,776510,442892,279387,54231,2011,0.250610378047838,0.563655135779501,0.218815854117776,0.276763354810331,0.11649813305075,0.0725960841551742,0.0170099820552937,0.0214274491808839,0.604517421024936,0.0976879203752796,1.93652567079238,0.429637738084506,0.162554178731363
"pc2001__10__12",1,"Saharsa",TRUE,368693,89251,67390,72635,50870,88547,367977,108317,47489,33696,9283,11326,171277,129276,28790,28024,648859,362582,235226,51051,2011,0.242074029070256,0.57514517498298,0.240164581372578,0.294358071292499,0.12905426154352,0.0915709405750903,0.0252271201732717,0.0307193247498596,0.504728866563781,0.07600903732916,1.75988966430065,0.441200630645487,0.178327284413348
"pc2001__10__14",1,"Muzaffarpur",TRUE,943653,158150,145272,196846,143885,299500,941313,317993,168823,95266,38175,46894,500052,256522,77645,62540,1542923,907181,528620,107122,2011,0.167593384432625,0.678460196703661,0.317383614527798,0.337818557695474,0.179348420769712,0.101205443885296,0.0405550544824091,0.0496941142559818,0.420394996889747,0.0662743614443021,1.63505335117888,0.412037412106761,0.168499171047375
"pc2001__10__15",1,"Gopalganj",TRUE,412180,47807,55337,69362,65615,174059,409961,164802,84335,35360,11744,48081,178264,100338,41679,43818,726393,362246,283490,80657,2011,0.115985734387889,0.749759813673638,0.422288805861517,0.4019943360466,0.205714689933921,0.0862521069077302,0.0286466273621149,0.116650492503275,0.450858848076083,0.106307923722645,1.76231986025523,0.501308520318891,0.221495714642713
"pc2001__10__16",1,"Siwan",TRUE,534612,46268,64598,88741,86005,249000,532124,247169,125149,52842,16018,56949,241639,126994,55243,53787,930503,461135,365653,103715,2011,0.0865450083424989,0.792623435313835,0.465758344369374,0.464495117679338,0.235187663025911,0.099303921642324,0.0301020062992836,0.106523983748962,0.441486536029868,0.100609413930103,1.74052022775396,0.504423951346745,0.220967343321232
"pc2001__10__17",1,"Saran",TRUE,630284,77548,81461,101760,94153,275362,627950,296678,146216,71988,21139,67319,305151,144719,59676,53419,1038770,544728,396409,97633,2011,0.12303659937425,0.74771848880822,0.436885594430447,0.472454813281312,0.232846564216896,0.114639700613106,0.033663508241102,0.106807407454417,0.409044176910726,0.0847538569914515,1.64809831758382,0.475602876478913,0.197620850049186
"pc2001__10__19",1,"Samastipur",TRUE,834936,146550,137653,173193,126065,251475,833595,272675,132565,74809,23213,33194,454079,233989,65763,47911,1342218,906640,367213,68365,2011,0.175522435252522,0.659611036055458,0.301190749949697,0.32710728831147,0.159028065187531,0.0897426208170634,0.0278468560871886,0.039756340605747,0.416394789540755,0.0573828413195742,1.60756992152692,0.324521053956958,0.156952371331885
"pc2001__10__20",1,"Begusarai",TRUE,588275,101031,92597,125103,85526,184018,586870,202348,104468,58313,20374,25611,325315,160610,42958,33781,935654,590268,289014,56372,2011,0.171741107475245,0.670854617313331,0.312809485359738,0.344791861911497,0.178008758328079,0.0993627208751512,0.0347163767103447,0.0435357613361098,0.403466066040542,0.0574238238918873,1.59050444095024,0.369138591829886,0.163214490454159
"pc2001__10__21",1,"Khagaria",TRUE,328172,73168,53621,69173,44477,87733,327163,100862,47430,22825,6600,10139,161123,110513,24571,21826,559620,305669,210615,43336,2011,0.222956254646953,0.613650768499445,0.2673384688517,0.308292808172073,0.1449736064286,0.0697664466947668,0.0201734303695711,0.0308953841278354,0.478133417841863,0.0665078068817571,1.70526431261655,0.453791858761302,0.170647093336904
"pc2001__10__23",1,"Banka",TRUE,380993,72439,61139,76027,58548,112840,380139,118262,52072,25640,6401,13486,142433,137977,39026,48071,769615,373334,305172,91109,2011,0.190132102164607,0.649395133243918,0.296173420509038,0.3111019916399,0.136981472566614,0.0674490120719,0.0168385774677158,0.0353969757974556,0.590756260613712,0.126172921812212,2.02002398994207,0.51490810340235,0.22991008905297
"pc2001__10__24",1,"Munger",TRUE,262653,34179,33456,51943,39447,103628,261974,131187,71611,36860,13113,12267,140220,72991,20592,16583,425534,232750,154391,38393,2011,0.130129867163139,0.742492946968053,0.394543370911431,0.500763434539305,0.273351553971005,0.14070098559399,0.0500545855695603,0.0467042066909573,0.419435529005951,0.0631365337536598,1.62013759599167,0.453040180103117,0.199150344426923
"pc2001__10__25",1,"Lakhisarai",TRUE,163078,25259,21676,27437,24443,64263,162269,69720,33041,14876,4204,7299,67345,49567,17904,20963,325477,201278,102695,21504,2011,0.154889071487264,0.71219293834852,0.394062963735145,0.429656927694137,0.203618682557975,0.0916749348304359,0.0259075978775983,0.0447577232980537,0.542280381167294,0.128545849225524,1.99583634825053,0.381590711478845,0.173141490672228
"pc2001__10__26",1,"Sheikhpura",TRUE,100475,14652,13104,16185,14646,41888,99885,42355,19747,10129,2561,5426,33534,32532,11611,17372,224028,147609,62465,13954,2011,0.145827320228913,0.723752177158497,0.416899726300075,0.424037643289783,0.197697351954748,0.101406617610252,0.0256394854082195,0.0540034834535954,0.612241851206768,0.172898731027619,2.22968897735755,0.34111361079865,0.182598568418849
"pc2001__10__27",1,"Nalanda",TRUE,476697,70432,63346,77517,71796,193606,474810,226157,114146,67574,18821,20661,165515,157430,55562,77529,1042725,738727,256317,47681,2011,0.147750038284277,0.719364711756105,0.406140588256272,0.476310524209684,0.240403529832986,0.142317979823508,0.0396390135001369,0.0433419971176659,0.609445832468004,0.162637902063575,2.18739576712251,0.291541873456568,0.156846426621228
"pc2001__10__28",1,"Patna",TRUE,971530,115675,108233,145479,139905,462238,966884,536981,330254,239917,110467,50483,431331,265149,108549,116018,1869598,1362116,432180,75302,2011,0.119064774119173,0.769530534311859,0.47578355789322,0.555372723098117,0.341565275669056,0.248134212583929,0.114250520227866,0.0519623686350396,0.504066781262545,0.11941782549175,1.92438524801087,0.271439100812046,0.148383587989328
"pc2001__10__30",1,"Buxar",TRUE,261132,24091,30712,40147,38780,127402,259878,134743,62518,39268,10942,16175,100139,75528,32306,36984,537066,327823,165096,44147,2011,0.0922560237734173,0.790132959576,0.487883522509689,0.518485597087864,0.240566727464426,0.151101670783983,0.0421043720515011,0.0619418531623853,0.554577761438659,0.141629520702174,2.05668397592022,0.389603884811178,0.210984357899667
"pc2001__10__31",1,"Kaimur (Bhabua)",TRUE,250295,25409,30585,39549,37373,117379,248125,109954,50872,33599,9425,12755,99676,75823,28011,34030,509726,283856,179173,46697,2011,0.101516210871172,0.776287980183384,0.468962624103558,0.443139546599496,0.205025692695214,0.135411586901763,0.037984886649874,0.0509598673565193,0.550806048862342,0.135959567710102,2.03650092890389,0.443120421559818,0.206742816664453
"pc2001__10__32",1,"Rohtas",TRUE,459000,37101,48476,69261,67963,236199,456872,249682,131046,81696,25862,20598,195081,129972,53305,60044,921701,540527,293225,87949,2011,0.0808300653594771,0.813557734204793,0.51459477124183,0.546503178133044,0.286833073596106,0.178815948449456,0.0566066644486858,0.044875816993464,0.530111111111111,0.130814814814815,2.00806318082789,0.413554938098147,0.230731896719084
"pc2001__10__35",1,"Gaya",TRUE,686012,101850,86146,108616,99808,289592,682301,279120,141449,75483,24208,28172,208061,227667,82446,139666,1655850,1001565,543611,110674,2011,0.148466790668385,0.725958146504726,0.422138388249768,0.409086312346017,0.207311728987646,0.110630059167435,0.0354799421369747,0.0410663370320053,0.655643049975802,0.20359119082465,2.41373328746436,0.39513542893378,0.169152586411121
"pc2001__10__36",1,"Nawada",TRUE,337511,59385,41607,50806,47939,137774,335684,136857,63891,33020,8546,16203,105349,105232,40135,70592,814861,507205,251677,55979,2011,0.175949820894726,0.700774196989135,0.408205954768882,0.407695928313533,0.190330787288045,0.0983663207063786,0.0254584668914813,0.0480073242057296,0.639857663898362,0.20915466458871,2.41432427387552,0.377556417597603,0.181953220480017
"pc2001__10__37",1,"Jamui",TRUE,306758,50635,48364,58207,47390,102162,305351,94865,38078,18257,4593,9694,84145,119501,35296,58122,726425,444534,231174,50717,2011,0.165064969780739,0.677273290346136,0.333037769186134,0.310675255689354,0.124702391673844,0.059790208645133,0.0150417061021578,0.0316014578266907,0.694094367547057,0.189471831215486,2.36807190032534,0.388052448635441,0.179917060140267
"pc2001__11__03",1,"South District",TRUE,30382,1256,3082,6274,6019,13751,30323,11819,7754,3944,2086,670,8237,11330,4472,5673,72861,49777,15583,7501,2011,0.0413402672635113,0.85721808965835,0.452603515239286,0.389770141476767,0.255713484813508,0.130066286317317,0.0687926656333476,0.0220525311039431,0.70683299321967,0.186722401421895,2.39816338621552,0.316822442733424,0.324943683936926
"pc2001__11__04",1,"East District",TRUE,61120,2093,6407,14394,12878,25348,61022,32077,21911,13049,7391,2097,22243,20640,7779,8361,128086,100402,20771,6913,2011,0.034244109947644,0.860929319371728,0.414725130890052,0.525662875684179,0.359067221657763,0.213840909835797,0.121120251712497,0.034309554973822,0.601767015706806,0.136796465968586,2.09564790575916,0.216136033602423,0.249711024418437
"pc2001__12__01",1,"Tawang",TRUE,9915,2463,2346,1973,1374,1759,9901,3034,1596,991,356,437,3162,3789,1283,1244,27507,23533,3556,418,2011,0.248411497730711,0.514977307110439,0.177407967725668,0.306433693566306,0.161195838804161,0.1000908999091,0.035955964044036,0.0440746343923348,0.637014624306606,0.125466464952093,2.77428139183056,0.14447231613771,0.105183694011072
"pc2001__12__09",1,"Upper Siang",TRUE,7291,1301,1571,1525,1107,1787,7271,2786,1216,879,226,277,1939,2854,1024,1197,17512,14415,2328,769,2011,0.178439171581402,0.60608969962968,0.245096694554931,0.383166001925457,0.167239719433365,0.12089121166277,0.0310823820657406,0.0379920449869702,0.696063640104238,0.164175010286655,2.40186531340008,0.176850159890361,0.248304811107523
"pc2001__12__10",2,"Dibang Valley;Lower Dibang Valley",TRUE,13416,1943,2574,2819,2193,3887,13384,5580,3089,1853,734,550,5521,4659,1347,1339,25475,22004,2881,590,2011,0.144827072152654,0.663312462731067,0.289728682170543,0.416915720263001,0.230797967722654,0.138448894202032,0.0548416019127316,0.0409958258795468,0.547480620155039,0.0998062015503876,1.89885211687537,0.136251226692836,0.169979832901181
"pc2001__12__12",1,"Changlang",TRUE,29242,5188,5584,6031,4573,7866,29163,8570,4400,2364,904,716,10676,10625,3361,3864,60676,48582,9572,2522,2011,0.17741604541413,0.631625743793174,0.268996648656043,0.293865514521826,0.15087611013956,0.081061619174982,0.0309981826286733,0.0244853293208399,0.610423363655017,0.132138704602968,2.07496067300458,0.199320983584943,0.208533156937324
"pc2001__12__13",1,"Tirap",TRUE,20462,4108,4537,4217,3087,4513,20360,6175,2994,1537,598,721,5255,7312,3165,4009,49906,44068,4524,1314,2011,0.200762388818297,0.577509529860229,0.22055517544717,0.303290766208251,0.14705304518664,0.0754911591355599,0.0293713163064833,0.0352360473072036,0.707946437298407,0.195924152086795,2.43896002345812,0.116979922253837,0.225077081192189
"pc2001__13__01",1,"Mon",TRUE,41820,6946,5997,8170,6444,14263,41606,7492,3650,1560,562,687,4571,12246,6426,17890,146230,103698,25184,17348,2011,0.166092778574845,0.69050693448111,0.341056910569106,0.180070182185262,0.0877277315771764,0.0374945921261357,0.0135076671633899,0.0164275466284075,0.874270683883309,0.42778574844572,3.49665231946437,0.290856869315462,0.40788112480015
"pc2001__13__03",1,"Mokokchung",TRUE,42444,1741,3764,8422,6778,21739,42334,21091,14206,6499,3601,2029,11475,15390,5722,7828,97946,79019,13374,5553,2011,0.0410187541230798,0.870299689001979,0.512180755819433,0.49820475268106,0.335569518590258,0.153517267444607,0.0850616525724004,0.0478041654886439,0.681839600414664,0.184431250589011,2.30765243615116,0.193239131766484,0.293390394674275
"pc2001__13__04",1,"Zunheboto",TRUE,27687,2111,2631,6290,3524,13131,27584,12043,7897,3700,1860,645,4605,11495,3427,7515,77989,47956,13407,16626,2011,0.076245169212988,0.828728284032217,0.474265900964352,0.4365936774942,0.286289153132251,0.134135730858469,0.0674303944315545,0.0232961317585871,0.810380322895222,0.27142702351284,2.81680933289992,0.385092769493134,0.55359104984517
"pc2001__13__05",1,"Wokha",TRUE,31769,1615,2261,6411,4125,17357,31733,15895,10056,4853,2196,882,7365,13628,3890,6004,76999,62294,9937,4768,2011,0.0508357203563222,0.877994271144827,0.546350215619,0.500898118677717,0.316894085021901,0.152932278700407,0.069202407588315,0.0277629135320596,0.740407315307375,0.188989266265857,2.42371494223929,0.190976506188392,0.324243454607276
"pc2001__14__04",1,"Bishnupur",TRUE,46476,2288,4490,10096,8974,20628,46388,29908,19218,11925,5820,883,11406,19362,6778,8047,108587,75092,26027,7468,2011,0.0492297099578277,0.85416128754626,0.443841982958947,0.644735707510563,0.414288177977063,0.257070794170906,0.125463481934983,0.0189990532748085,0.7355839573113,0.173143127635769,2.3364101902057,0.308462338954018,0.222958650544857
"pc2001__14__05",1,"Thoubal",TRUE,85772,4385,9411,20842,17724,33410,85636,51889,30788,17995,7443,1747,21078,37835,12046,13066,193360,131588,47621,14151,2011,0.0511239099006669,0.839154968987548,0.389521055822413,0.605925078238124,0.359521696482788,0.210133588677659,0.0869143818020459,0.020367952245488,0.733887515739402,0.152334095042671,2.25434873851607,0.319466280513033,0.229084374797643
"pc2001__14__06",1,"Imphal West",TRUE,110906,2605,7651,26647,21695,52308,110778,86280,65914,44654,28527,5504,42337,39651,12378,11036,209892,162679,37961,9252,2011,0.0234883595116585,0.907525291688457,0.471642652336213,0.778855007311921,0.595009839498817,0.403094477242774,0.25751503006012,0.0496276125728094,0.568634699655564,0.0995076911979514,1.89252159486412,0.224939492691479,0.195962976298901
