"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","households_total","households_no_literate","households_1_literate","households_2_literates","households_3_literates","households_4_plus_literates","households_age15_plus","households_with_matriculate","households_with_female_matriculate","households_with_graduate","households_with_female_graduate","households_no_workers","households_1_worker","households_2_workers","households_3_workers","households_4_plus_workers","workers_total","main_workers","marginal_workers_3_6_months","marginal_workers_lt3_months","census_year","no_literate_share_households","two_plus_literate_share_households","four_plus_literate_share_households","matriculate_access_share_households_age15_plus","female_matriculate_access_share_households_age15_plus","graduate_access_share_households_age15_plus","female_graduate_access_share_households_age15_plus","workerless_share_households","two_plus_worker_share_households","four_plus_worker_share_households","workers_per_household","marginal_worker_share_workers","short_marginal_share_marginal_workers"
"pc2001__27__11",1,"Gondiya",TRUE,291541,11354,24022,58732,58777,138656,290826,169079,109701,35898,17219,9308,67377,120589,46279,47988,663670,432943,196040,34687,2011,0.0389447796364834,0.878658576323742,0.475596914327659,0.581375117768013,0.377204926657176,0.123434631016484,0.0592072235632303,0.0319268987895356,0.736966670211051,0.16460120531932,2.27642081216707,0.34765320113912,0.150337845158997
"pc2001__27__12",1,"Gadchiroli",TRUE,248602,23821,33578,63741,49435,78027,248274,112132,64445,22411,8818,7373,57040,102582,37742,43865,578229,388275,161873,28081,2011,0.0958198244583712,0.769112879220602,0.313863122581476,0.451646165124016,0.259572085679531,0.0902672047818136,0.0355172108235256,0.0296578466786269,0.740899107810878,0.176446689889864,2.32592255894965,0.32850998479841,0.147830527390842
"pc2001__27__13",1,"Chandrapur",TRUE,534967,37096,58278,133572,110194,195827,534652,304567,199366,79126,39631,20378,178942,211124,68196,56327,1054155,801574,213769,38812,2011,0.0693425949638015,0.821719844401617,0.366054354754592,0.569654653868311,0.372889281252104,0.14799533154276,0.074124851305148,0.0380920692304385,0.627416270536313,0.10529060671032,1.97050472272121,0.239605181401217,0.153661597665699
"pc2001__27__14",1,"Yavatmal",TRUE,645538,39592,64126,156871,122498,262451,644951,311365,183948,72808,33105,21230,187843,267882,86264,82319,1353820,1193453,139975,20392,2011,0.0613317883687715,0.839330914678919,0.406561658647516,0.48277310989517,0.285212364970362,0.112889196233512,0.0513294808442812,0.0328872971072191,0.676125960051926,0.12751999107721,2.0971964469946,0.118455186066094,0.127158330579234
"pc2001__27__15",1,"Nanded",TRUE,663674,41032,67677,147882,126917,280166,662235,342085,175703,99099,33254,19719,185931,259375,90205,108444,1490699,1315187,156317,19195,2011,0.0618255348258332,0.836201207219207,0.422144004435913,0.516561341517739,0.265318202752799,0.149643253527826,0.050214802902293,0.0297118766141208,0.690134011577973,0.163399500357103,2.2461313837818,0.117738054429499,0.109365741373809
"pc2001__27__16",1,"Hingoli",TRUE,228471,12501,19631,46676,43926,105737,227896,103664,46472,24456,6543,6450,48902,90483,32701,49935,568423,513703,48454,6266,2011,0.054715915805507,0.859360706610467,0.462802718944636,0.454874153122477,0.203917576438375,0.107312107277004,0.0287104644223681,0.0282311540633166,0.757728551982527,0.218561655527397,2.48794376529188,0.0962663368653274,0.114510233918129
"pc2001__27__17",1,"Parbhani",TRUE,360103,26649,38105,77291,69126,148932,359404,171651,85711,48999,16974,12221,95297,139699,50442,62444,820687,754948,57482,8257,2011,0.0740038266829213,0.820179226499085,0.41358166968895,0.477599025052587,0.238480929538903,0.136334041913835,0.0472281888904965,0.0339375123228632,0.701424314709958,0.173405942188763,2.27903405414562,0.0801024020119729,0.125602762439343
"pc2001__27__20",1,"Nashik",TRUE,1219537,68437,102074,240211,222590,586225,1216458,714495,454452,236573,121327,44607,386559,416259,152470,219642,2748016,2509407,204856,33753,2011,0.056117198576181,0.860183823861023,0.480694722669341,0.587356900114924,0.373586264383974,0.194476915766923,0.0997379276555376,0.0365769960239009,0.646451071185212,0.180102776709522,2.25332728732298,0.08682955266636,0.141457363301468
"pc2001__27__22",1,"Mumbai Suburban",TRUE,2098683,38083,158923,410178,442810,1048689,2095465,1611364,1149183,755439,516215,111161,983630,594948,245717,163227,3701947,3485690,180700,35557,2011,0.0181461421281823,0.906128748362664,0.499689090729758,0.76897681421546,0.548414313768066,0.360511390073325,0.246348662468712,0.052967027416718,0.478343799420875,0.0777759194694959,1.76393814597059,0.058417097813664,0.164420111256514
"pc2001__27__23",1,"Mumbai",TRUE,669121,16995,59430,120733,130059,341904,667926,510495,371412,240607,162146,45106,302435,177105,77865,66610,1249498,1176436,61858,11204,2011,0.025398993605043,0.8857829899226,0.510974846104068,0.764298739680743,0.556067588325653,0.360230025481865,0.242760425556124,0.0674108270402513,0.480600668638408,0.0995485121525105,1.86737226899171,0.0584730827900485,0.153349210259779
