state_code_1991,district_code_1991,ipum1993,district_name_helms_lim,linguistic_distance_1991_helms_lim,source_row_count,source_years
26,10,26010,Calcutta,2.9931874,3,1991;2001;2011
26,11,26011,Howrah,3.0066998,3,1991;2001;2011
26,12,26012,Hooghly,3.0579164,3,1991;2001;2011
26,13,26013,Midnapur,3.1218262,3,1991;2001;2011
26,14,26014,Bankura,3.1670957,3,1991;2001;2011
26,15,26015,Puruliya,3.2477846,3,1991;2001;2011
26,16,26016,Burdwan,3.1074963,3,1991;2001;2011
26,17,26017,Birbhum,3.1275501,3,1991;2001;2011
27,01,27001,Andaman,4.2769804,3,1991;2001;2011
27,02,27002,Nicobar,4.868082,3,1991;2001;2011
