academic_year,state_report,district_report,medium_slot,language_label,source_pdf,source_page
2005-06,ASSAM,GOLAGHAT,3,Bengali,District report card 2005-06 vol-1.pdf,73
2005-06,ASSAM,GOLAGHAT,4,English,District report card 2005-06 vol-1.pdf,73
2005-06,ASSAM,GOLAGHAT,5,Bodo,District report card 2005-06 vol-1.pdf,73
2005-06,ASSAM,HAILAKANDI,1,Bengali,District report card 2005-06 vol-1.pdf,74
2005-06,ASSAM,HAILAKANDI,2,Manipuri,District report card 2005-06 vol-1.pdf,74
2005-06,ASSAM,HAILAKANDI,3,English,District report card 2005-06 vol-1.pdf,74
2005-06,ASSAM,HAILAKANDI,4,Others,District report card 2005-06 vol-1.pdf,74
2005-06,ASSAM,JORHAT,1,Assamese,District report card 2005-06 vol-1.pdf,75
2005-06,ASSAM,JORHAT,2,Bengali,District report card 2005-06 vol-1.pdf,75
2005-06,ASSAM,JORHAT,3,English,District report card 2005-06 vol-1.pdf,75
2005-06,ASSAM,JORHAT,4,Hindi,District report card 2005-06 vol-1.pdf,75
2005-06,ASSAM,JORHAT,5,Others,District report card 2005-06 vol-1.pdf,75
2005-06,ASSAM,KAMRUP,1,Assamese,District report card 2005-06 vol-1.pdf,76
2005-06,ASSAM,KAMRUP,2,Bengali,District report card 2005-06 vol-1.pdf,76
2005-06,ASSAM,KAMRUP,3,Hindi,District report card 2005-06 vol-1.pdf,76
2005-06,ASSAM,KAMRUP,4,Bodo,District report card 2005-06 vol-1.pdf,76
2005-06,ASSAM,KAMRUP,5,Garo,District report card 2005-06 vol-1.pdf,76
2005-06,ASSAM,KARBI ANGLONG,1,Assamese,District report card 2005-06 vol-1.pdf,77
2005-06,ASSAM,KARBI ANGLONG,2,English,District report card 2005-06 vol-1.pdf,77
2005-06,ASSAM,KARBI ANGLONG,3,Hindi,District report card 2005-06 vol-1.pdf,77
2005-06,ASSAM,KARBI ANGLONG,4,Bengali,District report card 2005-06 vol-1.pdf,77
2005-06,ASSAM,KARBI ANGLONG,5,Bodo,District report card 2005-06 vol-1.pdf,77
2005-06,ASSAM,KARIMGANJ,1,Bengali,District report card 2005-06 vol-1.pdf,78
2005-06,ASSAM,KARIMGANJ,2,Assamese,District report card 2005-06 vol-1.pdf,78
2005-06,ASSAM,KARIMGANJ,3,Hindi,District report card 2005-06 vol-1.pdf,78
2005-06,ASSAM,KOKRAJHAR,1,Assamese,District report card 2005-06 vol-1.pdf,79
2005-06,ASSAM,KOKRAJHAR,2,Bodo,District report card 2005-06 vol-1.pdf,79
2005-06,ASSAM,KOKRAJHAR,3,Bengali,District report card 2005-06 vol-1.pdf,79
2005-06,ASSAM,KOKRAJHAR,4,Hindi,District report card 2005-06 vol-1.pdf,79
2005-06,ASSAM,KOKRAJHAR,5,Others,District report card 2005-06 vol-1.pdf,79
2005-06,ASSAM,LAKHIMPUR,1,Assamese,District report card 2005-06 vol-1.pdf,80
2005-06,ASSAM,LAKHIMPUR,2,Bodo,District report card 2005-06 vol-1.pdf,80
2005-06,ASSAM,LAKHIMPUR,3,Bengali,District report card 2005-06 vol-1.pdf,80
2005-06,ASSAM,LAKHIMPUR,4,Hindi,District report card 2005-06 vol-1.pdf,80
2005-06,ASSAM,LAKHIMPUR,5,English,District report card 2005-06 vol-1.pdf,80
2005-06,ASSAM,MARIGAON,1,Assamese,District report card 2005-06 vol-1.pdf,81
2005-06,ASSAM,MARIGAON,2,Hindi,District report card 2005-06 vol-1.pdf,81
2005-06,ASSAM,MARIGAON,3,Bengali,District report card 2005-06 vol-1.pdf,81
2005-06,ASSAM,MARIGAON,4,Bodo,District report card 2005-06 vol-1.pdf,81
2005-06,ASSAM,MARIGAON,5,Others,District report card 2005-06 vol-1.pdf,81
2005-06,ASSAM,NAGAON,1,Assamese,District report card 2005-06 vol-1.pdf,82
2005-06,ASSAM,NAGAON,2,Bengali,District report card 2005-06 vol-1.pdf,82
2005-06,ASSAM,NAGAON,3,Hindi,District report card 2005-06 vol-1.pdf,82
2005-06,ASSAM,NAGAON,4,Marathi,District report card 2005-06 vol-1.pdf,82
2005-06,ASSAM,NAGAON,5,Others,District report card 2005-06 vol-1.pdf,82
2005-06,ASSAM,NALBARI,1,Assamese,District report card 2005-06 vol-1.pdf,83
2005-06,ASSAM,NALBARI,2,Bodo,District report card 2005-06 vol-1.pdf,83
2005-06,ASSAM,NALBARI,3,Hindi,District report card 2005-06 vol-1.pdf,83
2005-06,ASSAM,NORTH CACHAR HILLS,1,English,District report card 2005-06 vol-1.pdf,84
2005-06,ASSAM,NORTH CACHAR HILLS,2,Bengali,District report card 2005-06 vol-1.pdf,84
2005-06,ASSAM,NORTH CACHAR HILLS,3,Assamese,District report card 2005-06 vol-1.pdf,84
2005-06,ASSAM,NORTH CACHAR HILLS,4,Hindi,District report card 2005-06 vol-1.pdf,84
2005-06,ASSAM,NORTH CACHAR HILLS,5,Others,District report card 2005-06 vol-1.pdf,84
2005-06,ASSAM,SIBSAGAR,1,Assamese,District report card 2005-06 vol-1.pdf,85
2005-06,ASSAM,SIBSAGAR,2,Hindi,District report card 2005-06 vol-1.pdf,85
2005-06,ASSAM,SIBSAGAR,3,Bengali,District report card 2005-06 vol-1.pdf,85
2005-06,ASSAM,SIBSAGAR,4,Others,District report card 2005-06 vol-1.pdf,85
2005-06,ASSAM,SONITPUR,1,Assamese,District report card 2005-06 vol-1.pdf,86
2005-06,ASSAM,SONITPUR,2,Bodo,District report card 2005-06 vol-1.pdf,86
2005-06,ASSAM,SONITPUR,3,Bengali,District report card 2005-06 vol-1.pdf,86
2005-06,ASSAM,SONITPUR,4,Hindi,District report card 2005-06 vol-1.pdf,86
2005-06,ASSAM,SONITPUR,5,Others,District report card 2005-06 vol-1.pdf,86
2005-06,ASSAM,TINSUKIA,1,Assamese,District report card 2005-06 vol-1.pdf,87
2005-06,ASSAM,TINSUKIA,2,Hindi,District report card 2005-06 vol-1.pdf,87
2005-06,ASSAM,TINSUKIA,3,Bengali,District report card 2005-06 vol-1.pdf,87
