"district_code_0708","state_code_2001","district_code_2001","social_group","reference_group","ling_distance_nonzero_mean","hindi_belt_2001","log_population_2001","urban_share_2001","adult_secondary_plus_share_2001","sc_share_2001","st_share_2001","muslim_share_2001","agricultural_worker_share_2001","dependency_ratio_2001","electricity_access_share_2001","log_population_density_2001","outcome","group_value","reference_value","gap_percentage_points"
"29409","29","09","Other Backward Class","Other",4.70668711764602,FALSE,14.2881687856437,54.9736855720388,25.2247669717913,8.22619624211393,4.3909532972667,19.6463400722953,53.051167873401,56.7895173822011,82.5407451628599,5.92750850328826,"enrollment_rate_0708",77.4826797919061,82.4302391217947,-4.94755932988861
"29411","29","11","Other Backward Class","Other",4.86032543810581,FALSE,14.1795395941564,20.7780331814809,15.3426733279154,12.185258172378,8.8361883267228,17.6446512998257,74.2301796572443,61.2328750225679,75.340650060017,5.70106283894232,"enrollment_rate_0708",52.8039334384221,72.2422404529603,-19.4383070145382
"29412","29","12","Other Backward Class","Other",4.82538954444595,FALSE,14.5221364906366,34.869323283049,15.0888086676417,18.4603924741261,17.9878054796413,12.7177205323757,66.5319318303992,69.0562450603112,72.9712780975133,5.48096625759352,"enrollment_rate_0708",66.2577674681791,76.3535222124201,-10.095754744241
"29413","29","13","Other Backward Class","Other",4.89378265197591,FALSE,14.2328357233918,18.0669821911383,19.4802485813825,22.1679877936301,17.5397392179701,7.20813547173192,71.8643457299798,58.7515545896511,78.2881611270205,5.19098039003061,"enrollment_rate_0708",76.6499288074677,80.5807806054708,-3.9308517980031
"29414","29","14","Other Backward Class","Other",4.80446151019096,FALSE,14.3982578800137,30.318958855402,20.7626733355818,18.6061379646132,11.7089123549933,12.6585190446198,65.2938767334243,58.000742626777,81.6186865056546,5.70769038254203,"enrollment_rate_0708",70.9312595976769,85.2702917948346,-14.3390321971577
"30101","30","01","Other Backward Class","Other",2.21698609804717,FALSE,13.5391943157238,45.0515639233139,35.4729351280283,2.25199156837905,0.0370432377635376,5.71902770069591,17.4616744899684,41.520916665733,94.2765223756959,6.11244431787018,"enrollment_rate_0708",54.2416108072284,71.2831912124412,-17.0415804052128
"30102","30","02","Other Backward Class","Other",2.33536888733506,FALSE,13.2863427399504,55.8191802680383,35.3647163147675,1.13869579609401,0.0483792936623125,8.28847639175345,15.0929019128641,44.2421017460926,92.6876078031242,5.71125971468378,"enrollment_rate_0708",79.8273892582994,82.171425601688,-2.3440363433886
"31101","31","01","Other Backward Class","Other",4.96879878164858,FALSE,11.0128749143722,44.4633140972795,14.8897379700925,0,94.5111294311624,95.4707337180544,0,61.0722734642886,99.7077922077922,4.5161183353614,"enrollment_rate_0708",0,100,-100
"32101","32","01","Other Backward Class","Other",4.89254351297255,FALSE,14.0012246868057,19.4090416069391,21.075883476417,7.49270396103907,2.51960421168728,34.3053357008433,15.0457705608539,54.0350531276767,57.1960979241283,6.41822046831069,"enrollment_rate_0708",85.4001601333176,96.6347426474512,-11.2345825141336
"32102","32","02","Other Backward Class","Other",4.98996516490551,FALSE,14.69470401659,50.3495290075867,28.8057739392143,4.10929049762636,0.828948307897695,27.6322191023829,19.239517359948,49.8048474499486,66.9863928898407,6.70577276103925,"enrollment_rate_0708",94.5000063337059,91.2475395742241,3.25246675948179
