"key","panel_key_status","join_key_status"
"18__19","not_in_panel","in_join_map"
"18__20","not_in_panel","in_join_map"
"18__21","not_in_panel","in_join_map"
"18__22","not_in_panel","in_join_map"
"18__23","not_in_panel","in_join_map"
"18__24","not_in_panel","in_join_map"
"18__25","not_in_panel","in_join_map"
"18__26","not_in_panel","in_join_map"
"18__27","not_in_panel","in_join_map"
"19__01","not_in_panel","in_join_map"
"19__02","not_in_panel","in_join_map"
"19__03","not_in_panel","in_join_map"
"19__04","not_in_panel","in_join_map"
"19__05","not_in_panel","in_join_map"
"19__06","not_in_panel","in_join_map"
"19__07","not_in_panel","in_join_map"
"19__08","not_in_panel","in_join_map"
"19__09","not_in_panel","in_join_map"
"19__10","not_in_panel","in_join_map"
"19__11","not_in_panel","in_join_map"
"19__12","not_in_panel","in_join_map"
"19__13","not_in_panel","in_join_map"
"19__14","not_in_panel","in_join_map"
"19__15","not_in_panel","in_join_map"
"19__16","not_in_panel","in_join_map"
"19__17","not_in_panel","in_join_map"
"19__18","not_in_panel","in_join_map"
"19__19","not_in_panel","in_join_map"
"19__19101","not_in_panel","in_join_map"
"19__19102","not_in_panel","in_join_map"
"19__19103","not_in_panel","in_join_map"
"19__19204","not_in_panel","in_join_map"
"19__19205","not_in_panel","in_join_map"
"19__19206","not_in_panel","in_join_map"
"19__19207","not_in_panel","in_join_map"
"19__19208","not_in_panel","in_join_map"
"19__19210","not_in_panel","in_join_map"
"19__19311","not_in_panel","in_join_map"
"19__19317","not_in_panel","in_join_map"
"19__19318","not_in_panel","in_join_map"
"19__19409","not_in_panel","in_join_map"
"19__19412","not_in_panel","in_join_map"
"19__19416","not_in_panel","in_join_map"
"19__19513","not_in_panel","in_join_map"
"19__19514","not_in_panel","in_join_map"
"19__19515","not_in_panel","in_join_map"
"20__01","not_in_panel","in_join_map"
"20__02","not_in_panel","in_join_map"
"20__03","not_in_panel","in_join_map"
"20__04","not_in_panel","in_join_map"
"20__05","not_in_panel","in_join_map"
"20__06","not_in_panel","in_join_map"
"20__07","not_in_panel","in_join_map"
"20__08","not_in_panel","in_join_map"
"20__09","not_in_panel","in_join_map"
"20__10","not_in_panel","in_join_map"
"20__11","not_in_panel","in_join_map"
"20__12","not_in_panel","in_join_map"
"20__13","not_in_panel","in_join_map"
"20__14","not_in_panel","in_join_map"
"20__15","not_in_panel","in_join_map"
"20__16","not_in_panel","in_join_map"
"20__17","not_in_panel","in_join_map"
"20__18","not_in_panel","in_join_map"
"20__19","not_in_panel","in_join_map"
"20__20","not_in_panel","in_join_map"
"20__20101","not_in_panel","in_join_map"
"20__20102","not_in_panel","in_join_map"
"20__20114","not_in_panel","in_join_map"
"20__20115","not_in_panel","in_join_map"
"20__20116","not_in_panel","in_join_map"
"20__20117","not_in_panel","in_join_map"
"20__20118","not_in_panel","in_join_map"
"20__20203","not_in_panel","in_join_map"
"20__20204","not_in_panel","in_join_map"
"20__20205","not_in_panel","in_join_map"
"20__20206","not_in_panel","in_join_map"
"20__20207","not_in_panel","in_join_map"
"20__20208","not_in_panel","in_join_map"
"20__20209","not_in_panel","in_join_map"
"20__20210","not_in_panel","in_join_map"
"20__20211","not_in_panel","in_join_map"
"20__20212","not_in_panel","in_join_map"
"20__20213","not_in_panel","in_join_map"
"20__21","not_in_panel","in_join_map"
"20__22","not_in_panel","in_join_map"
"20__23","not_in_panel","in_join_map"
"20__24","not_in_panel","in_join_map"
"21__01","not_in_panel","in_join_map"
"21__02","not_in_panel","in_join_map"
"21__03","not_in_panel","in_join_map"
"21__04","not_in_panel","in_join_map"
"21__05","not_in_panel","in_join_map"
"21__06","not_in_panel","in_join_map"
"21__07","not_in_panel","in_join_map"
"21__08","not_in_panel","in_join_map"
"21__09","not_in_panel","in_join_map"
"21__10","not_in_panel","in_join_map"
"21__11","not_in_panel","in_join_map"
"21__12","not_in_panel","in_join_map"
