"comparison_id","comparison_family","left_round","right_round","district_2001","outcome_id","transform","estimate_left","estimate_right","absolute_change","proportional_change","finite_common","preferred_common","preferred_eligible_left","preferred_eligible_right","n_households_left","n_households_right","n_fsu_left","n_fsu_right","kish_effective_n_left","kish_effective_n_right"
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__03__15","bottom40_mean_real_mpce","identity",1632.58385341623,1951.72536698272,319.14151356649,0.195482463518598,TRUE,TRUE,TRUE,TRUE,126,90,7,5,100.694597720693,62.8834788173014
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__03__16","bottom40_mean_real_mpce","identity",1531.2715997974,1814.34259590859,283.07099611119,0.184860083703402,TRUE,TRUE,TRUE,TRUE,221,234,13,13,160.521787804706,181.155317908424
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__03__17","bottom40_mean_real_mpce","identity",1270.54721905427,1498.76334937479,228.21613032052,0.179620345389754,TRUE,TRUE,TRUE,TRUE,330,249,19,14,236.748814923157,180.971073545385
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__04__01","bottom40_mean_real_mpce","identity",2636.44801695304,2772.82400127026,136.37598431722,0.0517271660356233,TRUE,TRUE,TRUE,TRUE,720,718,40,40,271.751510450771,285.589305255419
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__05__01","bottom40_mean_real_mpce","identity",1430.82117412564,1511.45838256641,80.6372084407699,0.0563572932096469,TRUE,TRUE,TRUE,TRUE,126,158,7,9,87.7503459549624,119.712448817719
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__05__02","bottom40_mean_real_mpce","identity",1456.87376233696,1320.52565754071,-136.34810479625,-0.0935895122289354,TRUE,TRUE,TRUE,TRUE,90,122,5,7,74.7447851497438,88.4717554179579
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__05__03","bottom40_mean_real_mpce","identity",1351.05438217531,1592.24277064915,241.18838847384,0.178518638224989,TRUE,TRUE,TRUE,TRUE,72,101,4,6,56.1014364816047,62.8010574804813
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__05__04","bottom40_mean_real_mpce","identity",1210.07784546434,1263.82577229519,53.74792683085,0.0444169166738405,TRUE,TRUE,TRUE,TRUE,90,108,5,7,61.3682240814839,72.8547031411398
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__05__05","bottom40_mean_real_mpce","identity",1868.02046244256,1661.1572154511,-206.86324699146,-0.110739283188029,TRUE,TRUE,TRUE,TRUE,607,605,34,35,143.687402539024,293.081015253497
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__05__06","bottom40_mean_real_mpce","identity",1333.35773790018,1530.17387767166,196.81613977148,0.147609403070952,TRUE,TRUE,TRUE,TRUE,180,151,10,10,127.732965573372,105.230834094632
