"target_unit_2001","migrant_stock_share_population_2011","recent_0_9_migrant_share_population_2011","interdistrict_migrant_share_population_2011","interstate_migrant_share_population_2011","migrant_stock_share_population_2001","recent_0_9_migrant_share_population_2001","interdistrict_migrant_share_population_2001","interstate_migrant_share_population_2001","migrant_stock_share_population_change_2011_2001","recent_0_9_migrant_share_population_change_2011_2001","interdistrict_migrant_share_population_change_2011_2001","interstate_migrant_share_population_change_2011_2001"
"pc2001__09__11",0.274686775810613,0.0825695571894029,0.116603332617926,0.0125561168631084,0.247763052834725,0.0629963317705197,0.0905341417214933,0.00759872054792075,0.026923722975888,0.0195732254188832,0.0260691908964327,0.00495739631518765
"pc2001__09__12",0.304643117960287,0.088601207058787,0.145324205494505,0.0137965518283214,0.240602669664598,0.0588269303134794,0.113798948362556,0.009175927702098,0.064040448295689,0.0297742767453076,0.031525257131949,0.0046206241262234
"pc2001__09__14",0.323115644570632,0.0929642303029542,0.153709351189392,0.0609347420523998,0.2641719803559,0.0755573830233172,0.134215402532446,0.0527265154860218,0.058943664214732,0.017406847279637,0.019493948656946,0.008208226566378
"pc2001__09__15",0.29966708133458,0.07094668526298,0.114744804977463,0.0468790487546724,0.210949178496734,0.049514478366694,0.0807955174459651,0.0340771111545681,0.088717902837846,0.021432206896286,0.0339492875314979,0.0128019376001043
"pc2001__09__16",0.298880854518293,0.0756321863006153,0.139518508852129,0.00827010002577902,0.24685697418067,0.0606597894355364,0.128670922639431,0.00843855548920143,0.052023880337623,0.0149723968650789,0.010847586212698,-0.000168455463422409
"pc2001__09__18",0.26819011104457,0.0701043441124007,0.151223770142181,0.00542298246374555,0.251867894017604,0.0589609436356326,0.140456862138462,0.00599792825032348,0.016322217026966,0.0111434004767681,0.010766908003719,-0.000574945786577931
"pc2001__09__20",0.259449608271275,0.0685819197596237,0.0852399727629897,0.0156495912312833,0.212611048118479,0.0581701873299234,0.0724815667101182,0.0156281909882554,0.046838560152796,0.0104117324297003,0.0127584060528715,2.14002430278977e-05
"pc2001__09__21",0.250021787221807,0.0631706340746241,0.0906579839458948,0.019358869762635,0.237703039722633,0.0597283098597542,0.0871501832926793,0.0237943134593538,0.012318747499174,0.0034423242148699,0.0035078006532155,-0.0044354436967188
"pc2001__09__22",0.248948458326487,0.0633263241642048,0.100496983573798,0.0104648602478997,0.22593240196165,0.0565797504175081,0.0891879639932414,0.0199611045369536,0.023016056364837,0.0067465737466967,0.0113090195805566,-0.0094962442890539
"pc2001__09__24",0.263609747742636,0.061899976627969,0.0558622762930888,0.00367886472589603,0.249809029077585,0.0576332977038457,0.0463656679451473,0.00866600491040459,0.013800718665051,0.0042666789241233,0.0094966083479415,-0.00498714018450856
