"target_unit_2001","state_code_2001","district_code_2001","in_iv_panel","in_iv_design_support","all_mechanism_outcomes_complete","in_common_analysis","exclusion_reason"
"pc2001__28__03","28","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__28__04","28","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__28__05","28","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__28__06","28","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__28__07","28","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__28__08","28","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__28__09","28","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__28__10","28","10",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__28__11","28","11",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__28__12","28","12",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__28__13","28","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__28__14","28","14",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__28__15","28","15",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__28__16","28","16",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__28__17","28","17",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__28__18","28","18",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__28__19","28","19",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__28__20","28","20",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__28__21","28","21",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__28__22","28","22",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__28__23","28","23",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__29__02","29","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__29__05","29","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__29__06","29","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__29__07","29","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__29__08","29","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__29__09","29","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__29__11","29","11",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__29__13","29","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__29__16","29","16",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__29__20","29","20",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__29__22","29","22",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__29__23","29","23",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__29__24","29","24",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__29__25","29","25",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__30__01","30","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__31__01","31","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__32__01","32","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__32__02","32","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__32__03","32","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__32__04","32","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__32__05","32","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__32__06","32","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__32__07","32","07",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__32__08","32","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__32__09","32","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__32__10","32","10",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__32__11","32","11",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__32__12","32","12",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__32__13","32","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__32__14","32","14",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__33__02","33","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__33__05","33","05",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__33__06","33","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__33__08","33","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__33__09","33","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__33__11","33","11",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__33__13","33","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__33__14","33","14",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__33__15","33","15",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__33__16","33","16",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__33__17","33","17",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__33__18","33","18",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__33__20","33","20",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__33__21","33","21",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__33__22","33","22",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__33__23","33","23",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__33__24","33","24",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__33__25","33","25",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__33__26","33","26",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__33__27","33","27",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__33__30","33","30",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__34__01","34","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__34__03","34","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__34__04","34","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__35__01","35","01",TRUE,TRUE,TRUE,TRUE,"included"
