"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","migrants_total","migrants_illiterate","migrants_literate","migrants_literate_below_matric","migrants_matric_below_graduate","migrants_technical_diploma_below_degree","migrants_graduate_nontechnical","migrants_technical_degree","migrants_literate_education_not_classified","census_year","literate_share_among_migrants","graduate_or_technical_degree_share_among_migrants","technical_credential_share_among_migrants"
"pc2001__10__23",1,"Banka",TRUE,542079,342780,199299,120795,47806,189,8284,636,21589,2011,0.367656743758751,0.0164551661289222,0.0015219183919687
"pc2001__10__24",1,"Munger",TRUE,370054,171093,198961,94740,65156,184,15925,1420,21536,2011,0.537653964016062,0.0468715376674756,0.00433450253206289
"pc2001__10__25",1,"Lakhisarai",TRUE,264355,156021,108334,53939,32584,87,5321,458,15945,2011,0.409804997068336,0.0218607554235781,0.0020616216829642
"pc2001__10__26",1,"Sheikhpura",TRUE,172236,98609,73627,37807,20206,66,3553,344,11651,2011,0.427477414710049,0.022625931860935,0.00238045472491233
"pc2001__10__27",1,"Nalanda",TRUE,811986,461331,350655,175669,114221,293,27704,2909,29859,2011,0.431848578670076,0.0377013889402034,0.00394341774365568
"pc2001__10__28",1,"Patna",TRUE,1936192,814198,1121994,478393,340619,1628,191781,30954,78619,2011,0.57948488579645,0.115037661554226,0.016827876574224
"pc2001__10__30",1,"Buxar",TRUE,465802,244789,221013,129377,58204,104,16710,1254,15364,2011,0.474478426455876,0.0385657425257942,0.00291540182309222
"pc2001__10__31",1,"Kaimur (Bhabua)",TRUE,445699,241275,204424,109763,44816,84,12771,851,36139,2011,0.458659319406146,0.0305632276491534,0.00209782835501089
"pc2001__10__32",1,"Rohtas",TRUE,862875,409457,453418,254087,130520,400,38622,2978,26811,2011,0.525473562219325,0.048210922787194,0.0039148196436332
"pc2001__10__35",1,"Gaya",TRUE,1186336,672440,513896,273107,138305,877,38225,3015,60367,2011,0.433179133061797,0.0347624956167561,0.00328068945054352
"pc2001__10__36",1,"Nawada",TRUE,555514,344001,211513,113434,58423,205,12642,853,25956,2011,0.380751880240642,0.0242928171027193,0.00190454245977599
"pc2001__10__37",1,"Jamui",TRUE,427378,282797,144581,85998,31365,102,6148,416,20552,2011,0.338297713031555,0.0153587690522208,0.00121204179906312
"pc2001__11__03",1,"South District",TRUE,50948,14397,36551,24405,7000,144,2526,428,2048,2011,0.717417759283976,0.0579806861898406,0.0112271335479312
"pc2001__11__04",1,"East District",TRUE,144928,35393,109535,64332,26610,659,10773,2173,4988,2011,0.755789081474939,0.0893271141532347,0.0195407374696401
"pc2001__12__01",1,"Tawang",TRUE,20168,8806,11362,6987,2573,86,837,173,706,2011,0.563367711225704,0.0500793335977787,0.0128421261404205
"pc2001__12__09",1,"Upper Siang",TRUE,12813,4912,7901,5124,1756,75,628,138,180,2011,0.616639350659486,0.0597830328572544,0.0166237415125263
"pc2001__12__10",2,"Dibang Valley;Lower Dibang Valley",TRUE,33812,13782,20030,12888,4573,147,1450,310,662,2011,0.592393233171655,0.0520525257305099,0.0135159115107063
"pc2001__12__12",1,"Changlang",TRUE,58512,27978,30534,20741,6440,184,1859,346,964,2011,0.521841673502871,0.0376845775225595,0.00905797101449275
"pc2001__12__13",1,"Tirap",TRUE,35950,15261,20689,13121,5032,106,1362,207,861,2011,0.575493741307371,0.043643949930459,0.00870653685674548
"pc2001__13__01",1,"Mon",TRUE,42972,15503,27469,19240,4060,70,919,120,3060,2011,0.639230196406963,0.0241785348599088,0.00442148375686494
"pc2001__13__03",1,"Mokokchung",TRUE,48282,6672,41610,23170,10659,422,4462,602,2295,2011,0.86181185534982,0.104883807630173,0.0212087320326416
"pc2001__13__04",1,"Zunheboto",TRUE,33150,3544,29606,15955,8693,341,2871,377,1369,2011,0.893092006033183,0.0979788838612368,0.021659125188537
"pc2001__13__05",1,"Wokha",TRUE,34512,4941,29571,17136,7986,159,2582,250,1458,2011,0.85683240611961,0.0820584144645341,0.0118509503940658
"pc2001__14__04",1,"Bishnupur",TRUE,40497,16475,24022,11843,7579,109,3197,152,1142,2011,0.593179741709262,0.0826974837642294,0.00644492184606267
"pc2001__14__05",1,"Thoubal",TRUE,69253,28970,40283,20585,12748,148,4180,187,2435,2011,0.581678772038756,0.0630586400589144,0.00483733556669025
"pc2001__14__06",1,"Imphal West",TRUE,169803,41664,128139,47893,42992,1189,27700,3064,5301,2011,0.754633310365541,0.181174655335889,0.0250466717313593
"pc2001__14__08",1,"Ukhrul",TRUE,42983,9740,33243,15417,12189,102,4138,270,1127,2011,0.773398785566387,0.102552171788847,0.00865458437056511
"pc2001__15__01",1,"Mamit",TRUE,23274,6759,16515,13561,1948,33,602,100,271,2011,0.709590100541377,0.0301624129930394,0.005714531236573
"pc2001__15__02",1,"Kolasib",TRUE,37402,6824,30578,24068,4337,32,1159,199,783,2011,0.817549863643655,0.0363082188118282,0.00617614031335223
"pc2001__15__07",1,"Lawngtlai",TRUE,29568,11004,18564,13055,3706,51,1078,156,518,2011,0.627840909090909,0.0417343073593074,0.00700081168831169
"pc2001__16__01",1,"West Tripura",TRUE,662870,121675,541195,366211,99451,1709,34048,4250,35526,2011,0.816442137975772,0.0577760345165719,0.00898969632054551
"pc2001__16__02",1,"South Tripura",TRUE,292750,64425,228325,168446,34561,300,9576,637,14805,2011,0.779931682322801,0.0348864218616567,0.00320068317677199
"pc2001__16__03",1,"Dhalai",TRUE,113100,23975,89125,61974,12007,97,2507,193,12347,2011,0.788019451812555,0.0238726790450928,0.00256410256410256
"pc2001__16__04",1,"North Tripura",TRUE,230903,48795,182108,130621,27696,304,7336,593,15558,2011,0.788677496611131,0.0343390947713975,0.00388474814099427
"pc2001__17__03",1,"South Garo Hills",TRUE,31970,11929,20041,15073,3501,13,336,98,1020,2011,0.626868939630904,0.0135752267751017,0.0034720050046919
"pc2001__17__05",1,"Ribhoi",TRUE,60209,22111,38098,28570,5751,73,1536,242,1926,2011,0.632762543805743,0.0295304688667807,0.00523177598033517
"pc2001__17__06",1,"East Khasi Hills",TRUE,221486,57139,164347,100176,38746,853,16822,2769,4981,2011,0.74201981163595,0.088452543275873,0.0163531780789756
"pc2001__18__03",1,"Goalpara",TRUE,347643,157819,189824,137090,32934,189,7530,637,11444,2011,0.546031417287275,0.0234924908598764,0.00237600066735128
"pc2001__18__13",1,"Dhemaji",TRUE,246602,101840,144762,82044,44353,153,10471,581,7160,2011,0.587026869206251,0.0448171547676012,0.00297645598981355
"pc2001__18__14",1,"Tinsukia",TRUE,433963,156552,277411,179701,64940,853,18711,1755,11451,2011,0.639250350836362,0.0471607026405477,0.00600972894002484
"pc2001__18__15",1,"Dibrugarh",TRUE,487837,150915,336922,191173,95446,1567,29226,3445,16065,2011,0.690644621051704,0.0669711399504343,0.01027392346214
"pc2001__19__07",1,"Murshidabad",TRUE,2235468,980423,1255045,940303,202495,1318,56815,4670,49444,2011,0.561423827135973,0.0275043078227915,0.00267863373575466
"pc2001__19__08",1,"Birbhum",TRUE,1192589,467271,725318,509774,127506,1188,46228,3721,36901,2011,0.608187732739443,0.0418828280321217,0.00411625463592235
"pc2001__19__13",1,"Bankura",TRUE,1334084,591577,742507,530196,126269,1625,41617,4035,38765,2011,0.556566902833705,0.034219734289595,0.0042426114097763
"pc2001__19__14",1,"Puruliya",TRUE,921486,516806,404680,287609,70352,944,23713,1870,20192,2011,0.439160225982815,0.0277627657935118,0.00305376316080765
"pc2001__19__16",1,"Haora",TRUE,1845731,463527,1382204,876414,287892,4033,129763,9373,74729,2011,0.748865354702283,0.0753825990894665,0.00726324691951319
"pc2001__19__17",1,"Kolkata",TRUE,837138,157492,679646,276553,177853,6755,159989,22984,35512,2011,0.811868533025618,0.218569698185962,0.0355246088458534
"pc2001__20__01",1,"Garhwa",TRUE,347021,237320,109701,65250,24467,177,6909,590,12308,2011,0.316122079067261,0.0216096432204391,0.00221024087879408
"pc2001__20__02",2,"Latehar;Palamu",TRUE,715123,444963,270160,158845,72597,597,23397,1724,13000,2011,0.377781164918483,0.0351282226973542,0.00324559551293973
"pc2001__20__03",1,"Chatra",TRUE,268520,174822,93698,56003,20424,98,5406,256,11511,2011,0.348942350662893,0.0210859526292269,0.0013183375539997
