"target_unit_2001","level","state_code","district_code","state_std","district_std","name_key","key","nonfarm_firms_raw","nonfarm_employment_raw","it_firms","it_employment","ec05_source_district_count","source_available","it_firm_share_nonfarm","it_employment_share_nonfarm"
"pc2001__23__12","district","23","12","madhya pradesh","damoh","damoh","23/12",58049,120125,67,96,1,TRUE,0.00115419731606057,0.000799167533818939
"pc2001__23__13","district","23","13","madhya pradesh","satna","satna","23/13",59347,135744,59,146,1,TRUE,0.000994153032166748,0.00107555398396983
"pc2001__23__14","district","23","14","madhya pradesh","rewa","rewa","23/14",40577,90223,21,47,1,TRUE,0.000517534563915519,0.0005209314698026
"pc2001__23__15","district","23","15","madhya pradesh","umaria","umaria","23/15",11298,23467,24,37,1,TRUE,0.00212426978226235,0.00157668214940129
"pc2001__23__16","district","23","16","madhya pradesh","shahdol","shahdol","23/16",35161,84673,79,180,2,TRUE,0.0022468075424476,0.00212582523354552
"pc2001__23__17","district","23","17","madhya pradesh","sidhi","sidhi","23/17",31602,65806,56,121,1,TRUE,0.00177203974431998,0.00183873810898702
"pc2001__23__18","district","23","18","madhya pradesh","neemuch","neemuch","23/18",19103,39468,18,31,1,TRUE,0.000942260377951107,0.000785446437620351
"pc2001__23__19","district","23","19","madhya pradesh","mandsaur","mandsaur","23/19",35175,70866,62,89,1,TRUE,0.00176261549395878,0.00125589140067169
"pc2001__23__20","district","23","20","madhya pradesh","ratlam","ratlam","23/20",34214,74945,87,166,1,TRUE,0.00254281872917519,0.00221495763559944
"pc2001__23__21","district","23","21","madhya pradesh","ujjain","ujjain","23/21",62239,155524,124,236,1,TRUE,0.00199231992801941,0.00151745068285281
"pc2001__23__22","district","23","22","madhya pradesh","shajapur","shajapur","23/22",32673,57999,59,88,1,TRUE,0.00180577235025862,0.0015172675390955
"pc2001__23__23","district","23","23","madhya pradesh","dewas","dewas","23/23",41150,101297,68,135,1,TRUE,0.00165249088699878,0.00133271469046467
"pc2001__23__24","district","23","24","madhya pradesh","jhabua","jhabua","23/24",19251,40499,20,29,1,TRUE,0.00103890706976261,0.000716067063384281
"pc2001__23__25","district","23","25","madhya pradesh","dhar","dhar","23/25",47834,117920,95,169,1,TRUE,0.00198603503783919,0.0014331750339213
"pc2001__23__26","district","23","26","madhya pradesh","indore","indore","23/26",100752,287563,660,2110,1,TRUE,0.00655073844687947,0.00733752256027375
"pc2001__23__27","district","23","27","madhya pradesh","west nimar","west nimar","23/27",34886,81720,68,120,1,TRUE,0.00194920598520897,0.00146842878120411
"pc2001__23__28","district","23","28","madhya pradesh","barwani","barwani","23/28",20013,42278,29,50,1,TRUE,0.00144905811222705,0.00118264818581768
"pc2001__23__29","district","23","29","madhya pradesh","east nimar","east nimar","23/29",,,,,,FALSE,,
"pc2001__23__30","district","23","30","madhya pradesh","rajgarh","rajgarh","23/30",27453,53870,34,57,1,TRUE,0.00123848031180563,0.00105810284017078
"pc2001__23__31","district","23","31","madhya pradesh","vidisha","vidisha","23/31",32547,63641,63,134,1,TRUE,0.00193566227302055,0.00210556088056442
"pc2001__23__32","district","23","32","madhya pradesh","bhopal","bhopal","23/32",58951,169879,306,970,1,TRUE,0.00519075164119353,0.00570994649132618
"pc2001__23__33","district","23","33","madhya pradesh","sehore","sehore","23/33",23691,49540,45,88,1,TRUE,0.00189945548942636,0.00177634234961647
"pc2001__23__34","district","23","34","madhya pradesh","raisen","raisen","23/34",18814,45670,41,72,1,TRUE,0.00217922823429361,0.00157652726078388
"pc2001__23__35","district","23","35","madhya pradesh","betul","betul","23/35",28310,70846,42,57,1,TRUE,0.00148357470858354,0.000804562007735087
"pc2001__23__36","district","23","36","madhya pradesh","harda","harda","23/36",14025,28575,51,104,1,TRUE,0.00363636363636364,0.00363954505686789
"pc2001__23__37","district","23","37","madhya pradesh","hoshangabad","hoshangabad","23/37",27237,62894,51,97,1,TRUE,0.00187245291331644,0.00154227748274875
"pc2001__23__38","district","23","38","madhya pradesh","katni","katni","23/38",34185,78602,48,108,1,TRUE,0.00140412461605968,0.00137401083941884
"pc2001__23__39","district","23","39","madhya pradesh","jabalpur","jabalpur","23/39",80642,259386,243,905,1,TRUE,0.00301331812207039,0.00348900865890989
"pc2001__23__40","district","23","40","madhya pradesh","narsimhapur","narsimhapur","23/40",27430,58648,44,79,1,TRUE,0.0016040831206708,0.00134701950620652
"pc2001__23__41","district","23","41","madhya pradesh","dindori","dindori","23/41",9699,18897,14,24,1,TRUE,0.00144344777812146,0.00127004286394666
"pc2001__23__42","district","23","42","madhya pradesh","mandla","mandla","23/42",18554,40833,38,81,1,TRUE,0.00204807588660127,0.00198368966277276
"pc2001__23__43","district","23","43","madhya pradesh","chhindwara","chhindwara","23/43",47003,97794,150,252,1,TRUE,0.00319128566261728,0.00257684520522731
"pc2001__23__44","district","23","44","madhya pradesh","seoni","seoni","23/44",30969,60779,64,114,1,TRUE,0.002066582711744,0.00187564783889172
"pc2001__23__45","district","23","45","madhya pradesh","balaghat","balaghat","23/45",43202,89540,12,26,1,TRUE,0.00027776491829082,0.000290373017645745
"pc2001__24__01","district","24","01","gujarat","kachchh","kachchh","24/01",59682,136831,163,301,1,TRUE,0.00273114171777085,0.00219979390635163
"pc2001__24__02","district","24","02","gujarat","banas kantha","banas kantha","24/02",54620,127294,36,70,1,TRUE,0.000659099231050897,0.000549908086791208
"pc2001__24__03","district","24","03","gujarat","patan","patan","24/03",36097,81392,56,122,1,TRUE,0.00155137546056459,0.00149891881265972
"pc2001__24__04","district","24","04","gujarat","mahesana","mahesana","24/04",64779,158704,79,128,1,TRUE,0.00121953102085552,0.00080653291662466
"pc2001__24__05","district","24","05","gujarat","sabar kantha","sabar kantha","24/05",57382,115602,85,173,1,TRUE,0.00148130075633474,0.00149651390114358
"pc2001__24__06","district","24","06","gujarat","gandhinagar","gandhinagar","24/06",39731,121496,97,719,1,TRUE,0.00244141853967934,0.00591789030091526
"pc2001__24__07","district","24","07","gujarat","ahmadabad","ahmadabad","24/07",249197,662784,1118,3233,1,TRUE,0.00448641035004434,0.00487790894167632
"pc2001__24__08","district","24","08","gujarat","surendranagar","surendranagar","24/08",54135,123646,72,119,1,TRUE,0.00133000831255195,0.000962424987464212
"pc2001__24__09","district","24","09","gujarat","rajkot","rajkot","24/09",138428,337141,796,1523,1,TRUE,0.00575028173490912,0.00451739776532667
"pc2001__24__10","district","24","10","gujarat","jamnagar","jamnagar","24/10",73279,155493,141,255,1,TRUE,0.00192415289509955,0.00163994520653663
"pc2001__24__11","district","24","11","gujarat","porbandar","porbandar","24/11",22031,44551,37,57,1,TRUE,0.00167945168172121,0.00127943256043635
"pc2001__24__12","district","24","12","gujarat","junagadh","junagadh","24/12",94455,185534,148,321,1,TRUE,0.00156688370123339,0.00173014110621234
"pc2001__24__13","district","24","13","gujarat","amreli","amreli","24/13",43462,113492,55,80,1,TRUE,0.00126547328700934,0.000704895499242237
"pc2001__24__14","district","24","14","gujarat","bhavnagar","bhavnagar","24/14",79613,225287,250,452,1,TRUE,0.00314019067237763,0.00200632970388882
"pc2001__24__15","district","24","15","gujarat","anand","anand","24/15",54814,132975,96,220,1,TRUE,0.00175137738533951,0.00165444632449709
"pc2001__24__16","district","24","16","gujarat","kheda","kheda","24/16",57683,126147,117,236,1,TRUE,0.0020283272367942,0.00187083323424259
"pc2001__24__17","district","24","17","gujarat","panch mahals","panch mahals","24/17",36751,99882,56,103,1,TRUE,0.00152376806073304,0.00103121683586632
"pc2001__24__18","district","24","18","gujarat","dohad","dohad","24/18",20986,50953,24,44,1,TRUE,0.00114361955589441,0.000863540910250623
"pc2001__24__19","district","24","19","gujarat","vadodara","vadodara","24/19",112154,340064,552,1961,1,TRUE,0.00492180394814273,0.00576656158840689
"pc2001__24__20","district","24","20","gujarat","narmada","narmada","24/20",11699,27652,8,11,1,TRUE,0.000683819129840157,0.000397801244032981
"pc2001__24__21","district","24","21","gujarat","bharuch","bharuch","24/21",52831,158327,75,197,1,TRUE,0.0014196210558195,0.00124426029672766
"pc2001__24__22","district","24","22","gujarat","surat","surat","24/22",222428,903752,669,2100,1,TRUE,0.0030077148560433,0.00232364631004966
"pc2001__24__23","district","24","23","gujarat","the dangs","the dangs","24/23",3998,9770,0,0,1,TRUE,0,0
"pc2001__24__24","district","24","24","gujarat","navsari","navsari","24/24",34707,114281,85,223,1,TRUE,0.00244907367389864,0.00195133049238281
"pc2001__24__25","district","24","25","gujarat","valsad","valsad","24/25",40129,155344,100,262,1,TRUE,0.00249196341797702,0.00168657946235452
"pc2001__25__01","district","25","01","daman and diu","diu","diu","25/01",2109,5025,1,2,1,TRUE,0.000474158368895211,0.000398009950248756
"pc2001__25__02","district","25","02","daman and diu","daman","daman","25/02",7481,54576,15,32,1,TRUE,0.00200507953482155,0.00058633831720903
"pc2001__26__01","district","26","01","dadra and nagar haveli","dadra and nagar haveli","dadra and nagar haveli","26/01",8398,66617,27,95,1,TRUE,0.0032150512026673,0.00142606241650029
"pc2001__27__01","district","27","01","maharashtra","nandurbar","nandurbar","27/01",29255,61395,73,155,1,TRUE,0.00249529994872671,0.00252463555664142
"pc2001__27__02","district","27","02","maharashtra","dhule","dhule","27/02",55277,126934,235,363,1,TRUE,0.00425131609891998,0.00285975388784723
"pc2001__27__03","district","27","03","maharashtra","jalgaon","jalgaon","27/03",118191,229565,163,354,1,TRUE,0.00137912362193399,0.00154204691481715
"pc2001__27__04","district","27","04","maharashtra","buldana","buldana","27/04",68687,143955,23,33,1,TRUE,0.00033485230101766,0.000229238303636553
"pc2001__27__05","district","27","05","maharashtra","akola","akola","27/05",70961,153805,224,510,1,TRUE,0.00315666351939798,0.00331588699977244
"pc2001__27__06","district","27","06","maharashtra","washim","washim","27/06",31917,60273,6,16,1,TRUE,0.000187987592818874,0.000265458828994741
"pc2001__27__07","district","27","07","maharashtra","amravati","amravati","27/07",95729,200053,220,378,1,TRUE,0.00229815416435981,0.00188949928269009
"pc2001__27__08","district","27","08","maharashtra","wardha","wardha","27/08",49666,123090,100,238,1,TRUE,0.00201344984496436,0.00193354456089041
"pc2001__27__09","district","27","09","maharashtra","nagpur","nagpur","27/09",195451,519331,394,1641,1,TRUE,0.0020158505200792,0.00315983447935902
"pc2001__27__10","district","27","10","maharashtra","bhandara","bhandara","27/10",45506,109385,47,102,1,TRUE,0.00103283083549422,0.000932486172692782
"pc2001__27__11","district","27","11","maharashtra","gondiya","gondiya","27/11",44281,106422,51,119,1,TRUE,0.0011517355073282,0.00111818984796377
"pc2001__27__12","district","27","12","maharashtra","gadchiroli","gadchiroli","27/12",31766,72125,8,12,1,TRUE,0.000251841591638859,0.000166377816291161
"pc2001__27__13","district","27","13","maharashtra","chandrapur","chandrapur","27/13",70962,172120,31,60,1,TRUE,0.000436853527239931,0.000348594004183128
"pc2001__27__14","district","27","14","maharashtra","yavatmal","yavatmal","27/14",85640,177939,360,736,1,TRUE,0.00420364315740308,0.00413624893924322
"pc2001__27__15","district","27","15","maharashtra","nanded","nanded","27/15",79962,166095,145,238,1,TRUE,0.00181336134663965,0.00143291489810048
"pc2001__27__16","district","27","16","maharashtra","hingoli","hingoli","27/16",20624,40508,33,55,1,TRUE,0.00160007757951901,0.00135775649254468
"pc2001__27__17","district","27","17","maharashtra","parbhani","parbhani","27/17",43483,97085,47,79,1,TRUE,0.00108088218384196,0.000813719936138435
"pc2001__27__18","district","27","18","maharashtra","jalna","jalna","27/18",57471,162397,79,198,1,TRUE,0.00137460632318909,0.00121923434546205
"pc2001__27__19","district","27","19","maharashtra","aurangabad","aurangabad","27/19",113947,258788,221,428,1,TRUE,0.00193949818775396,0.00165386339397499
"pc2001__27__20","district","27","20","maharashtra","nashik","nashik","27/20",154547,424252,657,1619,1,TRUE,0.00425113395924864,0.00381612815025032
"pc2001__27__21","district","27","21","maharashtra","thane","thane","27/21",320582,1107253,1069,11594,1,TRUE,0.00333456026851164,0.0104709583085347
"pc2001__27__22","district","27","22","maharashtra","mumbai suburban","mumbai suburban","27/22",,,,,,FALSE,,
"pc2001__27__23","district","27","23","maharashtra","mumbai","mumbai","27/23",,,,,,FALSE,,
"pc2001__27__24","district","27","24","maharashtra","raigarh","raigarh","27/24",76412,240135,60,149,1,TRUE,0.000785216981625923,0.000620484310908447
"pc2001__27__25","district","27","25","maharashtra","pune","pune","27/25",297430,1003734,1487,22139,1,TRUE,0.00499949567965572,0.0220566405043567
"pc2001__27__26","district","27","26","maharashtra","ahmadnagar","ahmadnagar","27/26",122540,349919,251,533,1,TRUE,0.00204831075567162,0.00152320965709207
"pc2001__27__27","district","27","27","maharashtra","bid","bid","27/27",62387,152625,183,571,1,TRUE,0.00293330341256993,0.00374119574119574
"pc2001__27__28","district","27","28","maharashtra","latur","latur","27/28",68610,158834,180,380,1,TRUE,0.00262352426759948,0.00239243486910863
"pc2001__27__29","district","27","29","maharashtra","osmanabad","osmanabad","27/29",53761,131125,11,29,1,TRUE,0.000204609289261732,0.000221163012392755
"pc2001__27__30","district","27","30","maharashtra","solapur","solapur","27/30",123373,343784,141,334,1,TRUE,0.00114287566971704,0.000971540269471529
"pc2001__27__31","district","27","31","maharashtra","satara","satara","27/31",109140,239260,106,192,1,TRUE,0.000971229613340663,0.000802474295745214
"pc2001__27__32","district","27","32","maharashtra","ratnagiri","ratnagiri","27/32",56567,165414,33,81,1,TRUE,0.000583379001891562,0.000489680438173311
"pc2001__27__33","district","27","33","maharashtra","sindhudurg","sindhudurg","27/33",40606,84302,23,46,1,TRUE,0.000566418755848889,0.000545657279779839
"pc2001__27__34","district","27","34","maharashtra","kolhapur","kolhapur","27/34",158087,399085,216,413,1,TRUE,0.00136633625788332,0.00103486725885463
"pc2001__27__35","district","27","35","maharashtra","sangli","sangli","27/35",97164,231101,229,498,1,TRUE,0.0023568399818863,0.00215490196926885
"pc2001__28__01","district","28","01","andhra pradesh","adilabad","adilabad","28/01",51664,156440,33,199,1,TRUE,0.000638742644781666,0.00127205318332907
"pc2001__28__02","district","28","02","andhra pradesh","nizamabad","nizamabad","28/02",75131,282806,92,255,1,TRUE,0.0012245278247328,0.000901678182216785
"pc2001__28__03","district","28","03","andhra pradesh","karimnagar","karimnagar","28/03",115620,333757,54,105,1,TRUE,0.000467047223663726,0.00031460014321797
"pc2001__28__04","district","28","04","andhra pradesh","medak","medak","28/04",88590,321882,52,156,1,TRUE,0.0005869736990631,0.000484649654221112
"pc2001__28__05","district","28","05","andhra pradesh","hyderabad","hyderabad","28/05",181917,1186160,1297,21614,1,TRUE,0.00712962504878598,0.0182218250488973
"pc2001__28__06","district","28","06","andhra pradesh","rangareddi","rangareddi","28/06",125509,521890,116,20380,1,TRUE,0.000924236508935614,0.0390503746000115
"pc2001__28__07","district","28","07","andhra pradesh","mahbubnagar","mahbubnagar","28/07",106341,300583,38,80,1,TRUE,0.000357341006761268,0.00026614944956967
"pc2001__28__08","district","28","08","andhra pradesh","nalgonda","nalgonda","28/08",109228,324401,31,67,1,TRUE,0.000283810012084813,0.000206534505134078
"pc2001__28__09","district","28","09","andhra pradesh","warangal","warangal","28/09",130280,343869,70,255,1,TRUE,0.000537304267731041,0.000741561466721339
"pc2001__28__10","district","28","10","andhra pradesh","khammam","khammam","28/10",75974,243090,158,512,1,TRUE,0.00207965883065259,0.00210621580484594
"pc2001__28__11","district","28","11","andhra pradesh","srikakulam","srikakulam","28/11",116088,240750,22,55,1,TRUE,0.000189511405140928,0.000228452751817238
"pc2001__28__12","district","28","12","andhra pradesh","vizianagaram","vizianagaram","28/12",136619,331450,52,370,1,TRUE,0.000380620557901902,0.00111630713531453
"pc2001__28__13","district","28","13","andhra pradesh","visakhapatnam","visakhapatnam","28/13",122784,400225,102,464,1,TRUE,0.000830727130570758,0.00115934786682491
"pc2001__28__14","district","28","14","andhra pradesh","east godavari","east godavari","28/14",226358,507218,83,178,1,TRUE,0.000366675796746746,0.000350933917960325
"pc2001__28__15","district","28","15","andhra pradesh","west godavari","west godavari","28/15",164398,462556,278,858,1,TRUE,0.0016910181389068,0.00185491054056158
"pc2001__28__16","district","28","16","andhra pradesh","krishna","krishna","28/16",176012,501212,392,1818,1,TRUE,0.00222712087812195,0.00362720764865965
"pc2001__28__17","district","28","17","andhra pradesh","guntur","guntur","28/17",170166,435911,312,1176,1,TRUE,0.00183350375515673,0.00269779840380261
"pc2001__28__18","district","28","18","andhra pradesh","prakasam","prakasam","28/18",129050,407882,172,472,1,TRUE,0.00133281673769857,0.00115719742474539
"pc2001__28__19","district","28","19","andhra pradesh","nellore","nellore","28/19",135146,294717,14,18,1,TRUE,0.000103591671229633,6.10755402640499e-05
"pc2001__28__20","district","28","20","andhra pradesh","cuddapah","cuddapah","28/20",114702,283565,121,305,1,TRUE,0.00105490749943331,0.00107559113430783
"pc2001__28__21","district","28","21","andhra pradesh","kurnool","kurnool","28/21",133113,372346,99,225,1,TRUE,0.000743729012192648,0.000604276667400751
"pc2001__28__22","district","28","22","andhra pradesh","anantapur","anantapur","28/22",172411,498006,25,41,1,TRUE,0.000145002349038054,8.23283253615418e-05
"pc2001__28__23","district","28","23","andhra pradesh","chittoor","chittoor","28/23",157895,462915,93,184,1,TRUE,0.00058899901833497,0.00039748117905015
"pc2001__29__01","district","29","01","karnataka","belgaum","belgaum","29/01",156058,368805,254,561,1,TRUE,0.0016275999948737,0.00152112905193802
"pc2001__29__02","district","29","02","karnataka","bagalkot","bagalkot","29/02",63149,148936,9,22,1,TRUE,0.000142520071576747,0.000147714454530805
"pc2001__29__03","district","29","03","karnataka","bijapur","bijapur","29/03",54719,113687,107,211,1,TRUE,0.00195544509219832,0.00185597297844081
"pc2001__29__04","district","29","04","karnataka","gulbarga","gulbarga","29/04",87402,186574,186,332,1,TRUE,0.00212809775520011,0.0017794548007761
"pc2001__29__05","district","29","05","karnataka","bidar","bidar","29/05",47489,98821,70,153,1,TRUE,0.00147402556381478,0.00154825391364184
"pc2001__29__06","district","29","06","karnataka","raichur","raichur","29/06",50441,111154,3,16,1,TRUE,5.94754267361868e-05,0.000143944437447145
"pc2001__29__07","district","29","07","karnataka","koppal","koppal","29/07",39589,88238,76,136,1,TRUE,0.0019197251761853,0.00154128606722727
"pc2001__29__08","district","29","08","karnataka","gadag","gadag","29/08",41704,94184,35,57,1,TRUE,0.00083924803376175,0.000605198335173703
"pc2001__29__09","district","29","09","karnataka","dharwad","dharwad","29/09",59157,166929,177,391,1,TRUE,0.0029920381358081,0.00234231319902474
"pc2001__29__10","district","29","10","karnataka","uttara kannada","uttara kannada","29/10",50948,118892,100,173,1,TRUE,0.00196278558530266,0.00145510210947751
"pc2001__29__11","district","29","11","karnataka","haveri","haveri","29/11",49802,101370,44,88,1,TRUE,0.000883498654672503,0.000868106934990628
"pc2001__29__12","district","29","12","karnataka","bellary","bellary","29/12",82302,198091,140,397,1,TRUE,0.00170105222230322,0.00200412941526874
"pc2001__29__13","district","29","13","karnataka","chitradurga","chitradurga","29/13",61167,129713,64,182,1,TRUE,0.00104631582389197,0.00140309760779567
"pc2001__29__14","district","29","14","karnataka","davanagere","davanagere","29/14",57128,116746,207,316,1,TRUE,0.00362344209494469,0.00270673085159235
"pc2001__29__15","district","29","15","karnataka","shimoga","shimoga","29/15",70437,193114,58,122,1,TRUE,0.000823430867299857,0.000631751193595493
"pc2001__29__16","district","29","16","karnataka","udupi","udupi","29/16",77032,158739,56,321,1,TRUE,0.000726970609616783,0.00202218736416382
"pc2001__29__17","district","29","17","karnataka","chikmagalur","chikmagalur","29/17",53036,130017,32,64,1,TRUE,0.000603363752922543,0.00049224332202712
"pc2001__29__18","district","29","18","karnataka","tumkur","tumkur","29/18",116088,244669,13,22,1,TRUE,0.00011198401212873,8.99173986079152e-05
"pc2001__29__19","district","29","19","karnataka","kolar","kolar","29/19",82081,203159,97,259,1,TRUE,0.0011817594814878,0.0012748635305352
"pc2001__29__20","district","29","20","karnataka","bangalore","bangalore","29/20",290081,1235289,3161,54121,1,TRUE,0.0108969563673595,0.0438124196038336
"pc2001__29__21","district","29","21","karnataka","bangalore rural","bangalore rural","29/21",65652,172295,56,148,1,TRUE,0.000852982392006336,0.000858991845381468
"pc2001__29__22","district","29","22","karnataka","mandya","mandya","29/22",57608,126413,28,72,1,TRUE,0.000486043605054854,0.000569561674827747
"pc2001__29__23","district","29","23","karnataka","hassan","hassan","29/23",67815,170500,143,257,1,TRUE,0.00210867802108678,0.00150733137829912
"pc2001__29__24","district","29","24","karnataka","dakshina kannada","dakshina kannada","29/24",198409,344226,198,2327,1,TRUE,0.000997938601575533,0.00676009365939819
"pc2001__29__25","district","29","25","karnataka","kodagu","kodagu","29/25",16971,42390,5,14,1,TRUE,0.000294620234517707,0.000330266572304789
"pc2001__29__26","district","29","26","karnataka","mysore","mysore","29/26",120428,403241,91,212,1,TRUE,0.000755638223668914,0.000525740190109637
"pc2001__29__27","district","29","27","karnataka","chamarajanagar","chamarajanagar","29/27",31579,65903,6,13,1,TRUE,0.000189999683333861,0.000197259608819022
"pc2001__30__01","district","30","01","goa","north goa","north goa","30/01",40994,130441,168,622,1,TRUE,0.00409816070644485,0.00476843937105665
"pc2001__30__02","district","30","02","goa","south goa","south goa","30/02",29864,91744,121,364,1,TRUE,0.00405170104473614,0.00396756191140565
"pc2001__31__01","district","31","01","lakshadweep","lakshadweep","lakshadweep","31/01",2732,10147,2,3,1,TRUE,0.000732064421669107,0.000295653887848625
"pc2001__32__01","district","32","01","kerala","kasaragod","kasaragod","32/01",82199,165433,153,400,1,TRUE,0.00186133651260964,0.00241789727563424
"pc2001__32__02","district","32","02","kerala","kannur","kannur","32/02",131027,307970,245,584,1,TRUE,0.00186984362001725,0.00189628859953892
"pc2001__32__03","district","32","03","kerala","wayanad","wayanad","32/03",39240,86861,72,155,1,TRUE,0.0018348623853211,0.00178446022956217
"pc2001__32__04","district","32","04","kerala","kozhikode","kozhikode","32/04",162053,382690,447,1250,1,TRUE,0.00275835683387534,0.00326635135488254
"pc2001__32__05","district","32","05","kerala","malappuram","malappuram","32/05",166098,345659,220,507,1,TRUE,0.00132451925971414,0.00146676348655756
"pc2001__32__06","district","32","06","kerala","palakkad","palakkad","32/06",140816,298400,225,535,1,TRUE,0.00159782979206908,0.00179289544235925
"pc2001__32__07","district","32","07","kerala","thrissur","thrissur","32/07",188031,417555,621,1314,1,TRUE,0.00330264690396796,0.0031468908287531
"pc2001__32__08","district","32","08","kerala","ernakulam","ernakulam","32/08",215844,576352,1518,9026,1,TRUE,0.0070328570634347,0.0156605685414469
"pc2001__32__09","district","32","09","kerala","idukki","idukki","32/09",60105,120166,93,176,1,TRUE,0.00154729223858248,0.00146464058053027
"pc2001__32__10","district","32","10","kerala","kottayam","kottayam","32/10",125389,283539,429,1041,1,TRUE,0.00342135275024125,0.00367145260440363
"pc2001__32__11","district","32","11","kerala","alappuzha","alappuzha","32/11",177678,371732,224,438,1,TRUE,0.00126070757212486,0.00117826821473535
"pc2001__32__12","district","32","12","kerala","pathanamthitta","pathanamthitta","32/12",68902,150529,195,392,1,TRUE,0.00283010652811239,0.00260414936656724
"pc2001__32__13","district","32","13","kerala","kollam","kollam","32/13",168852,434843,258,678,1,TRUE,0.00152796531874067,0.00155918342942165
"pc2001__32__14","district","32","14","kerala","thiruvananthapuram","thiruvananthapuram","32/14",197460,530674,787,2674,1,TRUE,0.0039856173402208,0.00503887509092211
"pc2001__33__01","district","33","01","tamil nadu","thiruvallur","thiruvallur","33/01",106164,345281,377,940,1,TRUE,0.00355110960400889,0.00272242028956126
"pc2001__33__02","district","33","02","tamil nadu","chennai","chennai","33/02",275543,953712,2990,31271,1,TRUE,0.0108513008858871,0.0327887244786686
"pc2001__33__03","district","33","03","tamil nadu","kancheepuram","kancheepuram","33/03",148798,388887,567,3645,1,TRUE,0.0038105350878372,0.00937290266838439
"pc2001__33__04","district","33","04","tamil nadu","vellore","vellore","33/04",181212,388911,190,399,1,TRUE,0.0010484956846125,0.00102594166788803
"pc2001__33__05","district","33","05","tamil nadu","dharmapuri","dharmapuri","33/05",101809,289533,213,490,2,TRUE,0.0020921529530788,0.00169238048857989
"pc2001__33__06","district","33","06","tamil nadu","tiruvannamalai","tiruvannamalai","33/06",88315,189093,189,363,1,TRUE,0.00214006680631829,0.00191969031111675
"pc2001__33__07","district","33","07","tamil nadu","viluppuram","viluppuram","33/07",109094,220815,281,609,1,TRUE,0.00257576035345665,0.00275796481217309
"pc2001__33__08","district","33","08","tamil nadu","salem","salem","33/08",175185,468895,358,1176,1,TRUE,0.0020435539572452,0.00250802418451892
"pc2001__33__09","district","33","09","tamil nadu","namakkal","namakkal","33/09",98670,303377,198,436,1,TRUE,0.0020066889632107,0.0014371557501063
"pc2001__33__10","district","33","10","tamil nadu","erode","erode","33/10",165447,453780,319,826,1,TRUE,0.00192810990830901,0.00182026532681035
"pc2001__33__11","district","33","11","tamil nadu","the nilgiris","the nilgiris","33/11",25320,73574,165,384,1,TRUE,0.00651658767772512,0.00521923505586212
"pc2001__33__12","district","33","12","tamil nadu","coimbatore","coimbatore","33/12",300682,945708,1076,3588,1,TRUE,0.00357853147178747,0.0037939829207324
"pc2001__33__13","district","33","13","tamil nadu","dindigul","dindigul","33/13",105859,254045,234,644,1,TRUE,0.0022104875353064,0.00253498395953473
"pc2001__33__14","district","33","14","tamil nadu","karur","karur","33/14",50605,139621,130,324,1,TRUE,0.0025689161150084,0.00232056782289197
"pc2001__33__15","district","33","15","tamil nadu","tiruchirappalli","tiruchirappalli","33/15",127036,315904,365,1009,1,TRUE,0.00287320129727007,0.00319400830632091
"pc2001__33__16","district","33","16","tamil nadu","perambalur","perambalur","33/16",57050,106930,63,141,1,TRUE,0.00110429447852761,0.00131861965772
"pc2001__33__17","district","33","17","tamil nadu","ariyalur","ariyalur","33/17",35,54,0,0,1,TRUE,0,0
"pc2001__33__18","district","33","18","tamil nadu","cuddalore","cuddalore","33/18",95166,217947,289,804,1,TRUE,0.00303679885673455,0.00368897025423612
"pc2001__33__19","district","33","19","tamil nadu","nagapattinam","nagapattinam","33/19",51690,111256,150,380,1,TRUE,0.00290191526407429,0.00341554612784928
"pc2001__33__20","district","33","20","tamil nadu","thiruvarur","thiruvarur","33/20",50751,97462,137,287,1,TRUE,0.00269945419794684,0.00294473743612895
"pc2001__33__21","district","33","21","tamil nadu","thanjavur","thanjavur","33/21",102449,224044,241,624,1,TRUE,0.00235238996964343,0.00278516719930014
"pc2001__33__22","district","33","22","tamil nadu","pudukkottai","pudukkottai","33/22",57731,134024,105,204,1,TRUE,0.00181878020474269,0.00152211544201039
"pc2001__33__23","district","33","23","tamil nadu","sivaganga","sivaganga","33/23",36809,86121,191,372,1,TRUE,0.00518894835502187,0.00431950395373951
"pc2001__33__24","district","33","24","tamil nadu","madurai","madurai","33/24",135229,354795,864,2601,1,TRUE,0.00638916208801367,0.00733099395425527
"pc2001__33__25","district","33","25","tamil nadu","theni","theni","33/25",46118,108344,133,313,1,TRUE,0.00288390650071556,0.00288894631913165
"pc2001__33__26","district","33","26","tamil nadu","virudhunagar","virudhunagar","33/26",111459,312643,232,553,1,TRUE,0.00208148287711176,0.00176879060142079
"pc2001__33__27","district","33","27","tamil nadu","ramanathapuram","ramanathapuram","33/27",36161,81563,98,247,1,TRUE,0.00271010204363817,0.00302833392592229
"pc2001__33__28","district","33","28","tamil nadu","thoothukkudi","thoothukkudi","33/28",140018,251498,224,952,1,TRUE,0.00159979431215987,0.0037853183723131
"pc2001__33__29","district","33","29","tamil nadu","tirunelveli","tirunelveli","33/29",284947,443720,205,442,1,TRUE,0.000719432034729265,0.00099612368160101
"pc2001__33__30","district","33","30","tamil nadu","kanniyakumari","kanniyakumari","33/30",74446,211174,245,674,1,TRUE,0.00329097600945652,0.00319168079403714
