"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","households_total","rooms_no_exclusive","rooms_one","rooms_two","overcrowding_gt2_ppr_lower_bound","water_tap","water_well","water_handpump_tubewell","water_surface","water_within_premises","water_away","bathroom_available","latrine_flush_or_water_closet","latrine_pit","drainage_closed","drainage_none","separate_kitchen_within_house","cooking_solid_fuel","cooking_clean_fuel","lighting_electricity","lighting_kerosene","lighting_solar","lighting_other_oil","lighting_other","lighting_none","latrine_available","banking","radio","television","telephone","bicycle","motorcycle","car","computer","computer_internet","households_owned","households_rented","structure_permanent","structure_semi_permanent","structure_temporary","structure_temporary_serviceable","structure_temporary_nonserviceable","structure_unclassifiable","census_year","no_exclusive_room_share_households","one_room_share_households","overcrowding_gt2_ppr_lower_bound_share_households","tap_water_share_households","well_water_share_households","handpump_tubewell_water_share_households","surface_water_share_households","water_within_premises_share_households","water_away_share_households","bathroom_share_households","flush_or_water_closet_latrine_share_households","pit_latrine_share_households","closed_drainage_share_households","no_drainage_share_households","separate_kitchen_within_house_share_households","solid_cooking_fuel_share_households","clean_cooking_fuel_share_households","electricity_share_households","kerosene_lighting_share_households","solar_lighting_share_households","no_lighting_share_households","latrine_share_households","banking_share_households","radio_share_households","television_share_households","telephone_share_households","bicycle_share_households","motorcycle_share_households","car_share_households","permanent_structure_share_households","semi_permanent_structure_share_households","temporary_structure_share_households","nonserviceable_temporary_structure_share_households","owned_share_households","rented_share_households","computer_share_households","internet_computer_share_households"
"pc2001__10__31",1,"Kaimur (Bhabua)",TRUE,245048,5284,62501,71275,121431,9201,20824,210155,968,135987,42665,30445,37527,2429,25000,81896,66270,227148,13905,52899,188682,1129,1171,831,336,40996,107884,62200,48728,149676,111045,22998,6503,17223,2100,239653,3017,130293,66187,45971,37237,8734,2597,2011,0.0215631223270543,0.255056152264046,0.495539649374816,0.0375477457477719,0.0849792693676341,0.857607489144984,0.00395024648232183,0.554940256602788,0.174108746041592,0.124240965035422,0.1531414253534,0.00991234370409063,0.102020828572361,0.334203911070484,0.270436812379615,0.926953086742189,0.0567439848519474,0.215871992425974,0.769979759067611,0.00460726061832784,0.00137115993601254,0.167297835526101,0.440256602788025,0.253827821488035,0.198850837386961,0.61080278149587,0.453156116352715,0.0938510006202866,0.0265376579282426,0.531703992687147,0.270098103228755,0.187599980412001,0.0356419966700402,0.977983905194084,0.0123118735921126,0.0702841892200712,0.00856974960007835
"pc2001__10__32",1,"Rohtas",TRUE,455878,10085,107999,130180,213468,25242,11359,412516,1027,356548,26201,85129,120264,5419,50635,89535,125546,402872,45294,114893,334537,2762,1478,1764,444,128652,270296,123491,106218,312557,224824,49892,10819,36279,4594,433720,15995,273322,112382,67951,56406,11545,2223,2011,0.0221221467146912,0.236903294302423,0.468256858194517,0.0553700770820263,0.0249167540438451,0.90488244661949,0.00225279570411382,0.78211275823795,0.0574737100715542,0.186736363676247,0.263807422161192,0.0118869522108985,0.111071383133207,0.196401230153681,0.275393855373587,0.883727663980275,0.0993555293302155,0.252025761278237,0.733830103668087,0.00605863849538692,0.000973944783472771,0.282207081719232,0.592913016201703,0.270886070396027,0.232996547321871,0.68561544974752,0.493167031530366,0.109441561119422,0.0237322266044863,0.599550757000777,0.246517708685218,0.149055229688645,0.0253247579396242,0.951394890738312,0.0350861414676734,0.0795805018009204,0.0100772575118782
"pc2001__10__35",1,"Gaya",TRUE,690505,10066,134204,213248,301417,37002,64069,577098,2784,312298,131370,96292,143404,18890,79555,261101,171558,612690,62422,112617,566409,6515,2435,1446,1083,167232,327030,161992,107970,383973,294227,59202,11827,57011,6856,665673,18754,293761,210355,182297,164840,17457,4092,2011,0.0145777365840942,0.194356304443849,0.436516752232062,0.0535868675824216,0.0927857148029341,0.835762231989631,0.00403183177529489,0.452274784396927,0.190252061896728,0.139451560814187,0.20767988645991,0.0273567895960203,0.115212779053012,0.378130498692986,0.248452943859929,0.887307115806547,0.0904005039789719,0.163093677815512,0.820282257188579,0.00943512356898212,0.00156841731776019,0.242187963881507,0.473609894207862,0.234599314994099,0.156363820681965,0.556075625810096,0.426104083243423,0.0857372502733507,0.0171280439678207,0.425429214850001,0.304639358150919,0.264005329432806,0.0252814968754752,0.964037914280128,0.0271598322966525,0.0825642102519171,0.00992896503283829
"pc2001__10__36",1,"Nawada",TRUE,346749,5856,65201,99779,150830,10224,27755,299668,1455,149765,65594,40997,64792,10861,33236,100275,66589,316499,22513,31162,308039,5269,1016,1055,208,77297,117960,57986,34020,182748,75606,15948,3991,28411,1841,336216,7706,172884,100993,69598,60166,9432,3274,2011,0.0168882967218363,0.188035149344338,0.434983229944427,0.0294853049323863,0.0800434896712031,0.864221670430196,0.00419611880639886,0.43191184401397,0.189168534011634,0.118232496705109,0.186855621789825,0.0313223686297581,0.0958503124738644,0.289186125987386,0.192038044810511,0.91276110385322,0.0649259262463626,0.089869040718214,0.888363052236632,0.015195429547021,0.000599857533835714,0.222919172081246,0.340188436015677,0.167227591139412,0.0981113139475528,0.527032522083697,0.21804244568838,0.0459929228346729,0.0115097664304728,0.498585432113719,0.291256788051299,0.200715791537971,0.0272012320150887,0.969623560558214,0.0222235680564327,0.0819353480471465,0.0053093159605363
"pc2001__10__37",1,"Jamui",TRUE,308291,10692,126679,97697,189481,12828,122305,162989,5875,66941,87642,20257,36886,7502,9400,207413,42553,288827,14236,32633,270973,2618,1058,674,335,45733,116912,51172,27056,159792,113424,18411,4842,22414,1839,300265,5351,119020,132081,53958,45271,8687,3232,2011,0.0346815184355041,0.410907227262554,0.614617358275136,0.0416100372699819,0.39671933335712,0.528685560071491,0.0190566704834069,0.21713575809868,0.284283355660723,0.065707399826787,0.119646697438459,0.0243341518240883,0.0304906727734511,0.672783182123383,0.138028680694539,0.936864845227399,0.0461771508088138,0.105851289852769,0.878952029089399,0.00849197673626541,0.00108663567862831,0.148343610420025,0.379226120775501,0.165986032676919,0.0877612385700523,0.518315487639925,0.367912134963395,0.0597195506842561,0.0157059401669202,0.386063816329377,0.42842963304151,0.175022949096795,0.0281779228066989,0.973966155353222,0.0173569776607167,0.0727040361217162,0.00596514332238048
"pc2001__11__03",1,"South District",TRUE,30246,294,5031,9734,8786,27600,62,6,179,18293,3291,18725,18790,7442,1777,17654,16833,18953,10259,27587,2453,31,41,11,123,26286,19438,6360,14689,21124,208,759,2026,2626,591,21582,7532,11394,16319,2323,1029,1294,210,2011,0.00972029359254116,0.166336044435628,0.290484692190703,0.91251735766713,0.00204985783244065,0.000198373338623289,0.00591813793559479,0.604807247239304,0.108807776234874,0.619090127620181,0.621239172121933,0.246049064339086,0.0587515704555974,0.583680486675924,0.556536401507637,0.626628314487866,0.33918534682272,0.912087548766779,0.0811016332738213,0.00102492891622033,0.00406665344177743,0.869073596508629,0.642663492693249,0.210275738940686,0.485650995172915,0.698406400846393,0.00687694240560735,0.0250942273358461,0.0669840640084639,0.376710970045626,0.539542418832242,0.0768035442703167,0.0427825166964227,0.713548899027971,0.249024664418435,0.0868213978707928,0.019539773854394
"pc2001__11__04",1,"East District",TRUE,61122,1361,15284,18456,19528,51963,437,64,504,35687,9816,44768,50287,4669,14713,20445,46304,21742,35316,57893,2651,165,61,30,322,55080,41872,16254,40378,49441,734,1991,6556,9662,3291,32458,25168,36251,21339,2391,859,1532,1141,2011,0.0222669415267825,0.250057262524132,0.319492163214554,0.85015215470698,0.00714963515591767,0.00104708615555774,0.00824580347501718,0.583865056771703,0.160596839108668,0.732436765812637,0.822731586008311,0.076388207192173,0.240715290730015,0.334494944537155,0.757566833546023,0.35571479990838,0.577795229213704,0.947171231307876,0.0433722718497431,0.00269951899479729,0.00526815222014986,0.901148522626877,0.68505611727365,0.265927162069304,0.660613199829848,0.808890415889532,0.0120087693465528,0.032574195870554,0.107260888059946,0.593092503517555,0.349121429272602,0.0391184843427898,0.0250646248486633,0.531036288079579,0.41176663067308,0.158077288046857,0.0538431334053205
"pc2001__12__01",1,"Tawang",TRUE,9477,330,3185,3605,3569,7643,29,8,205,3806,2017,3033,4511,2002,346,5966,7979,5473,3805,8635,630,119,4,44,45,7026,7313,2356,4824,4036,105,205,895,494,96,6820,2134,5608,1708,420,116,304,1741,2011,0.034821145932257,0.336076817558299,0.376595969188562,0.80647884351588,0.00306004009707713,0.00084414899229714,0.0216313179276142,0.401603883085365,0.212831064682917,0.320037986704653,0.47599451303155,0.211248285322359,0.0365094439168513,0.629524111005592,0.84193310119236,0.577503429355281,0.401498364461327,0.911153318560726,0.0664767331433998,0.01255671626042,0.00474833808167141,0.741373852484964,0.771657697583623,0.248601878231508,0.509021842355176,0.425873166613907,0.0110794555239,0.0216313179276142,0.0944391685132426,0.591748443600295,0.180225809855439,0.0443178220955999,0.0320776617072913,0.719637015933312,0.225176743695262,0.0521262002743484,0.0101297879075657
"pc2001__12__09",1,"Upper Siang",TRUE,7186,791,2529,2447,3278,6796,15,1,40,2537,848,1589,2503,591,472,4885,6272,5626,1514,6198,161,467,20,229,111,4413,4117,1415,2823,3491,136,1031,430,392,97,5393,1047,1038,2245,3423,1333,2090,480,2011,0.110075146117451,0.351934316726969,0.456164764820484,0.945727804063457,0.00208739215140551,0.000139159476760367,0.0055663790704147,0.353047592541052,0.118007236292792,0.221124408572224,0.3483161703312,0.0822432507653771,0.0656832730308934,0.679794043974395,0.872808238241024,0.782911216253827,0.210687447815196,0.862510436960757,0.0224046757584191,0.0649874756470916,0.0154467019204008,0.614110770943501,0.572919565822433,0.19691065961592,0.392847202894517,0.485805733370443,0.01892568883941,0.143473420539939,0.059838575006958,0.144447536877261,0.312413025327025,0.476342888950738,0.290843306429168,0.750487058168661,0.145699972168105,0.054550514890064,0.0134984692457556
"pc2001__12__10",2,"Dibang Valley;Lower Dibang Valley",TRUE,12754,367,4553,4909,5854,8708,186,2577,865,6348,2564,3878,4690,2385,546,8043,11799,8990,3679,7006,3389,1436,122,154,647,7454,6380,3122,5030,7432,4456,2411,799,875,224,6625,4219,1337,2976,6582,986,5596,1859,2011,0.0287752861847264,0.356986043594167,0.458993257017406,0.682766190998902,0.0145836600282264,0.202054257487847,0.0678218598086875,0.497726203543986,0.201034969421358,0.304061470911087,0.367727771679473,0.187000156813549,0.0428100987925357,0.630625686059275,0.925121530500235,0.704876901364278,0.288458522816371,0.549317861063196,0.265720558256233,0.112592127959856,0.0507291830014113,0.584444095969892,0.500235220323036,0.244785949506037,0.394386074956876,0.582719146934295,0.349380586482672,0.189038732946527,0.0626470127018974,0.104829857299671,0.233338560451623,0.516073388740787,0.438764309236318,0.519444880037635,0.330798180962835,0.0686059275521405,0.017563117453348
"pc2001__12__12",1,"Changlang",TRUE,28428,614,5109,12812,11738,12297,3803,9164,1800,12040,6042,6554,7893,11322,548,23278,23756,23063,4777,14593,11907,224,39,202,1463,19606,9265,6639,9314,10621,13306,2450,1102,1486,170,20141,5793,2433,7196,17773,365,17408,1026,2011,0.0215984240889264,0.179717180244829,0.412902771915013,0.432566483748417,0.13377655832278,0.32235823835655,0.0633178556352891,0.423526101027156,0.212536935415787,0.230547347685381,0.277648796960743,0.398269311945969,0.0192767693822991,0.818840579710145,0.835654988039961,0.811277613620374,0.168038553538765,0.513331926269875,0.418847615027438,0.0078795553679471,0.0514633459969045,0.689672154214155,0.325911073589419,0.233537357534825,0.327634726326157,0.37361052483467,0.468059659490643,0.0861826368369213,0.0387645982833826,0.0855846348670325,0.2531307161953,0.625193471225552,0.612354017166174,0.708491627972422,0.203777965386239,0.0522724074855776,0.00598001969888842
"pc2001__12__13",1,"Tirap",TRUE,19485,55,2678,8667,8137,11931,1535,133,2011,4989,7206,3800,5678,9264,759,13058,18507,16259,3115,16026,2275,60,21,104,999,16937,13004,2281,6118,7182,963,1369,679,888,98,15861,2575,2199,2160,14945,132,14813,181,2011,0.00282268411598666,0.137439055683859,0.41760328457788,0.612317167051578,0.0787785476007185,0.00682576340774955,0.103207595586348,0.25604311008468,0.369822940723634,0.195021811649987,0.291403643828586,0.475442648190916,0.0389530408006159,0.670156530664614,0.949807544264819,0.834436746215037,0.159866564023608,0.82247882986913,0.116756479343084,0.00307929176289453,0.051270207852194,0.869232743135746,0.667385168078009,0.117064408519374,0.313985116756479,0.368591224018476,0.0494226327944573,0.070259173723377,0.0348473184500898,0.112856043110085,0.110854503464203,0.767000256607647,0.760225814729279,0.81401077752117,0.132152938157557,0.0455735180908391,0.00502950987939441
"pc2001__13__01",1,"Mon",TRUE,41347,1480,9893,14035,20057,20867,10110,111,3685,8005,14617,12579,9630,16953,1027,27485,38375,40042,1107,14398,24210,132,173,653,1781,27663,6585,6509,5647,13012,2148,1571,1007,2844,178,36498,3623,2517,9736,28685,615,28070,409,2011,0.0357946162962246,0.23926766149902,0.485089607468498,0.504679904225216,0.244515926185697,0.00268459622221685,0.089123757467289,0.193605340169783,0.353520207028321,0.304230052966358,0.232906861440975,0.410017655452633,0.0248385614433937,0.664739884393064,0.928120540788933,0.968437855225288,0.026773405567514,0.348223571238542,0.585532203061891,0.00319249280479841,0.0430744673132271,0.669044912569231,0.159261856966648,0.157423755048734,0.136575809611338,0.314702396788159,0.0519505647326287,0.0379955014874114,0.0243548504123637,0.0608750332551334,0.235470529905434,0.693762546254867,0.678888432050693,0.882724260526761,0.0876242532710959,0.0687837086124749,0.00430502817616756
"pc2001__13__03",1,"Mokokchung",TRUE,42344,450,5085,14348,9980,24062,5837,180,8763,10166,10763,29564,25554,15205,2349,9037,40177,34796,7281,40154,1890,117,69,52,62,41057,14224,11753,20192,22667,2132,5184,3805,2728,537,31404,8870,7251,30170,4763,291,4472,160,2011,0.0106272435291895,0.120087851879841,0.235688645380691,0.568250519554128,0.137847156621954,0.0042508974116758,0.206947855658417,0.240081239372756,0.254180049121481,0.698186283771018,0.603485735877574,0.359082750802947,0.0554742112223692,0.213418666162857,0.94882391838277,0.821745701870395,0.171948800302286,0.948280748157944,0.0446344228225959,0.00276308331758927,0.001464197997355,0.969606083506518,0.335915359909314,0.277559984885698,0.476856225203098,0.535306064613641,0.0503495182316267,0.122425845456263,0.0898592480634801,0.17124031740034,0.712497638390327,0.112483468732288,0.105611184583412,0.741639901757038,0.209474778008691,0.0644247118836199,0.0126818439448328
"pc2001__13__04",1,"Zunheboto",TRUE,30333,1093,8731,10886,13968,18102,4081,108,4804,5742,9239,16104,10383,12244,902,19897,26800,28612,1455,28846,1088,156,35,24,184,22868,8704,7899,9954,15491,713,1033,2258,2008,261,25713,3712,3361,25802,1003,295,708,167,2011,0.0360333630039891,0.287838327893713,0.460488576797547,0.596775788744931,0.134539939999341,0.00356047868657897,0.158375366762272,0.189298783503115,0.304585764678733,0.53090693304322,0.342300464840273,0.403652787393268,0.0297365905119836,0.655952263211684,0.883526192595523,0.943263112781459,0.0479675600830778,0.950977483269047,0.0358685260277586,0.00514291365839185,0.0060660007252827,0.753898394487852,0.286948208222068,0.260409455048957,0.328157452279695,0.51069791975736,0.0235057528104704,0.034055319289223,0.0744403784656974,0.110803415422147,0.850624732139914,0.0330662974318399,0.0233409158342399,0.847690633963011,0.122374971153529,0.066198529654172,0.00860449015923252
"pc2001__13__05",1,"Wokha",TRUE,33269,209,4154,12180,10280,8234,12439,475,7779,4293,16317,14591,14927,7026,1448,21332,30445,29631,3483,25268,6934,161,102,528,276,22108,11588,13543,10923,14850,2907,1713,1592,1757,198,28312,3203,7673,21921,3525,404,3121,150,2011,0.00628212450028555,0.124860981694671,0.308996362980552,0.247497670504073,0.373891610808861,0.0142775556824672,0.233821275060867,0.12903904535754,0.490456581201719,0.438576452553428,0.448675944573026,0.211187592052662,0.0435240013225525,0.64119751119661,0.915116174216237,0.890648952478283,0.104692055667438,0.759505846283327,0.208422254952057,0.00483933992605729,0.0082960113018125,0.664522528479966,0.348312242628273,0.407075656016111,0.328323664672819,0.446361477651868,0.087378640776699,0.051489374492771,0.0478523550452373,0.23063512579278,0.658901680242869,0.105954492169888,0.0938110553368,0.851002434698969,0.0962758123177733,0.052811927019147,0.00595148636869157
"pc2001__14__04",1,"Bishnupur",TRUE,44891,551,4890,11548,9939,19612,666,711,23346,3454,18932,9483,19912,15626,1142,22842,40993,33015,11523,34364,9016,150,56,1146,159,41441,9937,26950,23140,28217,25026,5782,2009,3447,676,43516,784,3471,35787,5594,3920,1674,39,2011,0.0122741752244325,0.108930520594328,0.221402953821479,0.436880443741507,0.0148359359337061,0.0158383640373349,0.520059700162616,0.0769419259985298,0.421732641286672,0.211245015704707,0.443563297765699,0.348087589940077,0.0254393976520906,0.508832505401974,0.913167450045666,0.735448085362322,0.256688423069212,0.765498652291105,0.200842039607048,0.00334142701209597,0.00354191263282172,0.923147178721793,0.221358401461317,0.600343053173242,0.515470807066004,0.628566973335412,0.557483682698091,0.128800873226259,0.0447528457820053,0.0773206210599006,0.797197656545856,0.124612951371099,0.037290325454991,0.96937025238912,0.0174645251832216,0.0767859927379653,0.0150586977345125
"pc2001__14__05",1,"Thoubal",TRUE,85295,1737,11702,25662,22875,13391,1768,9829,58248,3978,35984,17101,35263,30390,2414,40587,76499,67823,16168,49507,31709,168,217,3301,393,78949,16255,51320,34893,48254,57139,11574,3141,5110,880,83390,873,6328,63915,14743,10589,4154,309,2011,0.020364616917756,0.137194442816109,0.268186880825371,0.156996306934756,0.0207280614338472,0.115235359634211,0.682900521718741,0.0466381382261563,0.421877015065361,0.20049240869922,0.413423999062079,0.35629286593587,0.0283017761885222,0.475842663696582,0.89687554956328,0.795157981124333,0.18955390116654,0.580420892197667,0.371756843894718,0.00196963479688141,0.00460753854270473,0.925599390351134,0.190573890614925,0.601676534380679,0.40908611290228,0.565730699337593,0.669898587255994,0.135693768685152,0.0368251362916935,0.0741895773491998,0.749340524063544,0.172847177442992,0.0487015651562225,0.977665748285363,0.0102350665337945,0.0599097250718096,0.0103171346503312
"pc2001__14__06",1,"Imphal West",TRUE,111393,1358,13718,30871,22426,63716,4644,4180,30706,33720,38825,51760,69318,26866,7238,32721,102537,47595,62051,87078,16102,541,559,6600,513,105743,45697,71687,77994,83432,62287,41705,12386,15066,4913,101720,7292,34064,72566,4477,3327,1150,286,2011,0.0121910712522331,0.123149569542072,0.20132324293268,0.571992854129075,0.0416902318817161,0.0375247995834568,0.275654664117135,0.302712019606259,0.348540752111892,0.464661154650651,0.622283267350731,0.241182120959127,0.064977152962933,0.293743772050308,0.920497697341844,0.427271013438906,0.557045774869157,0.781718779456519,0.144551273419335,0.00485667860637562,0.00460531631251515,0.949278679988868,0.410232240805078,0.643550312856284,0.700169669548356,0.748987817905973,0.55916439991741,0.374395159480398,0.111191906134138,0.30580018493083,0.651441293438546,0.040191035343334,0.010323808497841,0.913163304695986,0.0654619231010925,0.135250868546498,0.0441051053477328
