"model","term","estimate","std.error","statistic","p.value","partial_f","partial_p","model_f","model_p","nobs","r.squared","adj.r.squared","sigma","status"
"consumption_ancova","state_code_200131","-34.6230024059198","4.74363254217986","-7.29883735682642","1.07794297450225e-12","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200132","-25.9812203154676","3.47638046930079","-7.4736412038045","3.27787086886254e-13","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200133","-38.9558132935026","3.39994351907503","-11.4577824822516","2.74495705502178e-27","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200134","-19.5954838716192","3.36685821498484","-5.82010961566655","1.02322883533062e-08","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_ancova","state_code_200135","-33.3976803662378","3.85079230184747","-8.67293734596249","5.25423108000704e-17","2.13801578419797","0.144284822546962","100.294578419098","1.63348905934444e-229","573","0.897656421700549","0.888706222837859","6.79006896742089","estimated"
"consumption_nominal","(Intercept)","29.0118285329761","9.330403273193","3.10938634521076","0.00197611014224068","0.775491898324352","0.37892484812947","99.2002704164687","5.55026074794035e-227","573","0.894410195330594","0.885393988100759","6.89036843168734","estimated"
"consumption_nominal","ling_distance_nonzero_mean","0.84723097855149","0.962084448535196","0.880620178240512","0.37892484812947","0.775491898324352","0.37892484812947","99.2002704164687","5.55026074794035e-227","573","0.894410195330594","0.885393988100759","6.89036843168734","estimated"
"consumption_nominal","log_population_2001","0.686430912831174","0.71825549650626","0.955691834131604","0.339666127313732","0.775491898324352","0.37892484812947","99.2002704164687","5.55026074794035e-227","573","0.894410195330594","0.885393988100759","6.89036843168734","estimated"
"consumption_nominal","urban_share_2001","0.116735139445666","0.0515854912986227","2.26294519073008","0.0240451648941867","0.775491898324352","0.37892484812947","99.2002704164687","5.55026074794035e-227","573","0.894410195330594","0.885393988100759","6.89036843168734","estimated"
"consumption_nominal","adult_secondary_plus_share_2001","0.563026125852515","0.16585802509857","3.3946269739912","0.000738993423582125","0.775491898324352","0.37892484812947","99.2002704164687","5.55026074794035e-227","573","0.894410195330594","0.885393988100759","6.89036843168734","estimated"
"consumption_nominal","sc_share_2001","0.0376225255253867","0.0669161700556341","0.562233694697521","0.574195863455601","0.775491898324352","0.37892484812947","99.2002704164687","5.55026074794035e-227","573","0.894410195330594","0.885393988100759","6.89036843168734","estimated"
"consumption_nominal","st_share_2001","0.0440576030271302","0.0308278151934108","1.42915100375155","0.153553306920169","0.775491898324352","0.37892484812947","99.2002704164687","5.55026074794035e-227","573","0.894410195330594","0.885393988100759","6.89036843168734","estimated"
"consumption_nominal","muslim_share_2001","0.056322524170782","0.0415225735670571","1.356431437946","0.175542744077448","0.775491898324352","0.37892484812947","99.2002704164687","5.55026074794035e-227","573","0.894410195330594","0.885393988100759","6.89036843168734","estimated"
"consumption_nominal","agricultural_worker_share_2001","-0.0467638558479217","0.053774200334592","-0.86963368226676","0.38489652812745","0.775491898324352","0.37892484812947","99.2002704164687","5.55026074794035e-227","573","0.894410195330594","0.885393988100759","6.89036843168734","estimated"
