"district_order","district_code","state","district","emi_exposure_all_children_0708","ling_distance_nonzero_mean","region","state_prefix"
220,"12106","Arunachal Pradesh","Upper Subansiri",95.9751196598838,4.86671536214055,"North Eastern","12"
221,"12107","Arunachal Pradesh","West Siang",75.3690938915539,4.81475018268675,"North Eastern","12"
222,"12108","Arunachal Pradesh","East Siang",88.1982404976389,4.66522315268917,"North Eastern","12"
223,"12109","Arunachal Pradesh","Upper Siang",56.0471604432325,4.71837258454106,"North Eastern","12"
224,"12110","Arunachal Pradesh","Dibang Valley",86.3283188613773,4.17458261873928,"North Eastern","12"
225,"12111","Arunachal Pradesh","Lohit",58.5126790003163,3.73859182192112,"North Eastern","12"
226,"12112","Arunachal Pradesh","Changlang",55.3163885093014,3.42617919277377,"North Eastern","12"
227,"12113","Arunachal Pradesh","Tirap",57.48905831625,4.55088568044952,"North Eastern","12"
228,"13101","Nagaland","Mon",80.0722262371025,3.71653625456442,"North Eastern","13"
229,"13102","Nagaland","Tuensang",78.4659958182373,4.92530164533821,"North Eastern","13"
230,"13103","Nagaland","Mukokchung",91.5246398559424,4.94591250511713,"North Eastern","13"
231,"13104","Nagaland","Zunheboto",70.4783048371967,3.57994579945799,"North Eastern","13"
232,"13105","Nagaland","Wokha",81.0933419616666,3.8655323819978,"North Eastern","13"
233,"13106","Nagaland","Dimapur",80.6051007806537,4.06475048030905,"North Eastern","13"
234,"13107","Nagaland","Kohima",80.4245897709772,4.90409653370225,"North Eastern","13"
235,"13108","Nagaland","Phek",81.5712628643523,4.89945238095238,"North Eastern","13"
236,"14104","Manipur","Bishnupur",55.2898404701807,4.9873472228481,"North Eastern","14"
237,"14105","Manipur","Thoubal",41.7427102008844,4.99074436299106,"North Eastern","14"
238,"14106","Manipur","Imphal West",73.7488555548926,4.96666076352873,"North Eastern","14"
239,"14107","Manipur","Imphal East",64.675272873628,4.86955879973544,"North Eastern","14"
240,"14201","Manipur","Senapati",86.2604994586412,4.96554409188242,"North Eastern","14"
241,"14202","Manipur","Tamenglong",28.3046300420604,4.86546349466776,"North Eastern","14"
242,"14203","Manipur","Churachandpur",61.6279785217322,4.96740625330602,"North Eastern","14"
243,"14208","Manipur","Ukhrul",40.8710065151685,4.80328821722162,"North Eastern","14"
244,"14209","Manipur","Chandel",37.017530281889,4.98005178987365,"North Eastern","14"
245,"15101","Mizoram","Mamit",23.934413098652,4.67065897456732,"North Eastern","15"
246,"15102","Mizoram","Kolasib",30.7085394105234,4.90240781116694,"North Eastern","15"
247,"15103","Mizoram","Aizwal",60.034881428542,4.94351375869368,"North Eastern","15"
248,"15104","Mizoram","Champhai",31.7161084131527,4.98754641746903,"North Eastern","15"
249,"15105","Mizoram","Serchip",44.5699152817355,4.98878613149618,"North Eastern","15"
250,"15106","Mizoram","Lunglei",37.0791554545813,4.59782943176445,"North Eastern","15"
251,"15107","Mizoram","Lawngtlai",53.6443957257597,3.74099378881988,"North Eastern","15"
252,"15108","Mizoram","Saiha",66.255401186616,4.86770511042356,"North Eastern","15"
253,"16101","Tripura","West Tripura",4.86926929764432,3.51971218946995,"North Eastern","16"
254,"16102","Tripura","South Tripura",1.38209328869552,3.6503850244571,"North Eastern","16"
