"district_1991","pop_1991","district_2001","pct_01in91","pct_91in01",".source_row","source_name_key","target_name_key","state_code_1991","district_code_1991","state_code_2001","district_code_2001","source_name_exact_unique","target_name_exact_unique","source_share_to_2001","target_share_from_1991","source_identity_key","source_unit_id","target_unit_id","source_code_identity_count","transition_status"
"Banas Kantha",2162578,"Banas Kantha",91.63,100,69,"banas kantha","banas kantha",NA,NA,"24","02",FALSE,TRUE,0.9163,1,"banas kantha__2162578",NA,"census2001__24__02",NA,"source_name_not_unique_exact"
"Banas Kantha",2162578,"Patan",8.37,17.48,70,"banas kantha","patan",NA,NA,"24","03",FALSE,TRUE,0.0837,0.1748,"banas kantha__2162578",NA,"census2001__24__03",NA,"source_name_not_unique_exact"
"Bharuch",1546145,"Bharuch",74.27,100,71,"bharuch","bharuch","07","16","24","21",TRUE,TRUE,0.7427,1,"bharuch__1546145","census1991__07__16","census2001__24__21",1,"matched_exact_names"
"Bharuch",1546145,"Narmada",25.73,88.54,72,"bharuch","narmada","07","16","24","20",TRUE,TRUE,0.2573,0.8854,"bharuch__1546145","census1991__07__16","census2001__24__20",1,"matched_exact_names"
"Bhavnagar",2292026,"Amreli",9.69,16.97,73,"bhavnagar","amreli","07","04","24","13",TRUE,TRUE,0.0969,0.1697,"bhavnagar__2292026","census1991__07__04","census2001__24__13",1,"matched_exact_names"
"Bhavnagar",2292026,"Bhavnagar",90.31,100,74,"bhavnagar","bhavnagar","07","04","24","14",TRUE,TRUE,0.9031,1,"bhavnagar__2292026","census1991__07__04","census2001__24__14",1,"matched_exact_names"
"Gandhinagar",408992,"Gandhinagar",100,37.96,75,"gandhinagar","gandhinagar","07","11","24","06",TRUE,TRUE,1,0.3796,"gandhinagar__408992","census1991__07__11","census2001__24__06",1,"matched_exact_names"
"Junagadh",2394859,"Junagadh",80.4,92.07,76,"junagadh","junagadh","07","06","24","12",TRUE,TRUE,0.804,0.9207,"junagadh__2394859","census1991__07__06","census2001__24__12",1,"matched_exact_names"
"Junagadh",2394859,"Porbandar",19.6,100,77,"junagadh","porbandar","07","06","24","11",TRUE,TRUE,0.196,1,"junagadh__2394859","census1991__07__06","census2001__24__11",1,"matched_exact_names"
"Kheda",3440897,"Anand",47.74,100,78,"kheda","anand","07","13","24","15",TRUE,TRUE,0.4774,1,"kheda__3440897","census1991__07__13","census2001__24__15",1,"matched_exact_names"
"Kheda",3440897,"Gandhinagar",0.33,1.07,79,"kheda","gandhinagar","07","13","24","06",TRUE,TRUE,0.0033,0.0107,"kheda__3440897","census1991__07__13","census2001__24__06",1,"matched_exact_names"
"Kheda",3440897,"Kheda",51.93,100,80,"kheda","kheda","07","13","24","16",TRUE,TRUE,0.5193,1,"kheda__3440897","census1991__07__13","census2001__24__16",1,"matched_exact_names"
"Mahasana",2937810,"Gandhinagar",15.07,41.08,81,"mahasana","gandhinagar",NA,NA,"24","06",FALSE,TRUE,0.1507,0.4108,"mahasana__2937810",NA,"census2001__24__06",NA,"source_name_not_unique_exact"
"Mahasana",2937810,"Mahesana",55.83,100,82,"mahasana","mahesana",NA,NA,"24","04",FALSE,TRUE,0.5583,1,"mahasana__2937810",NA,"census2001__24__04",NA,"source_name_not_unique_exact"
"Mahasana",2937810,"Patan",29.1,82.52,83,"mahasana","patan",NA,NA,"24","03",FALSE,TRUE,0.291,0.8252,"mahasana__2937810",NA,"census2001__24__03",NA,"source_name_not_unique_exact"
"Surendranagar",1208872,"Surendranagar",100,100,84,"surendranagar","surendranagar","07","03","24","08",TRUE,TRUE,1,1,"surendranagar__1208872","census1991__07__03","census2001__24__08",1,"matched_exact_names"
"Vadodara",3089610,"Narmada",1.67,11.46,85,"vadodara","narmada","07","15","24","20",TRUE,TRUE,0.0167,0.1146,"vadodara__3089610","census1991__07__15","census2001__24__20",1,"matched_exact_names"
"Vadodara",3089610,"Vadodara",98.33,100,86,"vadodara","vadodara","07","15","24","19",TRUE,TRUE,0.9833,1,"vadodara__3089610","census1991__07__15","census2001__24__19",1,"matched_exact_names"
"Ambala",1116878,"Ambala",72.21,100,87,"ambala","ambala","08","01","06","02",TRUE,TRUE,0.7221,1,"ambala__1116878","census1991__08__01","census2001__06__02",1,"matched_exact_names"
"Ambala",1116878,"Panchkula",27.79,100,88,"ambala","panchkula","08","01","06","01",TRUE,TRUE,0.2779,1,"ambala__1116878","census1991__08__01","census2001__06__01",1,"matched_exact_names"
"Bhiwani",1139718,"Bhiwani",99.81,97.78,89,"bhiwani","bhiwani",NA,NA,"06","13",FALSE,TRUE,0.9981,0.9778,"bhiwani__1139718",NA,"census2001__06__13",NA,"source_name_not_unique_exact"
"Bhiwani",1139718,"Hisar",0.19,0.18,90,"bhiwani","hisar",NA,NA,"06","12",FALSE,TRUE,0.0019,0.0018,"bhiwani__1139718",NA,"census2001__06__12",NA,"source_name_not_unique_exact"
"Faridabad",1477240,"Faridabad",100,100,91,"faridabad","faridabad","08","09","06","19",TRUE,TRUE,1,1,"faridabad__1477240","census1991__08__09","census2001__06__19",1,"matched_exact_names"
"Gurgaon",1146090,"Gurgaon",100,100,92,"gurgaon","gurgaon","08","10","06","18",TRUE,TRUE,1,1,"gurgaon__1146090","census1991__08__10","census2001__06__18",1,"matched_exact_names"
"Hisar",1844634,"Fatehabad",35.03,100,93,"hisar","fatehabad","08","15","06","10",TRUE,TRUE,0.3503,1,"hisar__1844634","census1991__08__15","census2001__06__10",1,"matched_exact_names"
"Hisar",1844634,"Hisar",64.97,99.11,94,"hisar","hisar","08","15","06","12",TRUE,TRUE,0.6497,0.9911,"hisar__1844634","census1991__08__15","census2001__06__12",1,"matched_exact_names"
"Jind",963104,"Jind",98.08,96.35,95,"jind","jind","08","14","06","09",TRUE,TRUE,0.9808,0.9635,"jind__963104","census1991__08__14","census2001__06__09",1,"matched_exact_names"
"Jind",963104,"Kaithal",1.05,1.29,96,"jind","kaithal","08","14","06","05",TRUE,TRUE,0.0105,0.0129,"jind__963104","census1991__08__14","census2001__06__05",1,"matched_exact_names"
"Jind",963104,"Karnal",0.87,0.81,97,"jind","karnal","08","14","06","06",TRUE,TRUE,0.0087,0.0081,"jind__963104","census1991__08__14","census2001__06__06",1,"matched_exact_names"
"Kaithal",820685,"Jind",3.82,3.2,98,"kaithal","jind","08","04","06","09",TRUE,TRUE,0.0382,0.032,"kaithal__820685","census1991__08__04","census2001__06__09",1,"matched_exact_names"
"Kaithal",820685,"Kaithal",93.56,98.21,99,"kaithal","kaithal","08","04","06","05",TRUE,TRUE,0.9356,0.9821,"kaithal__820685","census1991__08__04","census2001__06__05",1,"matched_exact_names"
"Kaithal",820685,"Karnal",0.96,0.76,100,"kaithal","karnal","08","04","06","06",TRUE,TRUE,0.0096,0.0076,"kaithal__820685","census1991__08__04","census2001__06__06",1,"matched_exact_names"
"Kaithal",820685,"Kurukshetra",1.66,2.03,101,"kaithal","kurukshetra","08","04","06","04",TRUE,TRUE,0.0166,0.0203,"kaithal__820685","census1991__08__04","census2001__06__04",1,"matched_exact_names"
"Karnal",885797,"Karnal",97.85,83.71,102,"karnal","karnal","08","05","06","06",TRUE,TRUE,0.9785,0.8371,"karnal__885797","census1991__08__05","census2001__06__06",1,"matched_exact_names"
"Karnal",885797,"Kurukshetra",0.24,0.31,103,"karnal","kurukshetra","08","05","06","04",TRUE,TRUE,0.0024,0.0031,"karnal__885797","census1991__08__05","census2001__06__04",1,"matched_exact_names"
"Karnal",885797,"Panipat",1.91,2.43,104,"karnal","panipat","08","05","06","07",TRUE,TRUE,0.0191,0.0243,"karnal__885797","census1991__08__05","census2001__06__07",1,"matched_exact_names"
"Kurukshetra",641943,"Kaithal",0.61,0.5,105,"kurukshetra","kaithal","08","03","06","05",TRUE,TRUE,0.0061,0.005,"kurukshetra__641943","census1991__08__03","census2001__06__05",1,"matched_exact_names"
"Kurukshetra",641943,"Kurukshetra",99.39,95.32,106,"kurukshetra","kurukshetra","08","03","06","04",TRUE,TRUE,0.9939,0.9532,"kurukshetra__641943","census1991__08__03","census2001__06__04",1,"matched_exact_names"
"Mahendragarh",681869,"Mahendragarh",100,100,107,"mahendragarh","mahendragarh","08","12","06","16",TRUE,TRUE,1,1,"mahendragarh__681869","census1991__08__12","census2001__06__16",1,"matched_exact_names"
"Panipat",833501,"Karnal",18.28,14.71,108,"panipat","karnal","08","06","06","06",TRUE,TRUE,0.1828,0.1471,"panipat__833501","census1991__08__06","census2001__06__06",1,"matched_exact_names"
"Panipat",833501,"Panipat",81.72,97.57,109,"panipat","panipat","08","06","06","07",TRUE,TRUE,0.8172,0.9757,"panipat__833501","census1991__08__06","census2001__06__07",1,"matched_exact_names"
"Rewari",623301,"Jhajjar",2.04,1.77,110,"rewari","jhajjar","08","11","06","15",TRUE,TRUE,0.0204,0.0177,"rewari__623301","census1991__08__11","census2001__06__15",1,"matched_exact_names"
"Rewari",623301,"Rewari",97.96,100,111,"rewari","rewari","08","11","06","17",TRUE,TRUE,0.9796,1,"rewari__623301","census1991__08__11","census2001__06__17",1,"matched_exact_names"
"Rohtak",1808606,"Bhiwani",1.43,2.22,112,"rohtak","bhiwani","08","08","06","13",TRUE,TRUE,0.0143,0.0222,"rohtak__1808606","census1991__08__08","census2001__06__13",1,"matched_exact_names"
"Rohtak",1808606,"Hisar",0.47,0.71,113,"rohtak","hisar","08","08","06","12",TRUE,TRUE,0.0047,0.0071,"rohtak__1808606","census1991__08__08","census2001__06__12",1,"matched_exact_names"
"Rohtak",1808606,"Jhajjar",38.84,98.23,114,"rohtak","jhajjar","08","08","06","15",TRUE,TRUE,0.3884,0.9823,"rohtak__1808606","census1991__08__08","census2001__06__15",1,"matched_exact_names"
"Rohtak",1808606,"Jind",0.25,0.45,115,"rohtak","jind","08","08","06","09",TRUE,TRUE,0.0025,0.0045,"rohtak__1808606","census1991__08__08","census2001__06__09",1,"matched_exact_names"
"Rohtak",1808606,"Rohtak",42.96,100,116,"rohtak","rohtak","08","08","06","14",TRUE,TRUE,0.4296,1,"rohtak__1808606","census1991__08__08","census2001__06__14",1,"matched_exact_names"
"Rohtak",1808606,"Sonipat",16.05,27.77,117,"rohtak","sonipat","08","08","06","08",TRUE,TRUE,0.1605,0.2777,"rohtak__1808606","census1991__08__08","census2001__06__08",1,"matched_exact_names"
"Sirsa",903536,"Sirsa",100,100,118,"sirsa","sirsa","08","16","06","11",TRUE,TRUE,1,1,"sirsa__903536","census1991__08__16","census2001__06__11",1,"matched_exact_names"
"Sonipat",754866,"Sonipat",100,72.23,119,"sonipat","sonipat","08","07","06","08",TRUE,TRUE,1,0.7223,"sonipat__754866","census1991__08__07","census2001__06__08",1,"matched_exact_names"
"Yamunanagar",821880,"Kurukshetra",1.9,2.33,120,"yamunanagar","kurukshetra",NA,NA,"06","04",FALSE,TRUE,0.019,0.0233,"yamunanagar__821880",NA,"census2001__06__04",NA,"source_name_not_unique_exact"
"Yamunanagar",821880,"Yamunanagar",98.1,100,121,"yamunanagar","yamunanagar",NA,NA,"06","03",FALSE,TRUE,0.981,1,"yamunanagar__821880",NA,"census2001__06__03",NA,"source_name_not_unique_exact"
"Chamba",393286,"Chamba",100,100,122,"chamba","chamba","09","01","02","01",TRUE,TRUE,1,1,"chamba__393286","census1991__09__01","census2001__02__01",1,"matched_exact_names"
"Hamirpur",369128,"Hamirpur",100,100,123,"hamirpur","hamirpur",NA,NA,NA,NA,FALSE,FALSE,1,1,"hamirpur__369128",NA,NA,NA,"source_name_not_unique_exact"
"Kangra",1174072,"Kangra",100,100,124,"kangra","kangra","09","02","02","02",TRUE,TRUE,1,1,"kangra__1174072","census1991__09__02","census2001__02__02",1,"matched_exact_names"
"Kullu",302432,"Kullu",100,100,125,"kullu","kullu",NA,NA,"02","04",FALSE,TRUE,1,1,"kullu__302432",NA,"census2001__02__04",NA,"source_name_not_unique_exact"
"Lahul & Spiti",31294,"Lahul & Spiti",100,100,126,"lahul and spiti","lahul and spiti",NA,NA,"02","03",FALSE,TRUE,1,1,"lahul and spiti__31294",NA,"census2001__02__03",NA,"source_name_not_unique_exact"
"Shimla",617404,"Shimla",100,100,127,"shimla","shimla","09","09","02","11",TRUE,TRUE,1,1,"shimla__617404","census1991__09__09","census2001__02__11",1,"matched_exact_names"
"Sirmaur",379695,"Sirmaur",100,100,128,"sirmaur","sirmaur",NA,NA,"02","10",FALSE,TRUE,1,1,"sirmaur__379695",NA,"census2001__02__10",NA,"source_name_not_unique_exact"
"Solan",382268,"Solan",100,100,129,"solan","solan","09","10","02","09",TRUE,TRUE,1,1,"solan__382268","census1991__09__10","census2001__02__09",1,"matched_exact_names"
"Una",378269,"Una",100,100,130,"una","una","09","04","02","07",TRUE,TRUE,1,1,"una__378269","census1991__09__04","census2001__02__07",1,"matched_exact_names"
