"specification_id","term","estimate","std.error","statistic","p.value"
"unadjusted__distance_shares_all_unmapped","ling_share_distance_3",-0.0315618502807632,0.0257945225814282,-1.2235873015726,0.221617989518637
"unadjusted__distance_shares_all_unmapped","ling_share_distance_4",0.600070099902037,0.0386260885534789,15.5353576397264,1.4030265480035e-45
"unadjusted__distance_shares_all_unmapped","ling_share_distance_5",0.250321149964412,0.0640236099087953,3.90982561466006,0.000103581371715204
"unadjusted__distance_shares_mapped","ling_mapped_share_distance_1",0.040197744306804,0.0551321394447461,0.729116350492629,0.466231554842648
"unadjusted__distance_shares_mapped","ling_mapped_share_distance_2",0.00893030651061186,0.0400804907679406,0.22280931045273,0.823764161810153
"unadjusted__distance_shares_mapped","ling_mapped_share_distance_3",-0.024003731713597,0.0344900752999465,-0.695960548211219,0.486738703625738
"unadjusted__distance_shares_mapped","ling_mapped_share_distance_4",0.543733004561206,0.0648185426567019,8.38854102970157,3.92420549562368e-16
"unadjusted__distance_shares_mapped","ling_mapped_share_distance_5",0.273942705681554,0.0715587606692483,3.82822037608706,0.000143445528698761
"unadjusted__glottolog_mean","ling_distance_glottolog_nonhindi_mean",1.36811199440794,0.423637362972793,3.2294412957523,0.0013115798233399
"unadjusted__glottolog_mean_shastry","ling_distance_glottolog_nonhindi_mean",1.05758606974394,0.453018739639384,2.33453051100228,0.0199149231065902
"unadjusted__dyen_noncognate","ling_distance_dyen_noncognate_pct",0.179539671815855,0.078075189210146,2.29957395726072,0.0218322987276365
"unadjusted__dyen_noncognate_shastry","ling_distance_dyen_noncognate_pct",0.106010420408106,0.0822478866041279,1.28891360963901,0.197951887857252
"region_main__nonzero_mean","ling_distance_nonzero_mean",4.05042744578999,2.25107243436139,1.79933234664617,0.0725082136782081
"region_main__distant_share","ling_share_distance_ge3",-0.053559774602764,0.0726201478002915,-0.737533263496732,0.461109257671207
"region_main__top3_legacy","ling_distance_top3_legacy",3.88485505026667,1.80122273108756,2.156787710491,0.0314501604657759
"region_main__nonzero_mean_hindi_urdu","ling_distance_nonzero_mean",4.05968878641937,2.24544752336749,1.80796422279826,0.0711532710732465
"region_main__nonzero_mean_shastry","ling_distance_nonzero_mean",4.01762118327475,2.24874556942395,1.78660549148027,0.0745479703216722
"region_main__nonzero_mean_sensitivity_low","ling_distance_nonzero_mean_sensitivity_low",4.06474704723097,2.2554382973704,1.8021982919994,0.0720576462264473
"region_main__nonzero_mean_sensitivity_high","ling_distance_nonzero_mean_sensitivity_high",0.516248528597223,1.5545151593895,0.332096168685783,0.739942250104092
"region_main__nonzero_mean_hindi_urdu_separate","ling_distance_nonzero_mean",3.96284957622602,2.3004138901313,1.72266807865598,0.0855066319526013
"region_main__distance_shares_all","ling_share_distance_1",0.0506160158870477,0.0329886046609108,1.53434849419455,0.125516872562198
"region_main__distance_shares_all","ling_share_distance_2",0.113964004304158,0.049770295210176,2.28979964500707,0.0224093791650194
"region_main__distance_shares_all","ling_share_distance_3",-0.233737496587933,0.105885351127249,-2.20745829427373,0.0276926445937895
"region_main__distance_shares_all","ling_share_distance_4",0.684493089837966,0.0706862641143381,9.6835375078073,1.37660144975079e-20
"region_main__distance_shares_all","ling_share_distance_5",0.00292739549644263,0.0932010870727973,0.0314094565673478,0.974954352784012
"region_main__distance_shares_all_unmapped","ling_share_distance_1",0.0622419999330633,0.035425441867822,1.75698584552024,0.07947661385667
"region_main__distance_shares_all_unmapped","ling_share_distance_2",0.126290022369767,0.0487499151448823,2.59056907062176,0.00983589115144733
"region_main__distance_shares_all_unmapped","ling_share_distance_3",-0.204321893207521,0.0981986847779604,-2.08069887768374,0.0379236848295457
"region_main__distance_shares_all_unmapped","ling_share_distance_4",0.691555749828892,0.0757602962398635,9.12820810044575,1.316775464437e-18
"region_main__distance_shares_all_unmapped","ling_share_distance_5",0.042263207746142,0.0933145344587168,0.452911306810833,0.650791217831438
"region_main__distance_shares_mapped","ling_mapped_share_distance_1",0.0671343758055009,0.0354249077493806,1.89511787244315,0.0585989997438511
"region_main__distance_shares_mapped","ling_mapped_share_distance_2",0.120584679505271,0.0486342512344792,2.4794188549115,0.013457071204784
"region_main__distance_shares_mapped","ling_mapped_share_distance_3",-0.128719390692071,0.070271011693968,-1.83175661754589,0.0675263787390957
"region_main__distance_shares_mapped","ling_mapped_share_distance_4",0.595536471948899,0.0743991756970253,8.00461115824849,7.1168720433451e-15
"region_main__distance_shares_mapped","ling_mapped_share_distance_5",0.176917996283665,0.103845704017717,1.7036621587493,0.0890070476064641
"region_main__glottolog_mean","ling_distance_glottolog_nonhindi_mean",-0.220596275142147,0.387511012374378,-0.569264532098062,0.569406527572118
"region_main__glottolog_mean_shastry","ling_distance_glottolog_nonhindi_mean",-0.202179430300115,0.393886235876806,-0.513293971418056,0.60795032919025
"region_main__dyen_noncognate","ling_distance_dyen_noncognate_pct",-0.0224130752794598,0.0862821141321568,-0.259765022043041,0.795141192166323
"region_main__dyen_noncognate_shastry","ling_distance_dyen_noncognate_pct",-0.0279491238120206,0.083588229054655,-0.33436674192183,0.73822937505803
"region_expanded__nonzero_mean","ling_distance_nonzero_mean",5.06260365719309,2.13098608002361,2.37570939794079,0.017855029440121
"region_expanded__distant_share","ling_share_distance_ge3",-0.0307768916197831,0.0668307237496194,-0.460520100531732,0.645323982925608
"region_expanded__top3_legacy","ling_distance_top3_legacy",4.14436616028653,1.68432799259054,2.46054579542574,0.0141771664963404
