"harmonized_component_id","source_vintage","target_vintage","n_source_units","n_target_units","component_class","source_coverage_complete","target_coverage_complete","deterministic_amalgamation_eligible"
"geo_component_0322",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0323",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0324",1991,2001,1,1,"one_to_one",FALSE,TRUE,FALSE
"geo_component_0325",1991,2001,3,3,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0326",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0327",1991,2001,2,2,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0328",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0329",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0330",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0331",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0332",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0333",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0334",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0335",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0336",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0337",1991,2001,3,4,"many_to_many",FALSE,FALSE,FALSE
