"specification_id","sequence","adjustment_id","adjustment","construction_id","construction","fixed_effect","excluded_instruments","included_language_controls","n_excluded_instruments","joint_excluded_f","joint_excluded_p","partial_r_squared","n","n_states","n_regions","minimum_mapped_share","coverage_sample_n"
"unadjusted__distant_share",2,"unadjusted","Unadjusted","distant_share","Share speaking languages at distance three or higher","none","ling_share_distance_ge3","",1,6.49614557393523,0.0111172086572012,0.112813171481145,488,33,6,95,488
"unadjusted__top3_legacy",3,"unadjusted","Unadjusted","top3_legacy","Legacy top-three weighted mean","none","ling_distance_top3_legacy","",1,17.5418485384116,3.33787297460487e-05,0.18854269165634,488,33,6,95,488
"unadjusted__nonzero_mean_hindi_urdu",4,"unadjusted","Unadjusted","nonzero_mean_hindi_urdu","Nonzero mean with combined Hindi-Urdu share","none","ling_distance_nonzero_mean","hindi_urdu_share",1,2.25383370572133,0.133934571938221,0.0296066087839128,488,33,6,95,488
"unadjusted__nonzero_mean_hindi_urdu_separate",5,"unadjusted","Unadjusted","nonzero_mean_hindi_urdu_separate","Nonzero mean with separate Hindi and Urdu shares","none","ling_distance_nonzero_mean","hindi_share;urdu_share",1,2.65254522131393,0.104034930725189,0.0328395451345701,488,33,6,95,488
"unadjusted__distance_shares_all",6,"unadjusted","Unadjusted","distance_shares_all","Five distance shares; all-speaker denominator","none","ling_share_distance_1;ling_share_distance_2;ling_share_distance_3;ling_share_distance_4;ling_share_distance_5","",5,90.4162863524385,5.42609972231513e-67,0.37180824673536,488,33,6,95,488
"unadjusted__distance_shares_all_unmapped",7,"unadjusted","Unadjusted","distance_shares_all_unmapped","Five distance shares with unmapped share controlled","none","ling_share_distance_1;ling_share_distance_2;ling_share_distance_3;ling_share_distance_4;ling_share_distance_5","ling_unmapped_speaker_share",5,65.2808295414058,5.8329741257936e-52,0.390253029434338,488,33,6,95,488
"unadjusted__distance_shares_mapped",8,"unadjusted","Unadjusted","distance_shares_mapped","Five distance shares; mapped-speaker denominator","none","ling_mapped_share_distance_1;ling_mapped_share_distance_2;ling_mapped_share_distance_3;ling_mapped_share_distance_4;ling_mapped_share_distance_5","",5,91.9297196994946,7.86147670230691e-68,0.373809421876052,488,33,6,95,488
"region_main__nonzero_mean",9,"region_main","Six-region FE + main controls","nonzero_mean","Mean distance among speakers above zero","region","ling_distance_nonzero_mean","",1,2.4936220268313,0.114979705811238,0.0241999034553694,488,33,6,95,488
"region_main__distant_share",10,"region_main","Six-region FE + main controls","distant_share","Share speaking languages at distance three or higher","region","ling_share_distance_ge3","",1,2.71869212196034,0.0998460408283066,0.0271139970710087,488,33,6,95,488
"region_main__top3_legacy",11,"region_main","Six-region FE + main controls","top3_legacy","Legacy top-three weighted mean","region","ling_distance_top3_legacy","",1,7.06193757536355,0.0081414544811956,0.107737367289237,488,33,6,95,488
"region_main__nonzero_mean_hindi_urdu",12,"region_main","Six-region FE + main controls","nonzero_mean_hindi_urdu","Nonzero mean with combined Hindi-Urdu share","region","ling_distance_nonzero_mean","hindi_urdu_share",1,3.41456521343775,0.0652515326458241,0.0393582998156626,488,33,6,95,488
"region_main__nonzero_mean_hindi_urdu_separate",13,"region_main","Six-region FE + main controls","nonzero_mean_hindi_urdu_separate","Nonzero mean with separate Hindi and Urdu shares","region","ling_distance_nonzero_mean","hindi_share;urdu_share",1,2.90451534586718,0.0889941280036976,0.0317835469741277,488,33,6,95,488
"region_main__distance_shares_all",14,"region_main","Six-region FE + main controls","distance_shares_all","Five distance shares; all-speaker denominator","region","ling_share_distance_1;ling_share_distance_2;ling_share_distance_3;ling_share_distance_4;ling_share_distance_5","",5,33.0247206819389,7.30866080700003e-29,0.317230510449528,488,33,6,95,488
"region_main__distance_shares_all_unmapped",15,"region_main","Six-region FE + main controls","distance_shares_all_unmapped","Five distance shares with unmapped share controlled","region","ling_share_distance_1;ling_share_distance_2;ling_share_distance_3;ling_share_distance_4;ling_share_distance_5","ling_unmapped_speaker_share",5,34.1870446320125,9.14693321961358e-30,0.320040193057872,488,33,6,95,488
"region_main__distance_shares_mapped",16,"region_main","Six-region FE + main controls","distance_shares_mapped","Five distance shares; mapped-speaker denominator","region","ling_mapped_share_distance_1;ling_mapped_share_distance_2;ling_mapped_share_distance_3;ling_mapped_share_distance_4;ling_mapped_share_distance_5","",5,34.0976729201527,1.05174501283396e-29,0.321173288824032,488,33,6,95,488
"region_expanded__nonzero_mean",17,"region_expanded","Six-region FE + expanded controls","nonzero_mean","Mean distance among speakers above zero","region","ling_distance_nonzero_mean","",1,4.50256986383978,0.0343687034755824,0.0402300480230446,488,33,6,95,488
"region_expanded__distant_share",18,"region_expanded","Six-region FE + expanded controls","distant_share","Share speaking languages at distance three or higher","region","ling_share_distance_ge3","",1,3.10366021073872,0.0787693480346093,0.0307771618762451,488,33,6,95,488
