"mother_tongue_code","mother_tongue","canonical_language","language_glottocode","glottolog_name","family_id","iso639P3code","glottolog_level","match_basis","review_status","notes","glottolog_edge_distance_from_hindi"
"006038","Bhadrawahi","Hindi","bhad1241","Bhadrawahi","indo1319","bhd","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",14
"006042","Bharmauri/Gaddi","Hindi","gadd1242","Gaddi","indo1319","gbk","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",12
"006045","Bhojpuri","Hindi","bhoj1244","Bhojpuri","indo1319","bho","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",8
"006059","Brajbhasha","Hindi","","","","","","","unresolved","",NA
"006060","Bundeli/Bundelkhandi","Hindi","bund1253","Bundeli","indo1319","bns","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",4
"006064","Chambeali","Hindi","cham1307","Chambeali","indo1319","cdh","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",12
"006072","Chhattisgarhi","Hindi","chha1249","Chhattisgarhi","indo1319","hne","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",6
"006074","Churahi","Hindi","chur1258","Churahi","indo1319","cdj","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",13
"006084","Dhundhari","Hindi","","","","","","","unresolved","",NA
"006095","Garhwali","Hindi","garh1243","Garhwali","indo1319","gbm","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",8
"006103","Gojri","Hindi","","","","","","","unresolved","",NA
"006116","Harauti","Hindi","hado1235","Hadothi","indo1319","hoj","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",10
"006117","Haryanvi","Hindi","hary1238","Haryanvi","indo1319","bgc","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",4
"006118","Hindi","Hindi","hind1269","Hindi","indo1319","hin","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",0
