"state_code_1991","district_code_1991","district_name","mother_tongue","mother_tongue_speakers","monolingual_speakers","bilingual_speakers","english_second_language","english_third_language","hindi_second_language","hindi_third_language","english_acquisition_speakers","hindi_acquisition_speakers","bilingual_share","english_acquisition_share","hindi_acquisition_share","english_minus_hindi_acquisition_share","validation_status","n_language_cells","n_mismatched_cells","absolute_speaker_difference","shastry_distance_1991","distance_mapping_status","st16_exact_validation","hindi_belt_1991","preferred_st_language_sample"
"05","37","GUMLA","Kharia",92461,36977,55484,119,3192,52243,902,3311,53145,0.600080033743957,0.0358096927353154,0.57478288143109,-0.538973188695774,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Urdu",102,80,22,0,1,22,0,1,22,0.215686274509804,0.00980392156862745,0.215686274509804,-0.205882352941176,"st16_unavailable",43,NA,NA,0,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Kurukh/Oraon",77262,27456,49806,115,4085,48385,344,4200,48729,0.644637726178458,0.0543604876912324,0.630698143977635,-0.576337656286402,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Mao",14,2,12,0,0,12,0,0,12,0.857142857142857,0,0.857142857142857,-0.857142857142857,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Liangmei",1,0,1,0,0,1,0,0,1,1,0,1,-1,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","Konkani",144,5,139,0,0,117,13,0,130,0.965277777777778,0,0.902777777777778,-0.902777777777778,"st16_unavailable",43,NA,NA,2,"mapped",FALSE,TRUE,FALSE
"05","37","GUMLA","English",34,2,32,0,0,32,0,0,32,0.941176470588235,0,0.941176470588235,-0.941176470588235,"st16_unavailable",43,NA,NA,NA,"unresolved",FALSE,TRUE,FALSE
"05","37","GUMLA","Telugu",23,10,13,0,2,13,0,2,13,0.565217391304348,0.0869565217391304,0.565217391304348,-0.478260869565217,"st16_unavailable",43,NA,NA,5,"mapped",FALSE,TRUE,FALSE
"05","24","KATIHAR","Marathi",38,38,0,0,0,0,0,0,0,0,0,0,0,"st16_unavailable",21,NA,NA,2,"mapped",FALSE,TRUE,FALSE
"05","24","KATIHAR","Gujarati",22,22,0,0,0,0,0,0,0,0,0,0,0,"st16_unavailable",21,NA,NA,1,"mapped",FALSE,TRUE,FALSE
