"panel_unit_id","dist91_state_id","dist91_district_id","state_code_2001","district_code_2001","preferred_vanneman_pretrend_eligible","pretrend_geography_status","period_id","start_year","end_year","measure_id","domain","label","contains_estimated_source","start_value","end_value","change","population_1961"
"1201","09","01","02","01",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,12.2823297352469,12.4340047135762,0.1516749783293,215848
"1202","09",NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.044368152992,14.233945855003,0.189577702011,1257163
"1205","09","05","02","08",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,11.9754386104567,12.1796567990247,0.204218188567999,158806
"1206","09","06","02","05",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,12.8590720833777,13.152271633143,0.2931995497653,384259
"1208","09","08","02","03",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,10.0766001702448,10.2245197746694,0.147919604424599,23780
"1209","09",NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.1883664505618,13.3958151781085,0.2074487275467,534115
"1211","09","11","02","10",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,12.1937520578363,12.409148174334,0.215396116497701,197551
"1212","09","12","02","12",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,10.6208394217929,10.8164728274016,0.195633405608701,40980
"1301",NA,NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.3833929053534,13.6319242016485,0.2485312962951,649133
"1303",NA,NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.3899233515345,13.6332210006583,0.2432976491238,653386
"1305",NA,NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.2995367047776,13.5542250114713,0.2546883066937,596919
