"harmonized_component_id","vintage","state_code","district_code","unit_id","side"
"geo_component_0056",2001,"10","25","census2001__10__25","target"
"geo_component_0056",2001,"10","26","census2001__10__26","target"
"geo_component_0056",2001,"10","27","census2001__10__27","target"
"geo_component_0056",2001,"10","37","census2001__10__37","target"
"geo_component_0057",1991,"05","03","census1991__05__03","source"
"geo_component_0057",2001,"10","29","census2001__10__29","target"
"geo_component_0057",2001,"10","30","census2001__10__30","target"
"geo_component_0058",1991,"05","04","census1991__05__04","source"
"geo_component_0058",1991,"05","18","census1991__05__18","source"
"geo_component_0058",2001,"10","19","census2001__10__19","target"
"geo_component_0058",2001,"10","31","census2001__10__31","target"
"geo_component_0058",2001,"10","32","census2001__10__32","target"
"geo_component_0059",1991,"05","05","census1991__05__05","source"
"geo_component_0059",2001,"10","34","census2001__10__34","target"
"geo_component_0060",1991,"05","06","census1991__05__06","source"
"geo_component_0060",2001,"10","33","census2001__10__33","target"
"geo_component_0061",1991,"05","07","census1991__05__07","source"
"geo_component_0061",2001,"10","35","census2001__10__35","target"
"geo_component_0062",1991,"05","08","census1991__05__08","source"
"geo_component_0062",2001,"10","36","census2001__10__36","target"
"geo_component_0063",1991,"05","09","census1991__05__09","source"
"geo_component_0063",2001,"10","17","census2001__10__17","target"
"geo_component_0064",1991,"05","10","census1991__05__10","source"
"geo_component_0064",2001,"10","16","census2001__10__16","target"
"geo_component_0065",1991,"05","11","census1991__05__11","source"
"geo_component_0065",2001,"10","15","census2001__10__15","target"
"geo_component_0066",1991,"05","12","census1991__05__12","source"
"geo_component_0066",2001,"10","01","census2001__10__01","target"
"geo_component_0067",1991,"05","13","census1991__05__13","source"
"geo_component_0067",2001,"10","02","census2001__10__02","target"
"geo_component_0068",1991,"05","14","census1991__05__14","source"
"geo_component_0068",2001,"10","03","census2001__10__03","target"
"geo_component_0068",2001,"10","04","census2001__10__04","target"
"geo_component_0069",1991,"05","15","census1991__05__15","source"
"geo_component_0069",2001,"10","14","census2001__10__14","target"
"geo_component_0070",1991,"05","16","census1991__05__16","source"
"geo_component_0070",2001,"10","18","census2001__10__18","target"
"geo_component_0071",1991,"05","19","census1991__05__19","source"
"geo_component_0071",2001,"10","13","census2001__10__13","target"
"geo_component_0072",1991,"05","20","census1991__05__20","source"
"geo_component_0072",2001,"10","05","census2001__10__05","target"
"geo_component_0073",1991,"05","21","census1991__05__21","source"
"geo_component_0073",2001,"10","06","census2001__10__06","target"
"geo_component_0073",2001,"10","12","census2001__10__12","target"
"geo_component_0074",1991,"05","22","census1991__05__22","source"
"geo_component_0074",2001,"10","11","census2001__10__11","target"
"geo_component_0075",1991,"05","23","census1991__05__23","source"
"geo_component_0075",2001,"10","09","census2001__10__09","target"
"geo_component_0076",1991,"05","24","census1991__05__24","source"
"geo_component_0076",2001,"10","10","census2001__10__10","target"
"geo_component_0077",1991,"05","25","census1991__05__25","source"
"geo_component_0077",2001,"10","21","census2001__10__21","target"
"geo_component_0078",1991,"05","27","census1991__05__27","source"
"geo_component_0078",2001,"10","22","census2001__10__22","target"
"geo_component_0078",2001,"10","23","census2001__10__23","target"
