"mother_tongue_code","mother_tongue","canonical_language","national_speakers","n_districts","match_term","term_source","language_glottocode","glottolog_name","family_id","countries","iso639P3code","alias_basis","provider","is_india_language","candidate_count","candidate_status","review_status","reviewed_glottocode"
"030046","Pawri","Bhili/Bhilodi",154918,41,"Pawri","mother_tongue","rath1242","Rathwi Bareli","indo1319","IN","bgd","alternate_name","multitree",TRUE,1,"exact_unique","unresolved",""
"005999","Others","Gujarati",147129,373,"Gujarati","canonical_language","guja1252","Gujarati","indo1319","BD;IN;PK","guj","primary_name","glottolog",TRUE,1,"exact_unique","unresolved",""
"111005","Tangkhul","Tangkhul",142023,83,"Tangkhul","mother_tongue","tang1336","East-Central Tangkhul Naga","sino1245","IN;MM","nmf","alternate_name","elcat",TRUE,1,"exact_unique","unresolved",""
"083999","Others","Malto",141876,49,"Malto","canonical_language","kuma1274","Kumarbhag Paharia","drav1251","IN","kmj","alternate_name","elcat",TRUE,3,"exact_ambiguous","unresolved",""
"083999","Others","Malto",141876,49,"Malto","canonical_language","malp1246","Mar Paharia of Dumka","indo1319","IN","mkb","alternate_name","elcat",TRUE,3,"exact_ambiguous","unresolved",""
"083999","Others","Malto",141876,49,"Malto","canonical_language","saur1249","Sauria Paharia","drav1251","BD;IN","mjt","alternate_name","elcat",TRUE,3,"exact_ambiguous","unresolved",""
"060001","Kisan","Kisan",141088,46,"Kisan","mother_tongue","sadr1248","Sadri","indo1319","BD;IN","sck","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","sadr1248"
"006174","Lodhi","Hindi",139321,40,"Lodhi","mother_tongue","lodh1246","Lodhi","indo1319","IN","lbm","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","lodh1246"
"053004","Dangi","Khandeshi",138756,31,"Dangi","mother_tongue","braj1242","Braj","indo1319","IN","bra","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","braj1242"
"007002","Badaga","Kannada",134514,70,"Badaga","mother_tongue","bada1257","Badaga","drav1251","IN","bfq","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","bada1257"
"006064","Chambeali","Hindi",126589,33,"Chambeali","mother_tongue","cham1307","Chambeali","indo1319","IN","cdh","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","cham1307"
"016999","Others","Punjabi",123251,429,"Punjabi","canonical_language","panj1256","Eastern Panjabi","indo1319","BD;IN;PK","pan","alternate_name","lexvo",TRUE,1,"exact_unique","unresolved",""
"099001","Phom","Phom",122508,21,"Phom","mother_tongue","phom1236","Phom Naga","sino1245","IN","nph","alternate_name","elcat",TRUE,1,"exact_unique","unresolved",""
"063001","Kolami","Kolami",121855,26,"Kolami","mother_tongue","nort2699","Northwestern Kolami","drav1251","IN","kfb","alternate_name","lexvo",TRUE,2,"exact_ambiguous","unresolved",""
"063001","Kolami","Kolami",121855,26,"Kolami","mother_tongue","sout1549","Southeastern Kolami","drav1251","IN","nit","alternate_name","elcat",TRUE,2,"exact_ambiguous","unresolved",""
"093007","Nissi","Nissi/Dafla",118111,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"no_exact_match","unresolved",""
"058001","Khond/Kondh","Khond/Kondh",115330,45,"Khond","mother_tongue_component","kuii1252","Kui (India)","drav1251","IN","kxu","alternate_name","elcat",TRUE,1,"exact_unique","unresolved",""
