"source_unit_id","target_set_reference","n_targets_reference","target_set_candidate","n_targets_candidate","source_status"
"census1991__11__16","census2001__29__26|census2001__29__27",2,NA,NA,"reference_only"
"census1991__04__10","census2001__18__12",1,NA,NA,"reference_only"
"census1991__04__11","census2001__18__13",1,NA,NA,"reference_only"
"census1991__04__12","census2001__18__09",1,NA,NA,"reference_only"
"census1991__04__13","census2001__18__10",1,NA,NA,"reference_only"
"census1991__12__01","census2001__32__01",1,NA,NA,"reference_only"
"census1991__19__12","census2001__21__19|census2001__21__20",2,NA,NA,"reference_only"
"census1991__25__55","census2001__09__59|census2001__09__60",2,NA,NA,"reference_only"
"census1991__05__34","census2001__20__03|census2001__20__04|census2001__20__05",3,NA,NA,"reference_only"
"census1991__04__18","census2001__18__14",1,NA,NA,"reference_only"
"census1991__04__19","census2001__18__19",1,NA,NA,"reference_only"
"census1991__04__20","census2001__18__20",1,NA,NA,"reference_only"
"census1991__04__21","census2001__18__22",1,NA,NA,"reference_only"
"census1991__05__39","census2001__20__18",1,NA,NA,"reference_only"
"census1991__04__23","census2001__18__21",1,NA,NA,"reference_only"
"census1991__12__11","census2001__32__11",1,NA,NA,"reference_only"
"census1991__26__01","census2001__19__03",1,NA,NA,"reference_only"
"census1991__26__02","census2001__19__02",1,NA,NA,"reference_only"
"census1991__12__14","census2001__32__14",1,NA,NA,"reference_only"
"census1991__05__05","census2001__10__34",1,NA,NA,"reference_only"
"census1991__05__06","census2001__10__33",1,NA,NA,"reference_only"
"census1991__05__07","census2001__10__35",1,NA,NA,"reference_only"
"census1991__05__08","census2001__10__36",1,NA,NA,"reference_only"
"census1991__13__05","census2001__23__06",1,NA,NA,"reference_only"
"census1991__13__06","census2001__23__07",1,NA,NA,"reference_only"
"census1991__13__07","census2001__23__08",1,NA,NA,"reference_only"
"census1991__05__12","census2001__10__01",1,NA,NA,"reference_only"
"census1991__05__13","census2001__10__02",1,NA,NA,"reference_only"
"census1991__05__14","census2001__10__03|census2001__10__04",2,NA,NA,"reference_only"
"census1991__05__15","census2001__10__14",1,NA,NA,"reference_only"
"census1991__05__16","census2001__10__18",1,NA,NA,"reference_only"
"census1991__13__13","census2001__23__14",1,NA,NA,"reference_only"
"census1991__05__18","census2001__10__19",1,NA,NA,"reference_only"
"census1991__05__19","census2001__10__13",1,NA,NA,"reference_only"
"census1991__05__20","census2001__10__05",1,NA,NA,"reference_only"
"census1991__13__17","census2001__23__20",1,NA,NA,"reference_only"
"census1991__13__18","census2001__23__21",1,NA,NA,"reference_only"
"census1991__05__23","census2001__10__09",1,NA,NA,"reference_only"
"census1991__05__24","census2001__10__10",1,NA,NA,"reference_only"
