"state_code_1991","district_code_1991","state_code_2001","district_code_2001","n_shrid_mapped","population_1991_mapped","area_1991_mapped","n_shrid_total","population_1991_total","area_1991_total","population_share_to_2001","area_share_to_2001","n_target_2001_districts","shrid_coverage","mapping_class"
"07","10","24","06",115,442605,942.1750072,1093,2932919,9314.18822704,0.150909384132327,0.10115481717073,3,0.999085086916743,"non_nested_or_incomplete"
"07","11","24","06",54,408992,4535.6173383,54,408992,4535.6173383,1,1,1,1,"deterministic_containment"
"07","12","24","07",531,4525432,11452.60796323,627,4739753,12072.80276129,0.95478224287215,0.94862876414675,2,1,"non_nested_or_incomplete"
"07","12","24","06",96,214321,620.19479806,627,4739753,12072.80276129,0.0452177571278503,0.0513712358532503,2,1,"non_nested_or_incomplete"
"07","13","24","16",615,1774595,3980.65244841,980,3428698,7044.92595111,0.517571101333509,0.565038224111186,3,1,"non_nested_or_incomplete"
"07","13","24","15",359,1642615,3030.0173027,980,3428698,7044.92595111,0.479078355690702,0.430099240748242,3,1,"non_nested_or_incomplete"
"07","13","24","06",6,11488,34.2562,980,3428698,7044.92595111,0.00335054297578848,0.004862535140572,3,1,"non_nested_or_incomplete"
"07","14","24","17",1193,1681841,5165.999390515,1890,2956071,8818.35601766499,0.568944724264065,0.585823409733791,2,0.9994708994709,"non_nested_or_incomplete"
"07","14","24","18",696,1274123,3652.35662715,1890,2956071,8818.35601766499,0.431019079041065,0.41417659026621,2,0.9994708994709,"non_nested_or_incomplete"
"07","15","24","19",1548,3026600,9971.81021284,1646,3078103,10216.22661249,0.9832679413262,0.976075667766494,2,0.999392466585662,"non_nested_or_incomplete"
"07","15","24","20",97,51483,244.41639965,1646,3078103,10216.22661249,0.0167255611654321,0.0239243322335064,2,0.999392466585662,"non_nested_or_incomplete"
"07","16","24","21",662,1148252,5216.75870317,1125,1546145,7540.80546748,0.74265479628366,0.691803909498457,3,0.995555555555556,"non_nested_or_incomplete"
"07","16","24","20",457,390851,2285.87976471,1125,1546145,7540.80546748,0.252790650294765,0.303134694903342,3,0.995555555555556,"non_nested_or_incomplete"
"07","16","24","13",1,4073,15.22,1125,1546145,7540.80546748,0.00263429367879468,0.00201835202693357,3,0.995555555555556,"non_nested_or_incomplete"
"07","17","24","22",1154,3331964,6479.97574693999,1158,3333086,6538.66564703999,0.999663375022427,0.99102417782647,1,0.996545768566494,"non_nested_or_incomplete"
"07","18","24","24",380,1085692,2219.41956219,840,2159887,5228.03517719001,0.502661481827522,0.424522691024222,3,0.998809523809524,"non_nested_or_incomplete"
"07","18","24","25",458,1066175,2986.955615,840,2159887,5228.03517719001,0.493625360956383,0.571334261106759,3,0.998809523809524,"non_nested_or_incomplete"
"07","18","24","13",1,7918,21.66,840,2159887,5228.03517719001,0.00366593252332182,0.00414304786901643,3,0.998809523809524,"non_nested_or_incomplete"
"07","19","24","23",311,144091,1723.57200605,311,144091,1723.57200605,1,1,1,1,"deterministic_containment"
"08","01","06","02",465,799085,1486.65069755,678,1095807,2123.42849619,0.729220565300276,0.700118087431458,2,0.994100294985251,"non_nested_or_incomplete"
"08","01","06","01",209,295353,630.74419854,678,1095807,2123.42849619,0.2695301271118,0.297040470009574,2,0.994100294985251,"non_nested_or_incomplete"
"08","02","06","03",605,784202,1557.35893145,624,799865,1615.19883145,0.980417945528308,0.964190229169448,2,0.990384615384615,"non_nested_or_incomplete"
"08","02","06","04",13,15601,45.0999,624,799865,1615.19883145,0.0195045413913598,0.0279221970211016,2,0.990384615384615,"non_nested_or_incomplete"
"08","03","06","04",383,561760,1537.71179948,391,622502,1589.17209988,0.902422803460872,0.967618170238525,2,0.982097186700767,"non_nested_or_incomplete"
"08","03","06","05",1,3895,10.9466,391,622502,1589.17209988,0.00625700800961282,0.00688824073920414,2,0.982097186700767,"non_nested_or_incomplete"
"08","04","06","05",264,759027,2158.6288957,282,811904,2321.7694977,0.934872842109412,0.929734367618486,4,1,"non_nested_or_incomplete"
"08","04","06","09",10,31376,93.31,282,811904,2321.7694977,0.0386449629512849,0.0401891747188664,4,1,"non_nested_or_incomplete"
"08","04","06","04",7,13601,45.4122,282,811904,2321.7694977,0.0167519805297178,0.0195593059711511,4,1,"non_nested_or_incomplete"
"08","04","06","06",1,7900,24.418402,282,811904,2321.7694977,0.00973021440958537,0.0105171516914963,4,1,"non_nested_or_incomplete"
"08","05","06","06",367,864215,1861.38309705,380,885091,1907.94569695,0.976413724690456,0.975595427074034,3,0.989473684210526,"non_nested_or_incomplete"
"08","05","06","07",7,16943,34.7379,380,885091,1907.94569695,0.0191426644265957,0.0182069647241697,3,0.989473684210526,"non_nested_or_incomplete"
"08","05","06","04",2,2096,5.32,380,885091,1907.94569695,0.00236811808051376,0.00278833931621033,3,0.989473684210526,"non_nested_or_incomplete"
"08","06","06","07",169,635971,1208.3910006,216,789797,1700.4929006,0.805233496708648,0.710612199659071,2,0.990740740740741,"non_nested_or_incomplete"
"08","06","06","06",45,146847,473.6389,216,789797,1700.4929006,0.185930055444627,0.278530360128456,2,0.990740740740741,"non_nested_or_incomplete"
"08","07","06","08",242,738065,1294.1340046,243,738070,1296.8840046,0.99999322557481,0.997879532795342,1,0.995884773662551,"non_nested_or_incomplete"
"08","08","06","14",142,760450,1624.6852997,460,1735513,4202.49090130001,0.438170154876397,0.386600551400936,6,0.997826086956522,"non_nested_or_incomplete"
