"analysis_id","predictor_id","sample_id","period_id","domain","predictor","tested_measures","joint_f","joint_p","n","n_states","population_1961","status","reason"
"strict_one_to_one","historical_ld_1991","historical_ld_support","1961_1991","education","ling_distance_nonzero_mean_1991","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",0.586784210009793,0.627120324011765,54,10,64441939,"estimated",NA
"historical_parent","eventual_emie","full_pretrend","1961_1971","demography","emie_exposure","log_population;urban_share",1.29302146561727,0.27718970640992,187,19,213986430,"estimated",NA
"historical_parent","eventual_emie","full_pretrend","1961_1971","labor","emie_exposure","main_worker_share;nonfarm_worker_share_main_workers",5.40102830792515,0.00533979230788628,187,19,213986430,"estimated",NA
"historical_parent","eventual_emie","full_pretrend","1961_1971","education","emie_exposure","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",7.84422385482931,6.32454994645766e-05,187,19,213986430,"estimated",NA
"historical_parent","eventual_emie","full_pretrend","1971_1981","demography","emie_exposure","log_population;urban_share",2.67280069734734,0.0721037326815755,182,18,206536561,"estimated",NA
"historical_parent","eventual_emie","full_pretrend","1971_1981","labor","emie_exposure","main_worker_share;nonfarm_worker_share_main_workers",0.674548878450618,0.510810993219343,182,18,206536561,"estimated",NA
"historical_parent","eventual_emie","full_pretrend","1971_1981","education","emie_exposure","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",19.0405225654128,1.28229723447651e-10,182,18,206536561,"estimated",NA
"historical_parent","eventual_emie","full_pretrend","1981_1991","demography","emie_exposure","log_population;urban_share",7.05801563231534,0.0011508164847908,182,18,206536561,"estimated",NA
"historical_parent","eventual_emie","full_pretrend","1981_1991","labor","emie_exposure","main_worker_share;nonfarm_worker_share_main_workers",2.46934741117037,0.0878209368410299,182,18,206536561,"estimated",NA
"historical_parent","eventual_emie","full_pretrend","1981_1991","education","emie_exposure","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",26.1948834200072,9.54765064835649e-14,173,16,197438207,"estimated",NA
"historical_parent","eventual_emie","full_pretrend","1961_1981","demography","emie_exposure","log_population;urban_share",8.50558167117899,0.000307204001796728,182,18,206536561,"estimated",NA
"historical_parent","eventual_emie","full_pretrend","1961_1981","labor","emie_exposure","main_worker_share;nonfarm_worker_share_main_workers",3.27105954752871,0.0404885034472901,182,18,206536561,"estimated",NA
"historical_parent","eventual_emie","full_pretrend","1961_1981","education","emie_exposure","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",11.1805025457587,1.05176313610639e-06,182,18,206536561,"estimated",NA
"historical_parent","eventual_emie","full_pretrend","1961_1991","demography","emie_exposure","log_population;urban_share",18.7716067313338,4.47168590040078e-08,187,19,213986430,"estimated",NA
"historical_parent","eventual_emie","full_pretrend","1961_1991","labor","emie_exposure","main_worker_share;nonfarm_worker_share_main_workers",2.49053334924264,0.0859578345209117,187,19,213986430,"estimated",NA
"historical_parent","eventual_emie","full_pretrend","1961_1991","education","emie_exposure","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",22.177477398074,4.8794444556628e-12,178,17,204888076,"estimated",NA
"historical_parent","census_2001_ld","full_pretrend","1961_1971","demography","ling_distance_nonzero_mean_2001","log_population;urban_share",1.85096528467994,0.160312844390706,187,19,213986430,"estimated",NA
"historical_parent","census_2001_ld","full_pretrend","1961_1971","labor","ling_distance_nonzero_mean_2001","main_worker_share;nonfarm_worker_share_main_workers",0.91983659323192,0.400605968618612,187,19,213986430,"estimated",NA
"historical_parent","census_2001_ld","full_pretrend","1961_1971","education","ling_distance_nonzero_mean_2001","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",0.747667461834411,0.525161516786787,187,19,213986430,"estimated",NA
"historical_parent","census_2001_ld","full_pretrend","1971_1981","demography","ling_distance_nonzero_mean_2001","log_population;urban_share",0.62098352399231,0.538689873873234,182,18,206536561,"estimated",NA
"historical_parent","census_2001_ld","full_pretrend","1971_1981","labor","ling_distance_nonzero_mean_2001","main_worker_share;nonfarm_worker_share_main_workers",1.25285091706795,0.288442195819286,182,18,206536561,"estimated",NA
"historical_parent","census_2001_ld","full_pretrend","1971_1981","education","ling_distance_nonzero_mean_2001","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",1.43913895023022,0.233384844164749,182,18,206536561,"estimated",NA
"historical_parent","census_2001_ld","full_pretrend","1981_1991","demography","ling_distance_nonzero_mean_2001","log_population;urban_share",3.89919391612968,0.0221869506542003,182,18,206536561,"estimated",NA
"historical_parent","census_2001_ld","full_pretrend","1981_1991","labor","ling_distance_nonzero_mean_2001","main_worker_share;nonfarm_worker_share_main_workers",0.751422381486737,0.473331929287343,182,18,206536561,"estimated",NA
"historical_parent","census_2001_ld","full_pretrend","1981_1991","education","ling_distance_nonzero_mean_2001","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",4.17590997774941,0.0071042870487897,173,16,197438207,"estimated",NA
"historical_parent","census_2001_ld","full_pretrend","1961_1981","demography","ling_distance_nonzero_mean_2001","log_population;urban_share",0.994156805926749,0.37228136291809,182,18,206536561,"estimated",NA
"historical_parent","census_2001_ld","full_pretrend","1961_1981","labor","ling_distance_nonzero_mean_2001","main_worker_share;nonfarm_worker_share_main_workers",1.3564203821093,0.260490641956317,182,18,206536561,"estimated",NA
"historical_parent","census_2001_ld","full_pretrend","1961_1981","education","ling_distance_nonzero_mean_2001","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",1.03850808497708,0.377162968418303,182,18,206536561,"estimated",NA
"historical_parent","census_2001_ld","full_pretrend","1961_1991","demography","ling_distance_nonzero_mean_2001","log_population;urban_share",1.43817387103096,0.240302663125726,187,19,213986430,"estimated",NA
"historical_parent","census_2001_ld","full_pretrend","1961_1991","labor","ling_distance_nonzero_mean_2001","main_worker_share;nonfarm_worker_share_main_workers",1.15225649275095,0.318436692542147,187,19,213986430,"estimated",NA
"historical_parent","census_2001_ld","full_pretrend","1961_1991","education","ling_distance_nonzero_mean_2001","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",0.957075682243883,0.414619939325642,178,17,204888076,"estimated",NA
"historical_parent","helms_lim_ld_1991","full_pretrend","1961_1971","demography","ling_distance_helms_lim_1991","log_population;urban_share",1.35836829944731,0.25983958814718,192,19,220928031,"estimated",NA
