"state_key","district_key","target_unit_2001","n_candidate_targets","bridge_status","bridge_sources"
"uttar pradesh","fatehpur","pc2001__09__42",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","firozabad","pc2001__09__16",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","gautam buddha nagar","pc2001__09__10",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","ghaziabad","pc2001__09__09",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","ghazipur","pc2001__09__65",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","gonda","pc2001__09__53",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","gorakhpur","pc2001__09__58",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","hamirpur","pc2001__09__38",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","hamirpur u p",NA,0,"unresolved_no_deterministic_lineage",NA
"uttar pradesh","hapur panchsheel nagar",NA,0,"unresolved_no_deterministic_lineage",NA
"uttar pradesh","hardoi","pc2001__09__25",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","hathras","pc2001__09__13",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","jalaun","pc2001__09__35",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","jaunpur","pc2001__09__64",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","jhansi","pc2001__09__36",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","jyotiba phule nagar","pc2001__09__06",1,"deterministic_to_2001","exact_census_2001_identity"
"uttar pradesh","kannauj","pc2001__09__30",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","kanpur dehat","pc2001__09__33",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","kanpur nagar","pc2001__09__34",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"uttar pradesh","kanshiram nagar",NA,0,"unresolved_no_deterministic_lineage",NA
"uttar pradesh","kashiram nagar",NA,0,"unresolved_no_deterministic_lineage",NA
