"target_unit_2001","dise_source_district_count_0708","dise_emi_enrollment_share_total_0708","dise_hindi_enrollment_share_total_0708","dise_english_share_english_hindi_0708","dise_private_enrollment_share_0708","dise_private_school_share_0708","dise_emi_gross_enrollment_ratio_age_6_13_0708","dise_elementary_gross_enrollment_ratio_age_6_13_0708","dise_english_identity_resolved_0708","dise_hindi_identity_resolved_0708","dise_baseline_years_observed","dise_emi_enrollment_share_total_0508_pooled","dise_age_6_13_baseline_years_observed","dise_emi_gross_enrollment_ratio_age_6_13_0508_pooled"
"pc2001__27__33",1,3.6424790100145,NA,NA,35.3137539198166,14.3109540636042,3.789502417173,104.036355645545,TRUE,FALSE,3,2.99211320268901,3,3.06487392164438
"pc2001__27__34",1,6.68410061520516,0.0720561398227758,98.9334744228788,46.6056478467819,34.8423876592891,6.62657627087483,99.1393854215857,TRUE,TRUE,3,4.58169175230794,3,4.44549155679054
"pc2001__27__35",1,2.71107668474051,0,100,48.5375062198306,31.8986323411102,2.58007274621421,95.1678261532156,TRUE,TRUE,3,2.44031227038626,3,2.27651953559506
"pc2001__28__05",1,74.5023046590458,1.12716152078603,98.5096265017846,80.8584797918431,72.0646437994723,78.978024783594,106.007492177633,TRUE,TRUE,3,72.6940059814405,3,75.3875730035364
"pc2001__28__22",1,20.0379633545443,NA,NA,28.2467027941422,15.145184875705,15.9688653779939,79.6930561027921,TRUE,FALSE,3,17.2051084597102,3,13.7787167613188
"pc2001__29__02",1,1.9621901315567,0,100,22.2665629544455,18.8916876574307,1.79790021377863,91.6272172030685,TRUE,TRUE,3,2.10450362365251,3,1.84139708368897
"pc2001__29__05",1,2.33407249439098,0.19758134309592,92.1955624355005,32.4020339448013,23.134328358209,2.33117209725205,99.8757366300364,TRUE,TRUE,3,2.28916265228689,3,2.16086944890799
"pc2001__29__06",1,4.2079458236129,0.46483730694257,90.0522388059701,20.14806445651,19.185687847008,3.41617089418946,81.1838136085216,TRUE,TRUE,3,3.07230228652564,3,2.27265461223982
"pc2001__29__07",1,4.14586829080673,0,100,19.9998309361488,17.2743055555556,3.91277742225914,94.3777550998313,TRUE,TRUE,3,2.7854198027807,3,2.32836210087909
"pc2001__29__08",1,4.23631028912406,0,100,20.6224244222464,18.2754182754183,3.89759830306679,92.0045520053891,TRUE,TRUE,3,4.4390969684704,3,3.97531336052994
"pc2001__29__09",1,10.3465944025687,0.169274094990853,98.3902984805284,32.5146691564381,26.797385620915,10.0617458596976,97.2469342878624,TRUE,TRUE,3,10.5223590519027,3,9.03121570931416
"pc2001__29__11",1,1.95297483348979,0,100,16.0341513566671,12.5753012048193,1.75917697711151,90.0767868046728,TRUE,TRUE,3,1.92796740802678,3,1.6982592871362
"pc2001__29__13",1,3.60689313235315,0.0968448952546001,97.385212060553,21.0653865223415,12.1693121693122,3.15600886173198,87.4993726158167,TRUE,TRUE,3,2.50077060600456,3,2.15644341406187
"pc2001__29__16",1,10.7468674871436,0,100,45.8055374229808,34.5511482254697,9.33350005245892,86.8485636733174,TRUE,TRUE,3,9.2848689598164,3,8.14526518972321
"pc2001__29__20",1,42.9744810197363,0,100,72.6838316146223,60.996354799514,23.0709075524211,53.6851336071415,TRUE,TRUE,3,39.4039348053412,3,27.2156962910672
"pc2001__29__22",1,6.902011168663,0,100,27.7223616056976,14.3455985095482,5.54499942195536,80.3388937869466,TRUE,TRUE,3,6.20912961084717,3,4.92305304153474
"pc2001__29__23",1,9.62839136115594,0,100,25.9660095303974,10.3082191780822,8.31369705622813,86.3456494899894,TRUE,TRUE,3,7.91168035383145,3,6.50849073390463
"pc2001__29__24",1,13.8599409881348,NA,NA,47.3205317345722,32.1428571428571,12.8691920454301,92.8517087947712,TRUE,FALSE,3,13.9610170108535,3,12.916254288385
