"target_unit_2001","census_2001_district_name","census_age_6_13_population_2001","census_age_6_13_population_2011","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","census_age_6_13_anchor_status","census_age_6_13_annual_log_growth_2001_2011"
"pc2001__20__16","Gumla",299589,336449,2,"Gumla;Simdega",TRUE,"two_census_anchors",0.011603504207187
"pc2001__20__17","Pashchimi Singhbhum",452592,497422,2,"Pashchimi Singhbhum;Saraikela-Kharsawan",TRUE,"two_census_anchors",0.00944477029957348
"pc2001__20__18","Purbi Singhbhum",362592,358591,1,"Purbi Singhbhum",TRUE,"two_census_anchors",-0.00110957719438583
"pc2001__21__02","Jharsuguda  *",92730,82428,1,"Jharsuguda",TRUE,"two_census_anchors",-0.011776685979239
"pc2001__21__03","Sambalpur",167263,150615,1,"Sambalpur",TRUE,"two_census_anchors",-0.0104840511940335
"pc2001__21__07","Mayurbhanj",456054,459881,1,"Mayurbhanj",TRUE,"two_census_anchors",0.000835653680767627
"pc2001__21__09","Bhadrak  *",262827,241616,1,"Bhadrak",TRUE,"two_census_anchors",-0.00841463320256853
"pc2001__21__14","Dhenkanal",193032,176320,1,"Dhenkanal",TRUE,"two_census_anchors",-0.00905554523053279
"pc2001__21__17","Khordha  *",312340,312326,1,"Khordha",TRUE,"two_census_anchors",-4.4823953928456e-06
"pc2001__21__18","Puri",256556,239609,1,"Puri",TRUE,"two_census_anchors",-0.00683385362282649
"pc2001__21__19","Ganjam",614829,585627,1,"Ganjam",TRUE,"two_census_anchors",-0.00486611122216968
"pc2001__21__20","Gajapati  *",110574,113153,1,"Gajapati",TRUE,"two_census_anchors",0.00230559051277997
"pc2001__21__22","Baudh  *",67375,78262,1,"Baudh",TRUE,"two_census_anchors",0.014978814306607
"pc2001__21__24","Balangir",240570,256263,1,"Balangir",TRUE,"two_census_anchors",0.00631931533860785
"pc2001__21__25","Nuapada  *",102662,107374,1,"Nuapada",TRUE,"two_census_anchors",0.00448760283792994
"pc2001__21__26","Kalahandi",244983,276657,1,"Kalahandi",TRUE,"two_census_anchors",0.0121589651370907
"pc2001__21__28","Nabarangapur  *",219593,244573,1,"Nabarangapur",TRUE,"two_census_anchors",0.010773799987049
"pc2001__21__30","Malkangiri  *",110260,125896,1,"Malkangiri",TRUE,"two_census_anchors",0.0132614956137026
"pc2001__22__03","Jashpur *",147086,145659,1,"Jashpur",TRUE,"two_census_anchors",-0.000974917626321655
"pc2001__22__05","Korba *",209081,207246,1,"Korba",TRUE,"two_census_anchors",-0.000881524322425118
"pc2001__22__10","Durg",548702,545284,1,"Durg",TRUE,"two_census_anchors",-0.000624872918258673
"pc2001__22__11","Raipur",618379,708607,1,"Raipur",TRUE,"two_census_anchors",0.0136199532922745
"pc2001__22__12","Mahasamund *",162681,169522,1,"Mahasamund",TRUE,"two_census_anchors",0.00411914838511216
"pc2001__22__13","Dhamtari *",136991,129990,1,"Dhamtari",TRUE,"two_census_anchors",-0.00524577058196323
"pc2001__23__01","Sheopur *",134879,143163,1,"Sheopur",TRUE,"two_census_anchors",0.00596057610240088
"pc2001__23__02","Morena",365363,382873,1,"Morena",TRUE,"two_census_anchors",0.00468119615798228
"pc2001__23__03","Bhind",311966,310865,1,"Bhind",TRUE,"two_census_anchors",-0.000353547317598307
"pc2001__23__04","Gwalior",343111,345862,1,"Gwalior",TRUE,"two_census_anchors",0.000798584159349467
"pc2001__23__07","Guna",376169,432330,2,"Ashoknagar;Guna",TRUE,"two_census_anchors",0.0139150675023902
"pc2001__23__09","Chhatarpur",333096,363607,1,"Chhatarpur",TRUE,"two_census_anchors",0.0087642877321552
"pc2001__23__10","Panna",185649,208633,1,"Panna",TRUE,"two_census_anchors",0.011671893343331
"pc2001__23__11","Sagar",428010,444508,1,"Sagar",TRUE,"two_census_anchors",0.00378214927474502
"pc2001__23__12","Damoh",228209,238720,1,"Damoh",TRUE,"two_census_anchors",0.00450294412766023
"pc2001__23__15","Umaria *",107439,125889,1,"Umaria",TRUE,"two_census_anchors",0.015847732165274
"pc2001__23__16","Shahdol",320175,325855,2,"Anuppur;Shahdol",TRUE,"two_census_anchors",0.00175847758321868
"pc2001__23__18","Neemuch *",139442,139777,1,"Neemuch",TRUE,"two_census_anchors",0.000239955132523112
"pc2001__23__19","Mandsaur",232122,235559,1,"Mandsaur",TRUE,"two_census_anchors",0.00146983173461675
"pc2001__23__20","Ratlam",251126,270426,1,"Ratlam",TRUE,"two_census_anchors",0.00740436881846709
"pc2001__23__21","Ujjain",338985,346497,1,"Ujjain",TRUE,"two_census_anchors",0.00219183019699417
"pc2001__23__23","Dewas",281462,290313,1,"Dewas",TRUE,"two_census_anchors",0.00309622039400797
"pc2001__23__24","Jhabua",340922,418261,2,"Alirajpur;Jhabua",TRUE,"two_census_anchors",0.0204451927465037
"pc2001__23__25","Dhar",384213,438013,1,"Dhar",TRUE,"two_census_anchors",0.0131051503995809
"pc2001__23__26","Indore",458521,511905,1,"Indore",TRUE,"two_census_anchors",0.0110132968774178
"pc2001__23__28","Barwani *",254080,312076,1,"Barwani",TRUE,"two_census_anchors",0.0205597569831137
"pc2001__23__30","Rajgarh",266145,300228,1,"Rajgarh",TRUE,"two_census_anchors",0.0120500912958791
"pc2001__23__31","Vidisha",267893,300249,1,"Vidisha",TRUE,"two_census_anchors",0.0114024483340156
"pc2001__23__32","Bhopal",359208,380499,1,"Bhopal",TRUE,"two_census_anchors",0.00575819412824377
"pc2001__23__33","Sehore",238877,256127,1,"Sehore",TRUE,"two_census_anchors",0.00697246401105523
"pc2001__23__34","Raisen",245121,261767,1,"Raisen",TRUE,"two_census_anchors",0.00657028289322401
"pc2001__23__35","Betul",296187,271796,1,"Betul",TRUE,"two_census_anchors",-0.00859392267012325
"pc2001__23__36","Harda *",101803,105573,1,"Harda",TRUE,"two_census_anchors",0.00363630835314732
"pc2001__23__38","Katni *",212738,241695,1,"Katni",TRUE,"two_census_anchors",0.0127615239061254
"pc2001__23__39","Jabalpur",401075,374869,1,"Jabalpur",TRUE,"two_census_anchors",-0.00675718106311648
"pc2001__23__41","Dindori *",118394,123907,1,"Dindori",TRUE,"two_census_anchors",0.00455132387241586
"pc2001__23__42","Mandla",181813,179687,1,"Mandla",TRUE,"two_census_anchors",-0.00117622379584766
"pc2001__23__44","Seoni",241646,238050,1,"Seoni",TRUE,"two_census_anchors",-0.00149931096478502
"pc2001__23__45","Balaghat",292985,277422,1,"Balaghat",TRUE,"two_census_anchors",-0.00545816005726159
